site,method,point,dt_placement,day,week,month,year,altitude,latitude,longitude,x,y,genus,total_all_aedes,total_aedes_aegypti,country_code,nuts0_code,nuts0_name,nuts1_code,nuts1_name,nuts2_code,nuts2_name,nuts3_code,nuts3_name,lau1_municipality,lau2_settlement,ndbi,ndmi,ndvi,ndwi,ndi_mission,ndi_acquisition,ndi_dates_diff,ndbi_std,ndmi_std,ndvi_std,ndwi_std,ndbi_mean,ndmi_mean,ndvi_mean,ndwi_mean,ndi_measures_mission,ndi_measures_acquisition,ndi_measures_dates_diff,lst_day,lst_day_mission,lst_day_acquisition,lst_day_diff,lst_night,lst_night_mission,lst_night_acquisition,lst_night_diff,lst_jan_day_mean,lst_feb_day_mean,lst_mar_day_mean,lst_apr_day_mean,lst_jan_night_mean,lst_feb_night_mean,lst_mar_night_mean,lst_apr_night_mean,acc_rainfall_1week,acc_rainfall_2week,acc_rainfall_jan,sp_cnt_1km,biol_cnt_1km,wc_l_1km,pg_area_1km,fs_area_1km,wc_mean_dist_1km,coast_mean_dist_1km,dem_mean_1km,slope_mean_1km,aspect_mean_1km,waw_mean_1km,flow_accu_1km
Ehania-V1,double net trap,e-dnt-rf1,2016-02-10,1,6,2,2016,183,"N 05°17'01.6"" ","W 003°03'30.3"" ",-3.058417,5.283778,Aedes,0,0,,,,,,,,,,,,0.063829787234043,-0.063829787234043,0.201248049921997,-0.202185792349727,sentinel2_level1C_scene,2016-01-26,15,0.090396495197449,0.090396495197449,0.048798353099161,0.017981818453265,-0.049713432664307,0.049713432664307,0.263969843019698,-0.229711743751116,sentinel2_level1C_scene,2016-01-26,15,15216,modis,2016-02-10,0,14776,modis,2016-02-09,1,15034.6666666667,15167,,15149,14711.5882352941,14697.2222222222,14777.5,14788.5,,0.1,7.7,,,,,,,,,,,,
Ehania-V1,double net trap,e-dnt-rf2,2016-02-10,1,6,2,2016,206,"N 05°16'57.4"" ","W 003°02'57.8"" ",-3.049389,5.282611,Aedes,0,0,,,,,,,,,,,,-0.211943481738203,0.211943481738203,0.353782013103038,-0.285633484162896,sentinel2_level1C_scene,2016-01-26,15,0.093159332926418,0.093159332926418,0.045956060604197,0.027287182587722,-0.099480504908085,0.099480504908085,0.289475978633415,-0.243380946437773,sentinel2_level1C_scene,2016-01-26,15,15224,modis,2016-02-10,0,14780,modis,2016-02-09,1,15025.5,15178,,15149,14716.2352941176,14702.6666666667,14786,14790,,0.1,7.7,,,,,,,,,,,,
Ehania-V1,double net trap,e-dnt-rf3,2016-02-10,1,6,2,2016,239,"N 05°17'42.2"" ","W 003°03'33.1"" ",-3.059194,5.295056,Aedes,0,0,,,,,,,,,,,,-0.065130704474967,0.065130704474967,0.132626619552415,-0.125995316159251,sentinel2_level1C_scene,2016-02-05,5,0,0,0,0,-0.065130704474967,0.065130704474967,0.132626619552415,-0.125995316159251,sentinel2_level1C_scene,2016-02-05,5,15224,modis,2016-02-10,0,14789,modis,2016-02-09,1,15031.75,15205,,,14722.125,14703.1111111111,14779.25,14791.5,,0.1,7.7,,,,,,,,,,,,
Ehania-V1,double net trap,e-dnt-rf4,2016-02-10,1,6,2,2016,119,"N 05°17'08.4"" ","W 003°03'40.8"" ",-3.061333,5.285667,Aedes,0,0,,,,,,,,,,,,-0.13783927621075,0.13783927621075,0.297723823975721,-0.237268518518518,sentinel2_level1C_scene,2016-01-26,15,0.074695355028242,0.074695355028242,0.044666258816802,0.019193239393944,-0.056933607079812,0.056933607079812,0.276704443115619,-0.235490160950589,sentinel2_level1C_scene,2016-01-26,15,15216,modis,2016-02-10,0,14776,modis,2016-02-09,1,15034.6666666667,15167,,15149,14711.5882352941,14697.2222222222,14777.5,14788.5,,0.1,7.7,,,,,,,,,,,,
Ehania-V1,double net trap,e-dnt-rf1,2016-02-11,2,6,2,2016,183,"N 05°17'01.6"" ","W 003°03'30.3"" ",-3.058417,5.283778,Aedes,0,0,,,,,,,,,,,,0.063829787234043,-0.063829787234043,0.201248049921997,-0.202185792349727,sentinel2_level1C_scene,2016-01-26,16,0.090396495197449,0.090396495197449,0.048798353099161,0.017981818453265,-0.049713432664307,0.049713432664307,0.263969843019698,-0.229711743751116,sentinel2_level1C_scene,2016-01-26,16,15216,modis,2016-02-10,1,14796,modis,2016-02-11,0,15034.6666666667,15167,,15149,14711.5882352941,14697.2222222222,14777.5,14788.5,,0.1,7.7,,,,,,,,,,,,
Ehania-V1,double net trap,e-dnt-rf2,2016-02-11,2,6,2,2016,206,"N 05°16'57.4"" ","W 003°02'57.8"" ",-3.049389,5.282611,Aedes,0,0,,,,,,,,,,,,-0.211943481738203,0.211943481738203,0.353782013103038,-0.285633484162896,sentinel2_level1C_scene,2016-01-26,16,0.093159332926418,0.093159332926418,0.045956060604197,0.027287182587722,-0.099480504908085,0.099480504908085,0.289475978633415,-0.243380946437773,sentinel2_level1C_scene,2016-01-26,16,15224,modis,2016-02-10,1,14805,modis,2016-02-11,0,15025.5,15178,,15149,14716.2352941176,14702.6666666667,14786,14790,,0.1,7.7,,,,,,,,,,,,
Ehania-V1,double net trap,e-dnt-rf3,2016-02-11,2,6,2,2016,239,"N 05°17'42.2"" ","W 003°03'33.1"" ",-3.059194,5.295056,Aedes,0,0,,,,,,,,,,,,-0.065130704474967,0.065130704474967,0.132626619552415,-0.125995316159251,sentinel2_level1C_scene,2016-02-05,6,0,0,0,0,-0.065130704474967,0.065130704474967,0.132626619552415,-0.125995316159251,sentinel2_level1C_scene,2016-02-05,6,15224,modis,2016-02-10,1,14805,modis,2016-02-11,0,15031.75,15205,,,14722.125,14703.1111111111,14779.25,14791.5,,0.1,7.7,,,,,,,,,,,,
Ehania-V1,double net trap,e-dnt-rf4,2016-02-11,2,6,2,2016,119,"N 05°17'08.4"" ","W 003°03'40.8"" ",-3.061333,5.285667,Aedes,0,0,,,,,,,,,,,,-0.13783927621075,0.13783927621075,0.297723823975721,-0.237268518518518,sentinel2_level1C_scene,2016-01-26,16,0.074695355028242,0.074695355028242,0.044666258816802,0.019193239393944,-0.056933607079812,0.056933607079812,0.276704443115619,-0.235490160950589,sentinel2_level1C_scene,2016-01-26,16,15216,modis,2016-02-10,1,14796,modis,2016-02-11,0,15034.6666666667,15167,,15149,14711.5882352941,14697.2222222222,14777.5,14788.5,,0.1,7.7,,,,,,,,,,,,
Ehania-V1,double net trap,e-dnt-rf1,2016-02-12,3,6,2,2016,183,"N 05°17'01.6"" ","W 003°03'30.3"" ",-3.058417,5.283778,Aedes,0,0,,,,,,,,,,,,0.063829787234043,-0.063829787234043,0.201248049921997,-0.202185792349727,sentinel2_level1C_scene,2016-01-26,17,0.090396495197449,0.090396495197449,0.048798353099161,0.017981818453265,-0.049713432664307,0.049713432664307,0.263969843019698,-0.229711743751116,sentinel2_level1C_scene,2016-01-26,17,15118,modis,2016-02-12,0,14796,modis,2016-02-11,1,15034.6666666667,15167,,15149,14711.5882352941,14697.2222222222,14777.5,14788.5,,,7.7,,,,,,,,,,,,
Ehania-V1,double net trap,e-dnt-rf2,2016-02-12,3,6,2,2016,206,"N 05°16'57.4"" ","W 003°02'57.8"" ",-3.049389,5.282611,Aedes,0,0,,,,,,,,,,,,-0.211943481738203,0.211943481738203,0.353782013103038,-0.285633484162896,sentinel2_level1C_scene,2016-01-26,17,0.093159332926418,0.093159332926418,0.045956060604197,0.027287182587722,-0.099480504908085,0.099480504908085,0.289475978633415,-0.243380946437773,sentinel2_level1C_scene,2016-01-26,17,15132,modis,2016-02-12,0,14805,modis,2016-02-11,1,15025.5,15178,,15149,14716.2352941176,14702.6666666667,14786,14790,,,7.7,,,,,,,,,,,,
