x,y,dt_placement,month,year,region,ndvi,ndmi,ndwi,ndbi,ndvi_mean,ndmi_mean,ndwi_mean,ndbi_mean,ndvi_std,ndmi_std,ndwi_std,ndbi_std,lst_day,lst_night,lst_jan_mean,lst_feb_mean,lst_mar_mean,lst_apr_mean,acc_rainfall_1week,acc_rainfall_2week,acc_rainfall_jan
-4.002558,5.302408,2022-11-07,11,2022,Ivory Coast,-0.025146400275577,-0.114795120425399,0.0271570986593331,0.114795120425399,0.0261412712054005,-0.103928649367955,-0.0291997531699671,0.103928649367955,0.0639566142163762,0.0405771490212912,0.0570888092432152,0.0405771490212912,,14850,15275.5555555556,15354.5,15572,15567,74.2,99.9,1624.2
-4.002063,5.303105,2022-11-07,11,2022,Ivory Coast,-0.025146400275577,-0.114795120425399,0.0271570986593331,0.114795120425399,0.0261412712054005,-0.103928649367955,-0.0291997531699671,0.103928649367955,0.0639566142163762,0.0405771490212912,0.0570888092432152,0.0405771490212912,,14850,15275.5555555556,15354.5,15572,15567,74.2,99.9,1624.2
-4.001441,5.303794,2022-11-07,11,2022,Ivory Coast,0.00567536889897844,-0.148690847946193,-0.0269487105186902,0.148690847946193,0.0391190365692288,-0.109530167136769,-0.0487930447639062,0.109530167136769,0.0649278594977619,0.0408575484360042,0.0547013755472316,0.0408575484360042,,14835,15312.75,15374.5,15586,,74.2,99.9,1624.2
-4.002821,5.303131,2022-11-07,11,2022,Ivory Coast,-0.025146400275577,-0.114795120425399,0.0271570986593331,0.114795120425399,0.0261412712054005,-0.103928649367955,-0.0291997531699671,0.103928649367955,0.0639566142163762,0.0405771490212912,0.0570888092432152,0.0405771490212912,,14850,15275.5555555556,15354.5,15572,15567,74.2,99.9,1624.2
-4.001539,5.302934,2022-11-07,11,2022,Ivory Coast,0.00567536889897844,-0.148690847946193,-0.0269487105186902,0.148690847946193,0.0391190365692288,-0.109530167136769,-0.0487930447639062,0.109530167136769,0.0649278594977619,0.0408575484360042,0.0547013755472316,0.0408575484360042,,14835,15312.75,15374.5,15586,,74.2,99.9,1624.2
-4.001938,5.304046,2022-11-07,11,2022,Ivory Coast,0.00567536889897844,-0.148690847946193,-0.0269487105186902,0.148690847946193,0.0391190365692288,-0.109530167136769,-0.0487930447639062,0.109530167136769,0.0649278594977619,0.0408575484360042,0.0547013755472316,0.0408575484360042,,14835,15312.75,15374.5,15586,,74.2,99.9,1624.2
-4.002511,5.301449,2022-11-07,11,2022,Ivory Coast,-0.025146400275577,-0.114795120425399,0.0271570986593331,0.114795120425399,0.0261412712054005,-0.103928649367955,-0.0291997531699671,0.103928649367955,0.0639566142163762,0.0405771490212912,0.0570888092432152,0.0405771490212912,,14850,15275.5555555556,15354.5,15572,15567,74.2,99.9,1624.2
-4.00265,5.303249,2022-11-07,11,2022,Ivory Coast,-0.025146400275577,-0.114795120425399,0.0271570986593331,0.114795120425399,0.0261412712054005,-0.103928649367955,-0.0291997531699671,0.103928649367955,0.0639566142163762,0.0405771490212912,0.0570888092432152,0.0405771490212912,,14850,15275.5555555556,15354.5,15572,15567,74.2,99.9,1624.2
-4.003244,5.30247,2022-11-07,11,2022,Ivory Coast,-0.025146400275577,-0.114795120425399,0.0271570986593331,0.114795120425399,0.0261412712054005,-0.103928649367955,-0.0291997531699671,0.103928649367955,0.0639566142163762,0.0405771490212912,0.0570888092432152,0.0405771490212912,,14850,15275.5555555556,15354.5,15572,15567,74.2,99.9,1624.2
-4.002288,5.303123,2022-11-07,11,2022,Ivory Coast,-0.025146400275577,-0.114795120425399,0.0271570986593331,0.114795120425399,0.0261412712054005,-0.103928649367955,-0.0291997531699671,0.103928649367955,0.0639566142163762,0.0405771490212912,0.0570888092432152,0.0405771490212912,,14850,15275.5555555556,15354.5,15572,15567,74.2,99.9,1624.2
-3.887915,5.350244,2022-11-07,11,2022,Ivory Coast,,,,,,,,,,,,,,14789,15180.4444444444,15293.5,15128,15353,83.1,109.2,1510.6
-3.88399,5.351018,2022-11-07,11,2022,Ivory Coast,,,,,,,,,,,,,,14754,15247.3333333333,15345.5,15136,15280,83.1,109.2,1510.6
-3.885848,5.350373,2022-11-07,11,2022,Ivory Coast,,,,,,,,,,,,,,14789,15180.4444444444,15293.5,15128,15353,83.1,109.2,1510.6
-3.887104,5.351529,2022-11-07,11,2022,Ivory Coast,,,,,,,,,,,,,,14789,15180.4444444444,15293.5,15128,15353,83.1,109.2,1510.6
-3.887329,5.351022,2022-11-07,11,2022,Ivory Coast,,,,,,,,,,,,,,14789,15180.4444444444,15293.5,15128,15353,83.1,109.2,1510.6
-3.886851,5.350634,2022-11-07,11,2022,Ivory Coast,,,,,,,,,,,,,,14789,15180.4444444444,15293.5,15128,15353,83.1,109.2,1510.6
-3.888223,5.351464,2022-11-07,11,2022,Ivory Coast,,,,,,,,,,,,,,14789,15180.4444444444,15293.5,15128,15353,83.1,109.2,1510.6
-3.887654,5.351031,2022-11-07,11,2022,Ivory Coast,,,,,,,,,,,,,,14789,15180.4444444444,15293.5,15128,15353,83.1,109.2,1510.6
-3.884261,5.350864,2022-11-07,11,2022,Ivory Coast,,,,,,,,,,,,,,14754,15247.3333333333,15345.5,15136,15280,83.1,109.2,1510.6
-3.88427,5.350882,2022-11-07,11,2022,Ivory Coast,,,,,,,,,,,,,,14754,15247.3333333333,15345.5,15136,15280,83.1,109.2,1510.6
-3.968925,5.347426,2022-11-07,11,2022,Ivory Coast,,,,,,,,,,,,,,14821,15316,15366,15506,,79.4,102.9,1628.8
-3.969491,5.346276,2022-11-07,11,2022,Ivory Coast,,,,,,,,,,,,,,14821,15316,15366,15506,,79.4,102.9,1628.8
-3.969211,5.346168,2022-11-07,11,2022,Ivory Coast,,,,,,,,,,,,,,14821,15316,15366,15506,,79.4,102.9,1628.8
-3.970636,5.345487,2022-11-07,11,2022,Ivory Coast,,,,,,,,,,,,,,14821,15316,15366,15506,,79.4,102.9,1628.8
-3.970242,5.347478,2022-11-07,11,2022,Ivory Coast,,,,,,,,,,,,,,14821,15316,15366,15506,,79.4,102.9,1628.8
