x,y,dt_placement,month,year,region,ndvi,ndmi,ndwi,ndbi,ndvi_mean,ndmi_mean,ndwi_mean,ndbi_mean,ndvi_std,ndmi_std,ndwi_std,ndbi_std,lst_day,lst_night,lst_jan_day_mean,lst_jan_night_mean,lst_feb_day_mean,lst_feb_night_mean,lst_mar_day_mean,lst_mar_night_mean,lst_apr_day_mean,lst_apr_night_mean,acc_rainfall_1week,acc_rainfall_2week,acc_rainfall_jan
-4.002558,5.302408,2022-12-12,12,2022,Ivory Coast,0.0217263652378157,-0.190321079571894,-0.0500905250452625,0.190321079571894,0.0445187744873683,-0.141597849286506,-0.0620229370504379,0.141597849286506,0.0516709119232615,0.0493859510338969,0.0363948753449051,0.0493859510338969,,14888,15275.5555555556,14838.6363636364,15354.5,14917.5714285714,15572,14832,15567,14860,15.4,58.7,1832.4
-4.002063,5.303105,2022-12-12,12,2022,Ivory Coast,0.0217263652378157,-0.190321079571894,-0.0500905250452625,0.190321079571894,0.0445187744873683,-0.141597849286506,-0.0620229370504379,0.141597849286506,0.0516709119232615,0.0493859510338969,0.0363948753449051,0.0493859510338969,,14888,15275.5555555556,14838.6363636364,15354.5,14917.5714285714,15572,14832,15567,14860,15.4,58.7,1832.4
-4.001441,5.303794,2022-12-12,12,2022,Ivory Coast,0.0339872893064383,-0.178485181119649,-0.0706723891273247,0.178485181119649,0.04468738603238,-0.14301726695266,-0.065450824068413,0.14301726695266,0.0545057299147496,0.0595038849530209,0.0374408500937788,0.0595038849530209,,14892,15312.75,14836.8181818182,15374.5,14879.75,15586,14834,,14844.6666666667,15.4,58.7,1832.4
-4.002821,5.303131,2022-12-12,12,2022,Ivory Coast,0.0217263652378157,-0.190321079571894,-0.0500905250452625,0.190321079571894,0.0445187744873683,-0.141597849286506,-0.0620229370504379,0.141597849286506,0.0516709119232615,0.0493859510338969,0.0363948753449051,0.0493859510338969,,14888,15275.5555555556,14838.6363636364,15354.5,14917.5714285714,15572,14832,15567,14860,15.4,58.7,1832.4
-4.001539,5.302934,2022-12-12,12,2022,Ivory Coast,0.0339872893064383,-0.178485181119649,-0.0706723891273247,0.178485181119649,0.04468738603238,-0.14301726695266,-0.065450824068413,0.14301726695266,0.0545057299147496,0.0595038849530209,0.0374408500937788,0.0595038849530209,,14892,15312.75,14836.8181818182,15374.5,14879.75,15586,14834,,14844.6666666667,15.4,58.7,1832.4
-4.001938,5.304046,2022-12-12,12,2022,Ivory Coast,0.0339872893064383,-0.178485181119649,-0.0706723891273247,0.178485181119649,0.04468738603238,-0.14301726695266,-0.065450824068413,0.14301726695266,0.0545057299147496,0.0595038849530209,0.0374408500937788,0.0595038849530209,,14892,15312.75,14836.8181818182,15374.5,14879.75,15586,14834,,14844.6666666667,15.4,58.7,1832.4
-4.002511,5.301449,2022-12-12,12,2022,Ivory Coast,0.0217263652378157,-0.190321079571894,-0.0500905250452625,0.190321079571894,0.0445187744873683,-0.141597849286506,-0.0620229370504379,0.141597849286506,0.0516709119232615,0.0493859510338969,0.0363948753449051,0.0493859510338969,,14888,15275.5555555556,14838.6363636364,15354.5,14917.5714285714,15572,14832,15567,14860,15.4,58.7,1832.4
-4.00265,5.303249,2022-12-12,12,2022,Ivory Coast,0.0217263652378157,-0.190321079571894,-0.0500905250452625,0.190321079571894,0.0445187744873683,-0.141597849286506,-0.0620229370504379,0.141597849286506,0.0516709119232615,0.0493859510338969,0.0363948753449051,0.0493859510338969,,14888,15275.5555555556,14838.6363636364,15354.5,14917.5714285714,15572,14832,15567,14860,15.4,58.7,1832.4
-4.003244,5.30247,2022-12-12,12,2022,Ivory Coast,0.0217263652378157,-0.190321079571894,-0.0500905250452625,0.190321079571894,0.0445187744873683,-0.141597849286506,-0.0620229370504379,0.141597849286506,0.0516709119232615,0.0493859510338969,0.0363948753449051,0.0493859510338969,,14888,15275.5555555556,14838.6363636364,15354.5,14917.5714285714,15572,14832,15567,14860,15.4,58.7,1832.4
-4.002288,5.303123,2022-12-12,12,2022,Ivory Coast,0.0217263652378157,-0.190321079571894,-0.0500905250452625,0.190321079571894,0.0445187744873683,-0.141597849286506,-0.0620229370504379,0.141597849286506,0.0516709119232615,0.0493859510338969,0.0363948753449051,0.0493859510338969,,14888,15275.5555555556,14838.6363636364,15354.5,14917.5714285714,15572,14832,15567,14860,15.4,58.7,1832.4
-3.887915,5.350244,2022-12-12,12,2022,Ivory Coast,0.115292058630497,-0.0889921372408864,-0.133392618941752,0.0889921372408864,0.17382932106935,0.0322550855656947,-0.156564092212699,-0.0322550855656947,0.0803175406822625,0.0561026177768494,0.0692691338647516,0.0561026177768494,,14806,15180.4444444444,14789.4615384615,15293.5,14861.375,15128,14778.3333333333,15353,14829,18.6,49.3,1713.3
-3.88399,5.351018,2022-12-12,12,2022,Ivory Coast,0.175653007428708,0.0444964871194379,-0.155984919886899,-0.0444964871194379,0.126383561343786,0.0212454017252515,-0.109156447347848,-0.0212454017252515,0.0328967064894816,0.0142762904078442,0.0336138814109421,0.0142762904078442,,14694,15247.3333333333,14786,15345.5,14851.2222222222,15136,14777.3333333333,15280,14829,18.6,49.3,1713.3
-3.885848,5.350373,2022-12-12,12,2022,Ivory Coast,0.115292058630497,-0.0889921372408864,-0.133392618941752,0.0889921372408864,0.17382932106935,0.0322550855656947,-0.156564092212699,-0.0322550855656947,0.0803175406822625,0.0561026177768494,0.0692691338647516,0.0561026177768494,,14806,15180.4444444444,14789.4615384615,15293.5,14861.375,15128,14778.3333333333,15353,14829,18.6,49.3,1713.3
-3.887104,5.351529,2022-12-12,12,2022,Ivory Coast,0.115292058630497,-0.0889921372408864,-0.133392618941752,0.0889921372408864,0.17382932106935,0.0322550855656947,-0.156564092212699,-0.0322550855656947,0.0803175406822625,0.0561026177768494,0.0692691338647516,0.0561026177768494,,14806,15180.4444444444,14789.4615384615,15293.5,14861.375,15128,14778.3333333333,15353,14829,18.6,49.3,1713.3
-3.887329,5.351022,2022-12-12,12,2022,Ivory Coast,0.115292058630497,-0.0889921372408864,-0.133392618941752,0.0889921372408864,0.17382932106935,0.0322550855656947,-0.156564092212699,-0.0322550855656947,0.0803175406822625,0.0561026177768494,0.0692691338647516,0.0561026177768494,,14806,15180.4444444444,14789.4615384615,15293.5,14861.375,15128,14778.3333333333,15353,14829,18.6,49.3,1713.3
-3.886851,5.350634,2022-12-12,12,2022,Ivory Coast,0.115292058630497,-0.0889921372408864,-0.133392618941752,0.0889921372408864,0.17382932106935,0.0322550855656947,-0.156564092212699,-0.0322550855656947,0.0803175406822625,0.0561026177768494,0.0692691338647516,0.0561026177768494,,14806,15180.4444444444,14789.4615384615,15293.5,14861.375,15128,14778.3333333333,15353,14829,18.6,49.3,1713.3
-3.888223,5.351464,2022-12-12,12,2022,Ivory Coast,0.115292058630497,-0.0889921372408864,-0.133392618941752,0.0889921372408864,0.17382932106935,0.0322550855656947,-0.156564092212699,-0.0322550855656947,0.0803175406822625,0.0561026177768494,0.0692691338647516,0.0561026177768494,,14806,15180.4444444444,14789.4615384615,15293.5,14861.375,15128,14778.3333333333,15353,14829,18.6,49.3,1713.3
-3.887654,5.351031,2022-12-12,12,2022,Ivory Coast,0.115292058630497,-0.0889921372408864,-0.133392618941752,0.0889921372408864,0.17382932106935,0.0322550855656947,-0.156564092212699,-0.0322550855656947,0.0803175406822625,0.0561026177768494,0.0692691338647516,0.0561026177768494,,14806,15180.4444444444,14789.4615384615,15293.5,14861.375,15128,14778.3333333333,15353,14829,18.6,49.3,1713.3
-3.884261,5.350864,2022-12-12,12,2022,Ivory Coast,0.175653007428708,0.0444964871194379,-0.155984919886899,-0.0444964871194379,0.126383561343786,0.0212454017252515,-0.109156447347848,-0.0212454017252515,0.0328967064894816,0.0142762904078442,0.0336138814109421,0.0142762904078442,,14694,15247.3333333333,14786,15345.5,14851.2222222222,15136,14777.3333333333,15280,14829,18.6,49.3,1713.3
-3.88427,5.350882,2022-12-12,12,2022,Ivory Coast,0.175653007428708,0.0444964871194379,-0.155984919886899,-0.0444964871194379,0.126383561343786,0.0212454017252515,-0.109156447347848,-0.0212454017252515,0.0328967064894816,0.0142762904078442,0.0336138814109421,0.0142762904078442,,14694,15247.3333333333,14786,15345.5,14851.2222222222,15136,14777.3333333333,15280,14829,18.6,49.3,1713.3
-3.968925,5.347426,2022-12-12,12,2022,Ivory Coast,0.0506089309878214,-0.174393874946831,-0.0685383980181668,0.174393874946831,0.0896304261896758,-0.103529518096283,-0.094533078820678,0.103529518096283,0.048760051573141,0.0834436904189795,0.0409034120203462,0.0834436904189795,,14819,15316,14839.5384615385,15366,14897.75,15506,14814.25,,14801,15.4,53.6,1831.7
-3.969491,5.346276,2022-12-12,12,2022,Ivory Coast,0.0506089309878214,-0.174393874946831,-0.0685383980181668,0.174393874946831,0.0896304261896758,-0.103529518096283,-0.094533078820678,0.103529518096283,0.048760051573141,0.0834436904189795,0.0409034120203462,0.0834436904189795,,14819,15316,14839.5384615385,15366,14897.75,15506,14814.25,,14801,15.4,53.6,1831.7
-3.969211,5.346168,2022-12-12,12,2022,Ivory Coast,0.0506089309878214,-0.174393874946831,-0.0685383980181668,0.174393874946831,0.0896304261896758,-0.103529518096283,-0.094533078820678,0.103529518096283,0.048760051573141,0.0834436904189795,0.0409034120203462,0.0834436904189795,,14819,15316,14839.5384615385,15366,14897.75,15506,14814.25,,14801,15.4,53.6,1831.7
-3.970636,5.345487,2022-12-12,12,2022,Ivory Coast,0.0303030303030303,-0.179235206152531,-0.0581107133021206,0.179235206152531,0.0660567517853064,-0.131227776053951,-0.0822497339454529,0.131227776053951,0.0311846440961441,0.055930357983446,0.0266008342920863,0.055930357983446,,14819,15316,14839.5384615385,15366,14897.75,15506,14814.25,,14801,15.4,53.6,1831.7
-3.970242,5.347478,2022-12-12,12,2022,Ivory Coast,0.0506089309878214,-0.174393874946831,-0.0685383980181668,0.174393874946831,0.0896304261896758,-0.103529518096283,-0.094533078820678,0.103529518096283,0.048760051573141,0.0834436904189795,0.0409034120203462,0.0834436904189795,,14819,15316,14839.5384615385,15366,14897.75,15506,14814.25,,14801,15.4,53.6,1831.7
-3.969831,5.34434,2022-12-12,12,2022,Ivory Coast,0.127690802348337,-0.153662566550395,-0.138552729068906,0.153662566550395,0.121887078780555,-0.099835731794847,-0.124623359066497,0.099835731794847,0.0912478363871264,0.0910213106500378,0.0668944265613328,0.0910213106500378,,14819,15316,14839.5384615385,15366,14897.75,15506,14814.25,,14801,15.4,53.6,1831.7
-3.970412,5.346401,2022-12-12,12,2022,Ivory Coast,0.0506089309878214,-0.174393874946831,-0.0685383980181668,0.174393874946831,0.0896304261896758,-0.103529518096283,-0.094533078820678,0.103529518096283,0.048760051573141,0.0834436904189795,0.0409034120203462,0.0834436904189795,,14819,15316,14839.5384615385,15366,14897.75,15506,14814.25,,14801,15.4,53.6,1831.7
-4.002458,5.301685,2022-12-12,12,2022,Ivory Coast,0.0217263652378157,-0.190321079571894,-0.0500905250452625,0.190321079571894,0.0445187744873683,-0.141597849286506,-0.0620229370504379,0.141597849286506,0.0516709119232615,0.0493859510338969,0.0363948753449051,0.0493859510338969,,14888,15275.5555555556,14838.6363636364,15354.5,14917.5714285714,15572,14832,15567,14860,15.4,58.7,1832.4
-3.96987,5.345859,2022-12-12,12,2022,Ivory Coast,0.0506089309878214,-0.174393874946831,-0.0685383980181668,0.174393874946831,0.0896304261896758,-0.103529518096283,-0.094533078820678,0.103529518096283,0.048760051573141,0.0834436904189795,0.0409034120203462,0.0834436904189795,,14819,15316,14839.5384615385,15366,14897.75,15506,14814.25,,14801,15.4,53.6,1831.7
