"station_id","DISTANCE_TO_FLOOD"
"GR_10932",51963.1813607733
"GR_10933",51929.6119883463
"GR_10934",51972.6325790842
"GR_10935",49838.0063310881
"GR_10936",49907.8383221764
"GR_10937",49992.6463683846
"GR_10938",49981.5985963601
"GR_10939",49947.2211763528
"GR_10940",49992.471167261
"GR_10941",50117.1744019646
"GR_10942",48205.172742355
"GR_10943",48090.1695829351
"GR_10944",47863.6608856482
"GR_10945",47853.7927463005
"GR_10946",47927.0387532543
"GR_10947",48009.3273212512
"GR_10948",48000.1057545091
"GR_10949",47964.8323463899
"GR_10950",48012.4745208641
"GR_10951",48142.8294675459
"GR_10952",46414.1109094296
"GR_10953",46553.698467682
"GR_10954",46365.4364826339
"GR_10955",46222.0405837684
"GR_10956",46106.471158263
"GR_10957",46025.598518137
"GR_10958",45969.9262379578
"GR_10959",45958.7456869276
"GR_10960",45878.996433908
"GR_10961",45869.2252120542
"GR_10962",45946.1583836678
"GR_10963",46025.6402640287
"GR_10964",46018.3322411547
"GR_10965",45982.0633426206
"GR_10966",46032.2820050426
"GR_10967",46168.7513403886
"GR_10968",44355.9108002576
"GR_10969",44428.3235616477
"GR_10970",44579.0486529745
"GR_10971",44382.9328556157
"GR_10972",44239.6819557585
"GR_10973",44123.4550119611
"GR_10974",44039.4644211913
"GR_10975",43984.1461174835
"GR_10976",43976.7707478504
"GR_10977",43894.7623354413
"GR_10978",43885.0735942002
"GR_10979",43966.0024608713
"GR_10980",44042.3527845763
"GR_10981",44037.0566440981
"GR_10982",43999.6797316752
"GR_10983",44052.6829748033
"GR_10984",44195.7886898583
"GR_10985",44428.0565678817
"GR_10986",44748.123122218
"GR_10987",45154.1222916434
"GR_10988",45643.8936740476
"GR_10989",46214.5361320076
"GR_10990",42366.1609931307
"GR_10991",42442.4907709989
"GR_10992",42605.2466189306
"GR_10993",42400.5242377707
"GR_10994",42257.3869361141
"GR_10995",42140.3982374422
"GR_10996",42052.9712401908
"GR_10997",41997.9946248016
"GR_10998",41994.7118068486
"GR_10999",41910.1996524606
"GR_11000",41900.576939175
"GR_11001",41985.8553221368
"GR_11002",42058.7019552318
"GR_11003",42055.5307650775
"GR_11004",42016.9169528571
"GR_11005",42072.9433958343
"GR_11006",42223.2831986415
"GR_11007",42466.8616097542
"GR_11008",42802.1130156683
"GR_11009",43226.9055112203
"GR_11010",43738.7688401522
"GR_11011",44334.4391382175
"GR_11012",45010.7019357531
"GR_11013",40721.8015637157
"GR_11014",40509.1279512789
"GR_11015",40393.9421560794
"GR_11016",40376.8230346474
"GR_11017",40457.4286856487
"GR_11018",40633.2331690271
"GR_11019",40419.0459836693
"GR_11020",40275.9864420984
"GR_11021",40158.1168465058
"GR_11022",40066.8892547002
"GR_11023",40012.2400725281
"GR_11024",40013.3781752839
"GR_11025",39926.0824208955
"GR_11026",39916.5068036789
"GR_11027",40006.5392269198
"GR_11028",40075.4562384404
"GR_11029",40074.5389528744
"GR_11030",40034.5407523804
"GR_11031",40093.8631024855
"GR_11032",40252.1192919714
"GR_11033",40508.0729041261
"GR_11034",40859.9155448431
"GR_11035",41305.1979453573
"GR_11036",41841.0819529228
"GR_11037",42463.8782925746
"GR_11038",43169.9432123323
"GR_11039",43932.6107492688
"GR_11040",44767.6767767267
"GR_11041",38773.2544031104
"GR_11042",38748.6565745299
"GR_11043",38525.6137895808
"GR_11044",38405.0029429204
"GR_11045",38387.5175085958
"GR_11046",38472.8142536711
"GR_11047",38661.0266967276
"GR_11048",38438.2004247825
"GR_11049",38295.1775845357
"GR_11050",38176.2895161861
"GR_11051",38080.8397012972
"GR_11052",38026.501547331
"GR_11053",38032.4411342005
"GR_11054",37942.0376906445
"GR_11055",37932.4872858455
"GR_11056",38027.7423342038
"GR_11057",38092.2365481233
"GR_11058",38093.7226961891
"GR_11059",38052.1693497728
"GR_11060",38115.1034384129
"GR_11061",38282.06489062
"GR_11062",38551.6211012155
"GR_11063",38921.6695915537
"GR_11064",39389.37930608
"GR_11065",39951.4724027996
"GR_11066",40603.7579061023
"GR_11067",41334.8001991552
"GR_11068",42127.4065547828
"GR_11069",42998.016870877
"GR_11070",36788.6220752983
"GR_11071",36776.9932475904
"GR_11072",36542.4403393532
