station_id,dt_placement,week,month,year,country_code,nuts0_code,nuts0_name,nuts1_code,nuts1_name,nuts2_code,nuts2_name,nuts3_code,nuts3_name,lau1_municipality,lau2_settlement,trap_type,sex,dt_placement_original,x,y,anopheles_total,region,indices_image_date,indices_lat,indices_lon,ndvi,ndmi,ndwi,ndbi,ndvi_mean,ndmi_mean,ndwi_mean,ndbi_mean,ndvi_std,ndmi_std,ndwi_std,ndbi_std,lst_image_date,lst_lat,lst_lon,lst_day,lst_night,monthly_lst_lat,monthly_lst_lon,lst_jan_day_mean,lst_jan_night_mean,lst_feb_day_mean,lst_feb_night_mean,lst_mar_day_mean,lst_mar_night_mean,lst_apr_day_mean,lst_apr_night_mean,indices_image_date,indices_lat,indices_lon,acc_rainfall_jan,dt_placement_minus_7,dt_placement_minus_14,dt_placement_minus_7_avail,dt_placement_minus_14_avail,acc_rainfall_1week,acc_rainfall_2week
288,2023-06-26,28,6,2023,,,Italy,,,,Trentino-Alto Adige,,Trentino,Riva del Garda,,BG-Sentinel,,2023-07-11,10.844454,45.890818,0,Italy,2023-06-22,45.89268207746006,10.84491126753387,0.3128707763734846,0.015562649640861934,-0.3105046343975283,-0.015562649640861934,0.3324150040346241,0.012622558072999055,-0.32698999606992624,-0.012622558072999055,0.042791276330874574,0.028374117904561662,0.030693902100486607,0.028374117904561662,2023-06-26,45.89268207746006,10.84491126753387,15392.0,14895.0,45.89268207746006,10.84491126753387,13964.307692307693,13699.454545454546,14094.764705882351,13749.533333333333,14371.6875,13912.533333333333,14474.888888888889,13992.818181818182,2023-06-26,45.850209730822826,10.850049630958074,147.2481421884877,2023-06-19,2023-06-12,2023-06-19,2023-06-12,1.8282858561724424,2.4593466024380177
315,2023-06-26,28,6,2023,,,Italy,,,,Trentino-Alto Adige,,Trentino,Arco,,BG-Sentinel,,2023-07-11,10.864102,45.919723,0,Italy,2023-06-22,45.91963153598365,10.862877573216265,0.4618453865336659,0.06737072104879831,-0.4228155339805825,-0.06737072104879831,0.5233780863852279,0.12444871592821385,-0.4691706046892595,-0.12444871592821385,0.09921887664760476,0.07522797804568251,0.07082751493833905,0.07522797804568251,2023-06-26,45.91963153598365,10.86287757321626,15374.0,14817.0,45.91963153598365,10.86287757321626,14027.090909090908,13679.363636363636,14184.933333333332,13783.5625,14486.153846153846,13933.615384615383,14564.428571428569,13985.166666666664,2023-06-26,45.950210188251006,10.850049630958074,141.63067867338395,2023-06-19,2023-06-12,2023-06-19,2023-06-12,1.4636533237062395,1.5882495734840631
351,2023-06-26,28,6,2023,,,Italy,,,,Trentino-Alto Adige,,Trentino,Riva del Garda,,BG-Sentinel,,2023-07-11,10.855636,45.894986,0,Italy,2023-06-22,45.89717365388066,10.853894420375068,0.3031485818371064,0.005824462743522768,-0.3041666666666667,-0.005824462743522768,0.4627089780961866,0.0943419162912542,-0.4168578098453756,-0.0943419162912542,0.13110848570034656,0.07273616525497496,0.09374437197895544,0.07273616525497496,2023-06-26,45.89717365388066,10.853894420375068,15440.0,14815.0,45.89717365388066,10.853894420375068,13981.714285714286,13651.818181818182,14145.5,13660.875,14458.125,13892.625,14586.277777777776,13973.166666666664,2023-06-26,45.850209730822826,10.850049630958074,147.2481421884877,2023-06-19,2023-06-12,2023-06-19,2023-06-12,1.8282858561724424,2.4593466024380177
CDCRA5,2023-06-26,28,6,2023,,,Italy,,,,Trentino-Alto Adige,,Trentino,Arco,,CDC-trap,,2023-07-11,10.892337,45.915607,0,Italy,2023-06-22,45.915139959563035,10.894318608160448,0.4955173249333656,0.12854269519107706,-0.4440804866635471,-0.12854269519107706,0.5750055485905023,0.1619271192326376,-0.4979687394327844,-0.1619271192326376,0.08968945746223267,0.05886934978161205,0.05881015146932806,0.05886934978161205,2023-06-26,45.915139959563035,10.894318608160448,15512.0,14763.0,45.91513995956304,10.894318608160448,13978.166666666664,13632.5,14144.5625,13694.571428571431,14524.692307692307,13903.642857142857,14632.64705882353,13970.692307692307,2023-06-26,45.950210188251006,10.850049630958074,141.63067867338395,2023-06-19,2023-06-12,2023-06-19,2023-06-12,1.4636533237062395,1.5882495734840631
CDCRA6,2023-06-26,28,6,2023,,,Italy,,,,Trentino-Alto Adige,,Trentino,Riva del Garda,,CDC-trap,,2023-07-11,10.862481,45.882249,0,Italy,2023-06-22,45.88369892461886,10.862877573216265,0.5094433399602386,0.13046715056765312,-0.45974525354482104,-0.13046715056765312,0.560249477746199,0.1905235006065135,-0.4833503314937578,-0.1905235006065135,0.09780116294115936,0.08685702718668632,0.06720538854418752,0.08685702718668632,2023-06-26,45.88369892461886,10.86287757321626,15357.0,14714.0,45.88369892461886,10.86287757321626,13959.076923076924,13639.857142857143,14098.764705882351,13708.8,14387.2,13873.333333333336,14480.85,13983.46153846154,2023-06-26,45.850209730822826,10.850049630958074,147.2481421884877,2023-06-19,2023-06-12,2023-06-19,2023-06-12,1.8282858561724424,2.4593466024380177
PO-BG-3,2023-06-26,28,6,2023,,,Italy,,,,Trentino-Alto Adige,,Trentino,Trento,,BG-Sentinel,,2023-07-11,11.160635,46.083488,0,Italy,2023-06-22,46.08132828712517,11.15932161697573,0.5724827422042371,0.19630568634552706,-0.5095978062157221,-0.19630568634552706,0.5841954414899698,0.1893323276436064,-0.5140930731204078,-0.1893323276436064,0.07623770690187925,0.06928583723027024,0.04805732734426254,0.06928583723027024,2023-06-26,46.08132828712517,11.15932161697573,15467.0,14732.0,46.08132828712517,11.15932161697573,13864.7,13597.4,14128.35294117647,13689.764705882351,14459.46153846154,13841.5,14602.176470588234,13926.75,2023-06-26,46.05021064567919,11.150051003242629,174.99235712262453,2023-06-19,2023-06-12,2023-06-19,2023-06-12,2.7482588812708855,3.2842254676797893
RA-CDC-1,2023-06-26,28,6,2023,,,Italy,,,,Trentino-Alto Adige,,Trentino,Arco,,CDC-trap,,2023-07-11,10.891121,45.905765,0,Italy,2023-06-22,45.906156806721846,10.88982703173985,0.558876811594203,0.14599633760612618,-0.4916576381365113,-0.14599633760612618,0.6281594315264323,0.19679703221080405,-0.5346609270693005,-0.19679703221080405,0.037004459029330514,0.03679425807071545,0.024283941506968245,0.03679425807071545,2023-06-26,45.906156806721846,10.88982703173985,15429.0,14690.0,45.906156806721846,10.88982703173985,13949.533333333333,13627.6,14124.5,13660.285714285714,14472.071428571431,13864.153846153846,14602.388888888889,13919.692307692307,2023-06-26,45.950210188251006,10.850049630958074,141.63067867338395,2023-06-19,2023-06-12,2023-06-19,2023-06-12,1.4636533237062395,1.5882495734840631
ST-BG-3,2023-06-26,28,6,2023,,,Italy,,,,Trentino-Alto Adige,,Trentino,Castel Ivano,,BG-Sentinel,,2023-07-11,11.525146,46.066722,0,Italy,2023-06-22,46.06785355786339,11.523139307044168,0.6153846153846154,0.2277520814061056,-0.533271719038817,-0.2277520814061056,0.38348404984122375,0.2753526802327838,-0.3242250428503498,-0.2753526802327838,0.008256363138127193,0.003238105675075265,0.01156204661737384,0.003238105675075265,2023-06-26,46.06785355786338,11.523139307044168,15211.0,14649.0,46.06785355786338,11.523139307044168,13877.625,13517.4,14084.411764705883,13627.0,14396.545454545454,13829.888888888889,14612.363636363636,13900.272727272728,2023-06-26,46.05021064567919,11.550052832955368,193.8989384919405,2023-06-19,2023-06-12,2023-06-19,2023-06-12,8.573323495569639,17.89434324868489
ST-BG-4,2023-06-26,28,6,2023,,,Italy,,,,Trentino-Alto Adige,,Trentino,Telve,,BG-Sentinel,,2023-07-11,11.48068,46.068981,0,Italy,2023-06-22,46.06785355786339,11.482715119258788,0.375,0.07275541795665633,-0.3505481120584653,-0.07275541795665633,0.5273055480629325,0.15243789898818424,-0.4658536143827098,-0.15243789898818424,0.07309536497339722,0.050186916995990184,0.053403456880051485,0.050186916995990184,2023-06-26,46.06785355786338,11.482715119258788,15274.0,14665.0,46.06785355786338,11.482715119258788,13796.5,13495.363636363636,14123.46153846154,13580.0,14413.23076923077,13826.222222222224,14647.272727272728,13899.454545454546,2023-06-26,46.05021064567919,11.450052375527182,171.40152060016408,2023-06-19,2023-06-12,2023-06-19,2023-06-12,5.389925999334082,6.5033546821796335
TN-BG-9,2023-06-26,28,6,2023,,,Italy,,,,Trentino-Alto Adige,,Trentino,Trento,,BG-Sentinel,,2023-07-11,11.091284,46.110328,0,Italy,2023-06-22,46.108277745648756,11.091947970666759,0.1480225988700565,0.035466775377089275,-0.14362899594777126,-0.035466775377089275,0.2720830916337902,0.1302268532168188,-0.24444722149872225,-0.1302268532168188,0.09849936003858777,0.060845556756042925,0.0762230602853446,0.060845556756042925,2023-06-26,46.108277745648756,11.091947970666759,15288.0,14798.0,46.108277745648756,11.091947970666759,13827.833333333336,13575.1,14056.722222222224,13703.266666666665,14322.076923076924,13926.7,14518.666666666664,13960.53846153846,2023-06-26,46.15021110310738,11.050050545814443,348.1497825015613,2023-06-19,2023-06-12,2023-06-19,2023-06-12,6.435861482284963,11.598619498035987
