station_id,dt_placement,week,month,year,country_code,nuts0_code,nuts0_name,nuts1_code,nuts1_name,nuts2_code,nuts2_name,nuts3_code,nuts3_name,lau1_municipality,lau2_settlement,trap_type,sex,x,y,anopheles_total,region,dt_placement_original,indices_image_date,indices_lat,indices_lon,ndvi,ndmi,ndwi,ndbi,ndvi_mean,ndmi_mean,ndwi_mean,ndbi_mean,ndvi_std,ndmi_std,ndwi_std,ndbi_std,lst_image_date,lst_lat,lst_lon,lst_day,lst_night,monthly_lst_lat,monthly_lst_lon,lst_jan_day_mean,lst_jan_night_mean,lst_feb_day_mean,lst_feb_night_mean,lst_mar_day_mean,lst_mar_night_mean,lst_apr_day_mean,lst_apr_night_mean,indices_image_date,indices_lat,indices_lon,acc_rainfall_jan,dt_placement_minus_7,dt_placement_minus_14,dt_placement_minus_7_avail,dt_placement_minus_14_avail,acc_rainfall_1week,acc_rainfall_2week
288,2023-07-24,32,7,2023,,,Italy,,,,Trentino-Alto Adige,,Trentino,Riva del Garda,,BG-Sentinel,,10.844454,45.890818,0,Italy,2023-08-08,2023-07-22,45.89268207746006,10.84491126753387,0.20853712761227208,0.2606679035250463,-0.14249684741488014,-0.2606679035250463,0.23638788139009945,0.27474145832885283,-0.1614822091950763,-0.27474145832885283,0.027142503082534127,0.019557476855959054,0.016915370867939452,0.019557476855959054,2023-07-24,45.89268207746006,10.84491126753387,15173.0,14782.0,45.89268207746006,10.84491126753387,13956.9375,13681.133333333333,14094.764705882351,13749.533333333333,14374.588235294117,13869.470588235294,14496.789473684208,13993.333333333336,2023-07-24,45.850209730822826,10.850049630958074,929.514832806326,2023-07-17,2023-07-10,2023-07-17,2023-07-10,170.87293990515172,324.0009484931361
315,2023-07-24,32,7,2023,,,Italy,,,,Trentino-Alto Adige,,Trentino,Arco,,BG-Sentinel,,10.864102,45.919723,0,Italy,2023-08-08,2023-07-22,45.91963153598365,10.862877573216265,0.395216862586137,0.24484629294755875,-0.2969103240391861,-0.24484629294755875,0.4691232953056012,0.2564541855284102,-0.36995454196128175,-0.2564541855284102,0.09825835086890444,0.05020246613518674,0.09129978868623387,0.05020246613518674,2023-07-24,45.91963153598365,10.86287757321626,15140.0,14723.0,45.91963153598365,10.86287757321626,14031.0,13681.214285714286,14184.933333333332,13783.5625,14491.928571428569,13889.533333333333,14590.066666666668,13990.0,2023-07-24,45.950210188251006,10.850049630958074,1190.7619747224398,2023-07-17,2023-07-10,2023-07-17,2023-07-10,429.2621749830432,626.4257191140205
351,2023-07-24,32,7,2023,,,Italy,,,,Trentino-Alto Adige,,Trentino,Riva del Garda,,BG-Sentinel,,10.855636,45.894986,0,Italy,2023-08-08,2023-07-22,45.89717365388066,10.853894420375068,0.2178676780446692,0.2636641888937473,-0.15738886663996804,-0.2636641888937473,0.3297892975180113,0.3291733913037134,-0.2356359559692265,-0.3291733913037134,0.11785151941313568,0.0705986564093519,0.08533097132311891,0.0705986564093519,2023-07-24,45.89717365388066,10.853894420375068,15282.0,14753.0,45.89717365388066,10.853894420375068,13979.1875,13633.866666666667,14145.5,13660.875,14467.588235294117,13854.222222222224,14609.157894736842,13973.53846153846,2023-07-24,45.850209730822826,10.850049630958074,929.514832806326,2023-07-17,2023-07-10,2023-07-17,2023-07-10,170.87293990515172,324.0009484931361
CDCRA5,2023-07-24,32,7,2023,,,Italy,,,,Trentino-Alto Adige,,Trentino,Arco,,CDC-trap,,10.892337,45.915607,0,Italy,2023-08-08,2023-07-22,45.915139959563035,10.894318608160448,0.4402985074626866,0.31590909090909103,-0.3335892514395394,-0.31590909090909103,0.4731011544784364,0.3208729037162031,-0.3568124209742312,-0.3208729037162031,0.08359290984962774,0.07066952168742002,0.060258417006825264,0.07066952168742002,2023-07-24,45.915139959563035,10.894318608160448,15213.0,14724.0,45.91513995956304,10.894318608160448,13956.2,13615.571428571431,14144.5625,13694.571428571431,14536.928571428569,13863.75,14653.388888888889,13963.928571428569,2023-07-24,45.950210188251006,10.850049630958074,1190.7619747224398,2023-07-17,2023-07-10,2023-07-17,2023-07-10,429.2621749830432,626.4257191140205
CDCRA6,2023-07-24,32,7,2023,,,Italy,,,,Trentino-Alto Adige,,Trentino,Riva del Garda,,CDC-trap,,10.862481,45.882249,0,Italy,2023-08-08,2023-07-22,45.88369892461886,10.862877573216265,0.5123055162659124,0.16343852013057678,-0.4574700109051255,-0.16343852013057678,0.5544646739185269,0.21514748285341428,-0.4729937396754255,-0.21514748285341428,0.0951883097355206,0.07892428817375438,0.06679782440483031,0.07892428817375438,2023-07-24,45.88369892461886,10.86287757321626,15159.0,14712.0,45.88369892461886,10.86287757321626,13948.8125,13629.277777777776,14098.764705882351,13708.8,14397.5625,13835.117647058823,14502.380952380952,13979.5,2023-07-24,45.850209730822826,10.850049630958074,929.514832806326,2023-07-17,2023-07-10,2023-07-17,2023-07-10,170.87293990515172,324.0009484931361
PO-BG-3,2023-07-24,32,7,2023,,,Italy,,,,Trentino-Alto Adige,,Trentino,Trento,,BG-Sentinel,,11.160635,46.083488,0,Italy,2023-08-08,2023-07-22,46.08132828712517,11.15932161697573,0.5618729096989966,0.18442028985507244,-0.4926940639269406,-0.18442028985507244,0.5824438095577088,0.19083403780063304,-0.5002801569584907,-0.19083403780063304,0.06234112102053181,0.05563977765469958,0.03803159672184814,0.05563977765469958,2023-07-24,46.08132828712517,11.15932161697573,15152.0,14670.0,46.08132828712517,11.15932161697573,13874.833333333336,13537.0,14128.35294117647,13689.764705882351,14463.642857142857,13838.692307692307,14607.388888888889,13932.384615384617,2023-07-24,46.05021064567919,11.150051003242629,1049.7820300205112,2023-07-17,2023-07-10,2023-07-17,2023-07-10,155.87922406556027,261.277647665338
RA-CDC-1,2023-07-24,32,7,2023,,,Italy,,,,Trentino-Alto Adige,,Trentino,Arco,,CDC-trap,,10.891121,45.905765,0,Italy,2023-08-08,2023-07-22,45.906156806721846,10.88982703173985,0.6012223071046601,0.21695374491968256,-0.5184737985993721,-0.21695374491968256,0.4932593180015861,0.3699527100763913,-0.3684593023255814,-0.3699527100763913,0.0,0.0,0.0,0.0,2023-07-24,45.906156806721846,10.88982703173985,15144.0,14710.0,45.906156806721846,10.88982703173985,13931.722222222224,13601.785714285714,14124.5,13660.285714285714,14487.4,13826.933333333332,14622.684210526317,13916.642857142857,2023-07-24,45.950210188251006,10.850049630958074,1190.7619747224398,2023-07-17,2023-07-10,2023-07-17,2023-07-10,429.2621749830432,626.4257191140205
ST-BG-3,2023-07-24,32,7,2023,,,Italy,,,,Trentino-Alto Adige,,Trentino,Castel Ivano,,BG-Sentinel,,11.525146,46.066722,0,Italy,2023-08-08,2023-07-22,46.06785355786339,11.523139307044168,0.6262873957822462,0.2431115276476101,-0.5319935319935319,-0.2431115276476101,0.6035071614038867,0.21672893116566547,-0.5160159527878465,-0.21672893116566547,0.07793135518058161,0.05666577972492705,0.057054353445772185,0.05666577972492705,2023-07-24,46.06785355786338,11.523139307044168,15054.0,14613.0,46.06785355786338,11.523139307044168,13890.0,13521.916666666664,14084.411764705883,13627.0,14399.153846153846,13803.636363636364,14612.363636363636,13900.272727272728,2023-07-24,46.05021064567919,11.550052832955368,1432.3033578726863,2023-07-17,2023-07-10,2023-07-17,2023-07-10,260.9674834832549,658.4472282649949
ST-BG-4,2023-07-24,32,7,2023,,,Italy,,,,Trentino-Alto Adige,,Trentino,Telve,,BG-Sentinel,,11.48068,46.068981,0,Italy,2023-08-08,2023-07-22,46.06785355786339,11.482715119258788,0.3910034602076125,0.09515469935785176,-0.3548387096774194,-0.09515469935785176,0.5635953476037342,0.20553976007743646,-0.4838272075327133,-0.20553976007743646,0.0802349902742571,0.060513860514784974,0.0579226366929378,0.060513860514784974,2023-07-24,46.06785355786338,11.482715119258788,15149.0,14603.0,46.06785355786338,11.482715119258788,13836.7,13499.0,14123.46153846154,13580.0,14415.642857142857,13798.545454545454,14647.272727272728,13886.583333333336,2023-07-24,46.05021064567919,11.450052375527182,1220.055940022954,2023-07-17,2023-07-10,2023-07-17,2023-07-10,354.5588488858193,598.4837978100404
TN-BG-9,2023-07-24,32,7,2023,,,Italy,,,,Trentino-Alto Adige,,Trentino,Trento,,BG-Sentinel,,11.091284,46.110328,0,Italy,2023-08-08,2023-07-22,46.108277745648756,11.091947970666759,0.1027445460942998,-0.030021665119158193,-0.13140794223826716,0.030021665119158193,0.252721780750379,0.05327488430908242,-0.2467124457532466,-0.05327488430908242,0.15012413798397847,0.07976723361019945,0.10906914550868384,0.07976723361019945,2023-07-24,46.108277745648756,11.091947970666759,14979.0,14704.0,46.108277745648756,11.091947970666759,13833.733333333335,13560.083333333336,14056.722222222224,13703.266666666665,14329.785714285714,13867.083333333336,14529.1875,13958.071428571431,2023-07-24,46.15021110310738,11.050050545814443,1225.287043185068,2023-07-17,2023-07-10,2023-07-17,2023-07-10,99.94571707310388,174.01375841532717
