station_id,dt_placement,week,month,year,country_code,nuts0_code,nuts0_name,nuts1_code,nuts1_name,nuts2_code,nuts2_name,nuts3_code,nuts3_name,lau1_municipality,lau2_settlement,trap_type,sex,x,y,culex.spp,culex.pipiens,region,dt_placement_original,indices_image_date,indices_lat,indices_lon,ndvi,ndmi,ndwi,ndbi,ndvi_mean,ndmi_mean,ndwi_mean,ndbi_mean,ndvi_std,ndmi_std,ndwi_std,ndbi_std,lst_image_date,lst_lat,lst_lon,lst_day,lst_night,monthly_lst_lat,monthly_lst_lon,lst_jan_day_mean,lst_jan_night_mean,lst_feb_day_mean,lst_feb_night_mean,lst_mar_day_mean,lst_mar_night_mean,lst_apr_day_mean,lst_apr_night_mean,indices_image_date,indices_lat,indices_lon,acc_rainfall_jan,dt_placement_minus_7,dt_placement_minus_14,dt_placement_minus_7_avail,dt_placement_minus_14_avail,acc_rainfall_1week,acc_rainfall_2week
288,2023-09-18,40,9,2023,,,Italy,,,,Trentino-Alto Adige,,Trentino,Riva del Garda,,BG-Sentinel,-,10.844454,45.890818,0,0,Italy,2023-10-03,2023-09-18,45.89268207746006,10.84491126753387,0.2531645569620254,0.013966480446927386,-0.2371485373473445,-0.013966480446927386,0.28168386851139765,0.01937520498755211,-0.26003406558334624,-0.01937520498755211,0.04399988556021636,0.032632322253839816,0.03449961132418534,0.032632322253839816,2023-09-18,45.89268207746006,10.84491126753387,14549.0,14516.0,45.89268207746006,10.84491126753387,13956.9375,13681.133333333333,14094.764705882351,13749.533333333333,14374.588235294117,13869.470588235294,14496.789473684208,13993.333333333336,2023-09-18,45.850209730822826,10.850049630958074,1304.0808015788546,2023-09-11,2023-09-04,2023-09-11,2023-09-04,48.253399544759105,48.253399544759105
315,2023-09-18,40,9,2023,,,Italy,,,,Trentino-Alto Adige,,Trentino,Arco,,BG-Sentinel,F,10.864102,45.919723,1,1,Italy,2023-10-03,2023-09-18,45.91963153598365,10.862877573216265,0.4235924932975872,0.07142857142857145,-0.3763608087091757,-0.07142857142857145,0.4970793673661064,0.13047382920015296,-0.43416204512348255,-0.13047382920015296,0.0972451165180872,0.06752088960034426,0.07632573680050195,0.06752088960034426,2023-09-18,45.91963153598365,10.86287757321626,14763.0,14469.0,45.91963153598365,10.86287757321626,14031.0,13681.214285714286,14184.933333333332,13783.5625,14491.928571428569,13889.533333333333,14590.066666666668,13990.0,2023-09-18,45.950210188251006,10.850049630958074,1591.3768098250907,2023-09-11,2023-09-04,2023-09-11,2023-09-04,46.92420654101666,46.92420654101666
351,2023-09-18,40,9,2023,,,Italy,,,,Trentino-Alto Adige,,Trentino,Riva del Garda,,BG-Sentinel,M,10.855636,45.894986,2,2,Italy,2023-10-03,2023-09-18,45.89717365388066,10.853894420375068,0.2483415056244592,0.009563797527408428,-0.2355124179274907,-0.009563797527408428,0.4203153048283755,0.10054224074846896,-0.3595126843401427,-0.10054224074846896,0.13380891246779067,0.06622667806813834,0.10101771550103032,0.06622667806813834,2023-09-18,45.89717365388066,10.853894420375068,15002.0,14537.0,45.89717365388066,10.853894420375068,13979.1875,13633.866666666667,14145.5,13660.875,14467.588235294117,13854.222222222224,14609.157894736842,13973.53846153846,2023-09-18,45.850209730822826,10.850049630958074,1304.0808015788546,2023-09-11,2023-09-04,2023-09-11,2023-09-04,48.253399544759105,48.253399544759105
CDCRA5,2023-09-18,40,9,2023,,,Italy,,,,Trentino-Alto Adige,,Trentino,Arco,,CDC-trap,-,10.892337,45.915607,0,0,Italy,2023-10-03,2023-09-18,45.915139959563035,10.894318608160448,0.4777777777777778,0.13168557536466768,-0.40989399293286216,-0.13168557536466768,0.5447686372534744,0.15332465993269806,-0.4532651823199664,-0.15332465993269806,0.1007905022419214,0.05723533035867182,0.06778126273055232,0.05723533035867182,2023-09-18,45.915139959563035,10.894318608160448,15120.0,14374.0,45.91513995956304,10.894318608160448,13956.2,13615.571428571431,14144.5625,13694.571428571431,14536.928571428569,13863.75,14653.388888888889,13963.928571428569,2023-09-18,45.950210188251006,10.850049630958074,1591.3768098250907,2023-09-11,2023-09-04,2023-09-11,2023-09-04,46.92420654101666,46.92420654101666
CDCRA6,2023-09-18,40,9,2023,,,Italy,,,,Trentino-Alto Adige,,Trentino,Riva del Garda,,CDC-trap,F,10.862481,45.882249,1,1,Italy,2023-10-03,2023-09-18,45.88369892461886,10.862877573216265,0.4974902398215281,0.17479763727849484,-0.42743221690590105,-0.17479763727849484,0.5240975901213516,0.2128140063404192,-0.43390925390418855,-0.2128140063404192,0.09782127003029473,0.08491440071026779,0.07301430630871192,0.08491440071026779,2023-09-18,45.88369892461886,10.86287757321626,14571.0,14572.0,45.88369892461886,10.86287757321626,13948.8125,13629.277777777776,14098.764705882351,13708.8,14397.5625,13835.117647058823,14502.380952380952,13979.5,2023-09-18,45.850209730822826,10.850049630958074,1304.0808015788546,2023-09-11,2023-09-04,2023-09-11,2023-09-04,48.253399544759105,48.253399544759105
PO-BG-3,2023-09-18,40,9,2023,,,Italy,,,,Trentino-Alto Adige,,Trentino,Trento,,BG-Sentinel,F,11.160635,46.083488,2,2,Italy,2023-10-03,2023-09-18,46.08132828712517,11.15932161697573,0.41586538461538464,0.2966428178315906,-0.25319148936170216,-0.2966428178315906,0.41943919008633707,0.28969430616176045,-0.24844029981717325,-0.28969430616176045,0.04938301732442265,0.05924090164883618,0.08331071685189016,0.05924090164883618,2023-09-18,46.08132828712517,11.15932161697573,14785.0,14637.0,46.08132828712517,11.15932161697573,13874.833333333336,13537.0,14128.35294117647,13689.764705882351,14463.642857142857,13838.692307692307,14607.388888888889,13932.384615384617,2023-09-18,46.05021064567919,11.150051003242629,1388.004419467816,2023-09-11,2023-09-04,2023-09-11,2023-09-04,31.07806013835166,31.07806013835166
RA-CDC-1,2023-09-18,40,9,2023,,,Italy,,,,Trentino-Alto Adige,,Trentino,Arco,,CDC-trap,-,10.891121,45.905765,0,0,Italy,2023-10-03,2023-09-18,45.906156806721846,10.88982703173985,0.5212104836530668,0.13393756294058415,-0.4369576314446146,-0.13393756294058415,0.5934860206273848,0.19221695863858146,-0.480594047756276,-0.19221695863858146,0.04178173453213036,0.038527758460964436,0.032094736579467736,0.038527758460964436,2023-09-18,45.906156806721846,10.88982703173985,14638.0,14500.0,45.906156806721846,10.88982703173985,13931.722222222224,13601.785714285714,14124.5,13660.285714285714,14487.4,13826.933333333332,14622.684210526317,13916.642857142857,2023-09-18,45.950210188251006,10.850049630958074,1591.3768098250907,2023-09-11,2023-09-04,2023-09-11,2023-09-04,46.92420654101666,46.92420654101666
ST-BG-3,2023-09-18,40,9,2023,,,Italy,,,,Trentino-Alto Adige,,Trentino,Castel Ivano,,BG-Sentinel,-,11.525146,46.066722,0,0,Italy,2023-10-03,2023-09-18,46.06785355786339,11.523139307044168,0.6177361608372348,0.20344191763982789,-0.5304846274101094,-0.20344191763982789,0.5942043668671326,0.18215304043002328,-0.5170810281605378,-0.18215304043002328,0.09222978696394196,0.06550436314951462,0.06766530816445854,0.06550436314951462,2023-09-18,46.06785355786338,11.523139307044168,15025.0,14464.0,46.06785355786338,11.523139307044168,13890.0,13521.916666666664,14084.411764705883,13627.0,14399.153846153846,13803.636363636364,14612.363636363636,13900.272727272728,2023-09-18,46.05021064567919,11.550052832955368,1676.3878392256202,2023-09-11,2023-09-04,2023-09-11,2023-09-04,40.88695059369379,40.88695059369379
ST-BG-4,2023-09-18,40,9,2023,,,Italy,,,,Trentino-Alto Adige,,Trentino,Telve,,BG-Sentinel,F,11.48068,46.068981,2,2,Italy,2023-10-03,2023-09-18,46.06785355786339,11.482715119258788,0.3347043701799485,0.031796502384737656,-0.3244897959183673,-0.031796502384737656,0.5266393286298364,0.12664330310422636,-0.4663367043819663,-0.12664330310422636,0.0879629493009662,0.054274690510192285,0.06331077374699061,0.054274690510192285,2023-09-18,46.06785355786338,11.482715119258788,14547.0,14190.0,46.06785355786338,11.482715119258788,13836.7,13499.0,14123.46153846154,13580.0,14415.642857142857,13798.545454545454,14647.272727272728,13886.583333333336,2023-09-18,46.05021064567919,11.450052375527182,1466.4317553623123,2023-09-11,2023-09-04,2023-09-11,2023-09-04,29.058866791414317,29.058866791414317
TN-BG-9,2023-09-18,40,9,2023,,,Italy,,,,Trentino-Alto Adige,,Trentino,Trento,,BG-Sentinel,F,11.091284,46.110328,1,1,Italy,2023-10-03,2023-09-18,46.108277745648756,11.091947970666759,0.06287227001985439,-0.040239043824701184,-0.06076618229854685,0.040239043824701184,0.2349313026021624,0.06401899990297719,-0.20975726921213966,-0.06401899990297719,0.15838091716034455,0.08960617867320746,0.11830023674209356,0.08960617867320746,2023-09-18,46.108277745648756,11.091947970666759,14824.0,14700.0,46.108277745648756,11.091947970666759,13833.733333333335,13560.083333333336,14056.722222222224,13703.266666666665,14329.785714285714,13867.083333333336,14529.1875,13958.071428571431,2023-09-18,46.15021110310738,11.050050545814443,1557.5370410898342,2023-09-11,2023-09-04,2023-09-11,2023-09-04,20.175786291249096,20.175786291249096
