x,y,region,dt_placement,year,month,ndvi_new,ndmi_new,ndwi_new,ndbi_new,ndvi_mean_new,ndmi_mean_new,ndwi_mean_new,ndbi_mean_new,ndvi_std_new,ndmi_std_new,ndwi_std_new,ndbi_std_new,lst_day_new,lst_night_new,lst_jan_day_mean_new,lst_jan_night_mean_new,lst_feb_day_mean_new,lst_feb_night_mean_new,lst_mar_day_mean_new,lst_mar_night_mean_new,lst_apr_day_mean_new,lst_apr_night_mean_new,acc_rainfall_jan_new,acc_rainfall_1week_new,acc_rainfall_2week_new,DISTANCE_TO_COAST,DISTANCE_TO_RIVER,SLOPE_mean_1km,ASPECT_mean_200m,ELEVATION_mean_1km,HILLSHADE_mean_1km,FS_AREA_1km,FLOW_ACCU_200m,landcover
12.360432,46.268809,Friuli-Venezia Giulia,2023-05-03,2023,5,0.3853853853853853,-0.0754843019372077,-0.3821571238348868,0.0754843019372077,0.3142952737980877,-0.0801406561248558,-0.298455969209809,0.0801406561248558,0.0450248079651095,0.0604718543382454,0.106068570560155,0.0604718543382454,14620.0,13606.0,13695.6,13456.181818181818,13877.777777777776,13497.666666666664,14226.0,13668.818181818182,14411.0,13753.769230769229,99.95847092956376,10.211024195379489,11.74146430556772,15550.8461422922,6.44356825889247,34,164.743782788034,804.209533732216,158.134176865999,0.0945951427001953,334.412218173081,31.0
12.3861,46.250842,Friuli-Venezia Giulia,2023-05-03,2023,5,0.324,0.1268085106382978,-0.1917191719171917,-0.1268085106382978,0.3418060459512113,0.0378241815426168,-0.2938421964722036,-0.0378241815426168,0.0575002716868385,0.0808878512158223,0.1152605929130823,0.0808878512158223,14276.0,13942.0,13587.25,13450.8,13735.071428571431,13508.473684210529,14002.727272727272,13657.0,14131.857142857143,13750.833333333336,99.95847092956376,10.211024195379489,11.74146430556772,14127.4960376038,1659.08526930641,26,252.726639163696,1281.6618206652,180.579220351959,0.0,1.75275363479793,14.0
12.3861,46.268809,Friuli-Venezia Giulia,2023-05-03,2023,5,0.3364126250962278,0.0093023255813953,-0.2507204610951008,-0.0093023255813953,0.3072135429692849,0.0207344898386416,-0.2292521453924493,-0.0207344898386416,0.0478959597299907,0.0427990338466893,0.0648635305948809,0.0427990338466893,14583.0,13948.0,13604.0,13485.083333333336,13767.2,13521.64705882353,14154.0,13665.6,14295.625,13760.692307692309,99.95847092956376,10.211024195379489,11.74146430556772,15604.7257833428,589.912696751748,24,291.352617245384,985.774797780653,225.890293471315,0.0,2.84879250270335,14.0
12.3861,46.286776,Friuli-Venezia Giulia,2023-05-03,2023,5,,,,,,,,,,,,,,,,,,,,,,,99.95847092956376,10.211024195379489,11.74146430556772,16825.7588689573,711.079025355039,22,207.148160012814,1191.63111062989,170.025170455387,0.0,2.49697673487366,21.0
12.3861,46.304742,Friuli-Venezia Giulia,2023-05-03,2023,5,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,18184.6442811657,666.583999298132,42,196.244352854085,1544.1537033316,201.027964043782,0.0,2.76489065845021,14.0
12.411769,46.250842,Friuli-Venezia Giulia,2023-05-03,2023,5,0.3866203301476976,-0.0391330523780854,-0.3872229465449805,0.0391330523780854,0.3452868216859135,-0.0373651076227614,-0.3399880533923784,0.0373651076227614,0.0485701724181791,0.0497886849614586,0.0704401510545568,0.0497886849614586,14055.0,13900.0,13631.333333333336,13451.9,13774.133333333331,13544.125,14049.2,13642.111111111111,14171.833333333336,13732.5,126.7530565868086,6.372842868132628,7.237129422607741,12849.3056048373,383.6835911183,33,123.780683661413,1064.38532175892,176.315707698125,0.0,8.87626409275688,14.0
12.411769,46.268809,Friuli-Venezia Giulia,2023-05-03,2023,5,0.2379454926624738,-0.0538754255958341,-0.2553813446718045,0.0538754255958341,0.2732452513152004,0.0039087726209806,-0.2826331423487255,-0.0039087726209806,0.1069036858010896,0.1249787599929502,0.0976634449352718,0.1249787599929502,13923.0,13891.0,13606.625,13480.416666666664,13739.176470588234,13544.066666666668,14050.7,13580.181818181818,14089.333333333336,13718.5,126.7530565868086,6.372842868132628,7.237129422607741,14026.485794053,89.4942388423904,50,125.026490198827,1234.19150052016,172.391125692088,0.0,53.5114630678975,21.0
12.411769,46.286776,Friuli-Venezia Giulia,2023-05-03,2023,5,,,,,,,,,,,,,,,,,,,,,,,126.7530565868086,6.372842868132628,7.237129422607741,15373.8840512073,1066.26632810408,32,145.386500120106,1015.08285641954,181.396179237016,0.0,7.7414124429498,14.0
12.411769,46.304742,Friuli-Venezia Giulia,2023-05-03,2023,5,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,16850.7196895701,1969.1388273849,47,179.289121431001,1781.29262071651,158.76362694704,0.0,1.33898237259649,31.0
12.437438,46.035242,Friuli-Venezia Giulia,2023-05-03,2023,5,0.3342096615182386,0.001233045622688,-0.345707656612529,-0.001233045622688,0.3273798364765775,0.027160348323649,-0.3417981825503844,-0.027160348323649,0.0428104851189523,0.0472726360908134,0.0336915142129813,0.0472726360908134,14388.0,13864.0,13749.142857142857,13478.777777777776,13788.230769230771,13546.0,14088.7,13676.333333333336,14127.142857142857,13735.166666666664,97.238054674468,7.805203589843586,10.17538293567486,9006.48214606867,3300.64408334725,14,133.83696985541,1248.71071199939,160.178544540461,0.0,1.49850181993686,14.0
12.437438,46.232875,Friuli-Venezia Giulia,2023-05-03,2023,5,0.1853546910755149,0.1812998859749145,-0.036,-0.1812998859749145,0.2491982337553525,0.1296700336552737,-0.1771999104567361,-0.1296700336552737,0.076555048586264,0.0499895389609707,0.1162734860063303,0.0499895389609707,13955.0,13855.0,13608.428571428569,13421.8,13730.466666666667,13466.105263157897,14069.285714285714,13596.222222222224,14122.6,13696.285714285714,126.7530565868086,6.372842868132628,7.237129422607741,10124.1015014273,664.866662876887,28,158.775321656179,1166.20728926721,127.293216812772,0.0,3.23209347068019,21.0
12.437438,46.250842,Friuli-Venezia Giulia,2023-05-03,2023,5,0.3638137719542793,-0.0849233071455294,-0.4134643166714822,0.0849233071455294,0.2976307664529831,-0.0569281160926104,-0.3177260680127076,0.0569281160926104,0.0598321240750575,0.056561447125058,0.0892074154602242,0.056561447125058,14322.0,13936.0,13702.2,13433.666666666664,13845.411764705885,13557.470588235294,14131.375,13609.818181818182,14260.0,13738.384615384615,126.7530565868086,6.372842868132628,7.237129422607741,11232.8281570825,1617.15291478375,30,128.340376103979,1081.873511066,149.475437607633,0.0,11.028177758196,14.0
12.437438,46.268809,Friuli-Venezia Giulia,2023-05-03,2023,5,0.3951434878587196,-0.0840579710144927,-0.4228893058161351,0.0840579710144927,0.378577997610926,-0.039498014374348,-0.3699857168764871,0.039498014374348,0.0612420260359326,0.0336240650709929,0.0470735509897783,0.0336240650709929,14002.0,13927.0,13653.5,13479.583333333336,13813.470588235294,13541.35294117647,14066.2,13605.363636363636,14122.833333333336,13751.076923076924,126.7530565868086,6.372842868132628,7.237129422607741,12562.91457632,923.916237571474,25,57.9682024789251,1049.57522228716,117.61824508085,0.0,2.0,14.0
12.437438,46.286776,Friuli-Venezia Giulia,2023-05-03,2023,5,,,,,,,,,,,,,,,,,,,,,,,126.7530565868086,6.372842868132628,7.237129422607741,14051.8176736067,213.75495337381,21,180.447104989189,735.2663699877,153.981949995599,0.0,16.637863377913,31.0
12.437438,46.304742,Friuli-Venezia Giulia,2023-05-03,2023,5,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,15654.2893075816,796.690619525918,42,110.9626057902,958.495689990873,125.118928681576,0.0,4.1930733678798,21.0
12.437438,46.322709,Friuli-Venezia Giulia,2023-05-03,2023,5,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,17338.8718138111,466.368313556449,23,206.502890404657,1325.39159784633,146.098445002896,0.0,4.0,31.0
12.463106,45.981342,Friuli-Venezia Giulia,2023-05-03,2023,5,0.418580375782881,0.0579992214869598,-0.3803961401726765,-0.0579992214869598,0.5601059402398468,0.1906653027783604,-0.4806322857020504,-0.1906653027783604,0.0828424398694289,0.0800240111909703,0.0590807818325935,0.0800240111909703,14832.0,14124.0,13983.25,13572.0,14154.416666666664,13641.642857142857,14503.666666666664,13929.75,14582.0,13993.375,28.191939559932507,4.8649614109890535,4.909228221920785,13793.5903666773,617.778083910645,2,124.609843985908,97.354412154085,168.726488435163,0.0,1.0,31.0
12.463106,45.999308,Friuli-Venezia Giulia,2023-05-03,2023,5,0.5093288777499304,0.031006277344493,-0.4426404045781208,-0.031006277344493,0.397200998466459,0.0116955226978768,-0.3781002300759443,-0.0116955226978768,0.0874619977888493,0.079277197522391,0.0521446044547238,0.079277197522391,14714.0,13941.0,13842.0,13562.5,14161.53846153846,13665.071428571431,14477.111111111111,13861.777777777776,14567.777777777776,13914.857142857143,28.191939559932507,4.8649614109890535,4.909228221920785,12592.3170946213,806.000841519228,3,127.703090418897,171.960094350779,156.235564479689,0.0,21.9395597762666,31.0
12.463106,46.017275,Friuli-Venezia Giulia,2023-05-03,2023,5,0.2992446252178966,-0.0687213660974593,-0.3003780168653678,0.0687213660974593,0.3112013541325176,-0.0600115068463981,-0.3138185314883372,0.0600115068463981,0.0169833368346877,0.0251175925875493,0.0129300265646789,0.0251175925875493,14621.0,14043.0,13901.571428571431,13626.6,14106.153846153846,13664.53846153846,14360.0,13812.1,14451.285714285714,13861.111111111111,97.238054674468,7.805203589843586,10.17538293567486,11607.0700209471,1122.86574049724,18,125.915154319746,441.656535047205,118.576065037341,0.0,3.83461430123536,14.0
12.463106,46.035242,Friuli-Venezia Giulia,2023-05-03,2023,5,0.3259860788863109,-0.0695970695970696,-0.2735376044568245,0.0695970695970696,0.355404510515791,-0.0903939505365547,-0.3314070686889174,0.0903939505365547,0.0340657977595048,0.0310255424594752,0.0359731455744875,0.0310255424594752,14640.0,13921.0,13968.666666666664,13550.125,14038.571428571431,13637.214285714286,14344.444444444443,13791.166666666664,14390.714285714286,13822.0,97.238054674468,7.805203589843586,10.17538293567486,10902.1623470381,1414.8919402805,32,100.575981821472,660.28875414193,107.751256470176,0.0,1.0,14.0
12.463106,46.053209,Friuli-Venezia Giulia,2023-05-03,2023,5,0.3014379084967321,-0.082903463522476,-0.3501491727691889,0.082903463522476,0.3127945571353571,-0.0423204011487301,-0.3298040815894706,0.0423204011487301,0.0491205931151374,0.1073947012718821,0.0320705332006516,0.1073947012718821,14391.0,13789.0,13730.857142857143,13436.0,13821.5,13527.571428571431,14088.916666666664,13640.555555555557,14154.0,13715.7,97.238054674468,7.805203589843586,10.17538293567486,10354.5352269785,2947.09225036243,33,162.711712798247,1125.47859275897,148.729863893368,0.0,3.08878570423526,31.0
12.463106,46.071175,Friuli-Venezia Giulia,2023-05-03,2023,5,0.163671219745986,0.1647877188774286,-0.1777831675964104,-0.1647877188774286,0.2270780294212095,0.2407509878902352,-0.2251293878395037,-0.2407509878902352,0.050067028852878,0.0527434280443611,0.0430811959729759,0.0527434280443611,14266.0,13861.0,13722.0,13477.625,13726.6,13538.142857142857,13991.25,13600.090909090908,14020.0,13705.153846153846,97.238054674468,7.805203589843586,10.17538293567486,9368.79244702954,1971.60098494808,16,194.063954656912,1350.65292367659,194.066825999637,0.0,1.0,14.0
12.463106,46.214909,Friuli-Venezia Giulia,2023-05-03,2023,5,0.2965706447187928,0.0222799048237075,-0.3193746510329425,-0.0222799048237075,0.3117464689377303,0.0189627707056662,-0.3138886561373804,-0.0189627707056662,0.0865936146433842,0.0254274588422729,0.0893115070940374,0.0254274588422729,,13799.0,13531.0,13394.4,13582.785714285714,13468.222222222224,13949.0,13594.7,14047.0,13691.153846153846,126.7530565868086,6.372842868132628,7.237129422607741,7462.68271111583,1638.6593372352,43,117.836292941035,1289.89319565884,137.831379425739,0.0,1.0,21.0
12.463106,46.232875,Friuli-Venezia Giulia,2023-05-03,2023,5,0.1741293532338308,0.1114599686028257,-0.0948453608247422,-0.1114599686028257,0.2685531113478932,0.1492564625523541,-0.2113200077180634,-0.1492564625523541,0.1295798920565356,0.1838527483428164,0.1649998309678646,0.1838527483428164,14261.0,13950.0,13611.875,13434.555555555557,13723.388888888889,13493.94117647059,14058.777777777776,13656.181818181818,14195.571428571431,13751.0,126.7530565868086,6.372842868132628,7.237129422607741,8449.71848293911,350.482413541572,23,301.228897795591,1029.8258096915,185.087230837132,0.0,11.134248496994,11.0
12.463106,46.250842,Friuli-Venezia Giulia,2023-05-03,2023,5,0.3480753480753481,-0.1049483414899402,-0.3603305785123967,0.1049483414899402,0.3322552175760477,-0.057209491537459,-0.3289043976556958,0.057209491537459,0.0464631168471918,0.047264980309315,0.0508254900812739,0.047264980309315,14015.0,13982.0,13643.0,13441.555555555557,13862.0,13550.625,14195.272727272728,13670.2,14276.714285714286,13761.0,126.7530565868086,6.372842868132628,7.237129422607741,9751.25245546469,137.807015886039,29,153.222382440118,677.54356091465,160.113755836226,0.0006225402832031,29.0014619883041,31.0
12.463106,46.268809,Friuli-Venezia Giulia,2023-05-03,2023,5,0.2387593171435441,-0.0619082301529498,-0.2860708936595106,0.0619082301529498,0.3253632741701787,-0.0160598959600075,-0.3378295678613755,0.0160598959600075,0.1527376684839204,0.0844996915566234,0.1136220975153533,0.0844996915566234,14200.0,13937.0,13689.428571428569,13424.4,13848.764705882351,13496.0625,14227.3,13629.3,14297.0,13750.785714285714,126.7530565868086,6.372842868132628,7.237129422607741,11258.2195451176,174.018101251899,38,176.299345201145,597.761697959413,169.73047041203,0.0,271.037325537155,31.0
12.463106,46.286776,Friuli-Venezia Giulia,2023-05-03,2023,5,,,,,,,,,,,,,,,,,,,,,,,126.7530565868086,6.372842868132628,7.237129422607741,12899.0097365221,1491.68593137189,4,209.734781303173,995.370395874017,205.867526583874,0.0,2.13143829446502,22.0
12.463106,46.304742,Friuli-Venezia Giulia,2023-05-03,2023,5,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,14628.6646612582,1170.35527701347,36,99.5157159720694,1463.74100273987,211.290612475682,0.0,2.03011144234809,21.0
12.463106,46.322709,Friuli-Venezia Giulia,2023-05-03,2023,5,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,16419.1263993428,183.483079862752,40,274.66250650026,1072.99743090697,189.528162709225,0.0,182.536061442458,15.0
12.463106,46.340676,Friuli-Venezia Giulia,2023-05-03,2023,5,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,18252.9706677822,434.261928937836,57,63.7604791616671,1311.84600730275,126.158028507482,0.0,1.55003599712023,14.0
12.488775,45.963375,Friuli-Venezia Giulia,2023-05-03,2023,5,0.6157314629258518,0.2617370892018779,-0.5426931356134895,-0.2617370892018779,0.4905150819268831,0.1275532395311595,-0.4553825520216976,-0.1275532395311595,0.0835253722110097,0.0865755169253494,0.0554676323119473,0.0865755169253494,14943.0,14118.0,14001.875,13540.428571428569,14165.53846153846,13543.916666666664,14555.384615384615,13878.375,14676.9,13966.333333333336,28.191939559932507,4.8649614109890535,4.909228221920785,16596.3387816478,385.738661365305,2,171.644077012929,23.7435263510522,179.921833505076,0.0,1.0,31.0
12.488775,45.981342,Friuli-Venezia Giulia,2023-05-03,2023,5,0.5127719962157048,0.1695008228195282,-0.4703448275862068,-0.1695008228195282,0.5057114902072442,0.1696694052035245,-0.4680595213751225,-0.1696694052035245,0.0579916788510078,0.0575908708686346,0.0394458271014944,0.0575908708686346,14823.0,14089.0,13996.571428571431,13545.666666666664,14144.692307692309,13527.0,14513.133333333331,13865.125,14625.888888888889,13962.5,28.191939559932507,4.8649614109890535,4.909228221920785,15364.3774741707,260.185761355076,2,190.641504116593,24.1271455239226,180.2182847089,0.0,123.45560319665,31.0
12.488775,45.999308,Friuli-Venezia Giulia,2023-05-03,2023,5,0.5388757993941433,0.1266633809758501,-0.4616368286445012,-0.1266633809758501,0.497067792634295,0.1607857402691887,-0.4478221415607986,-0.1607857402691887,0.0,0.0,0.0,0.0,14750.0,14057.0,13957.444444444443,13614.4,14122.153846153846,13561.733333333335,14485.0,13823.111111111111,14595.25,13943.0,28.191939559932507,4.8649614109890535,4.909228221920785,14290.6504358962,260.101572725965,3,203.493158678418,34.8914878387628,177.017585983839,0.0,82.479818101332,31.0
