station_id,x,y,dt_placement,week,month,year,country_code,nuts0_code,nuts0_name,nuts1_code,nuts1_name,nuts2_code,nuts2_name,nuts3_code,nuts3_name,lau1_municipality,lau2_settlement,trap_type,no_pools,poolsize,no_pos_pools,wnv_mir,culex.spp,culex.pipiens,region,dt_placement_original,indices_image_date,indices_lat,indices_lon,ndvi,ndmi,ndwi,ndbi,ndvi_mean,ndmi_mean,ndwi_mean,ndbi_mean,ndvi_std,ndmi_std,ndwi_std,ndbi_std,lst_image_date,lst_lat,lst_lon,lst_day,lst_night,monthly_lst_lat,monthly_lst_lon,lst_jan_day_mean,lst_jan_night_mean,lst_feb_day_mean,lst_feb_night_mean,lst_mar_day_mean,lst_mar_night_mean,lst_apr_day_mean,lst_apr_night_mean,indices_image_date,indices_lat,indices_lon,acc_rainfall_jan,dt_placement_minus_7,dt_placement_minus_14,dt_placement_minus_7_avail,dt_placement_minus_14_avail,acc_rainfall_1week,acc_rainfall_2week
1,12.877089,45.606292,2024-06-16,27,6,2024,IT,0,ITALY,ITH,North-east,ITH3,Veneto,ITH35,Venezia,Caorle,,CDC-CO2,10,100-100-100-100-100-100-100-100-100-100,0.0,,2872,2872,Veneto,2024-07-01,2024-06-16,45.605221186541776,12.875103809644164,0.28268710550045084,-0.005418633106100317,-0.2958323844226828,0.005418633106100317,0.2743191827129899,0.0313220688330976,-0.26918656024762433,-0.0313220688330976,0.10047661384607642,0.08739876914551963,0.07765318318295601,0.08739876914551963,2024-06-16,45.605221186541776,12.875103809644164,15014.0,14699.0,45.605221186541776,12.875103809644164,13867.727272727272,13655.333333333336,14089.142857142857,13881.0,14468.857142857143,13898.571428571431,14678.928571428569,14198.444444444443,2024-06-02,45.65020881596645,12.850058779521772,832.7063481031955,2024-06-09,2024-06-02,2024-06-02,2024-06-02,0.0,0.0
1,12.877089,45.606292,2024-06-16,27,6,2024,IT,0,ITALY,ITH,North-east,ITH3,Veneto,ITH35,Venezia,Caorle,,Gravid ,1,2,0.0,,2,2,Veneto,2024-07-01,2024-06-16,45.605221186541776,12.875103809644164,0.28268710550045084,-0.005418633106100317,-0.2958323844226828,0.005418633106100317,0.2743191827129899,0.0313220688330976,-0.26918656024762433,-0.0313220688330976,0.10047661384607642,0.08739876914551963,0.07765318318295601,0.08739876914551963,2024-06-16,45.605221186541776,12.875103809644164,15014.0,14699.0,45.605221186541776,12.875103809644164,13867.727272727272,13655.333333333336,14089.142857142857,13881.0,14468.857142857143,13898.571428571431,14678.928571428569,14198.444444444443,2024-06-02,45.65020881596645,12.850058779521772,832.7063481031955,2024-06-09,2024-06-02,2024-06-02,2024-06-02,0.0,0.0
3,12.429368,45.55892,2024-06-16,27,6,2024,IT,0,ITALY,ITH,North-east,ITH3,Veneto,ITH35,Venezia,Quarto d'Altino,,CDC-CO2,4,100-100-100-98,0.0,,398,398,Veneto,2024-07-01,2024-06-16,45.56030542233582,12.430437744004966,0.4787716955941255,0.12241588974462915,-0.4262168426474376,-0.12241588974462915,0.5784507967494916,0.2380303587762464,-0.4848977099442667,-0.2380303587762464,0.0607442200209925,0.05559792634381403,0.03961209397730184,0.05559792634381403,2024-06-16,45.56030542233582,12.430437744004966,15027.0,14337.0,45.560305422335816,12.430437744004966,13878.071428571431,13611.0,14260.714285714286,13819.333333333336,14521.142857142857,14019.555555555557,14775.75,14160.090909090908,2024-06-02,45.55020835853827,12.450056949809031,666.0617681057233,2024-06-09,2024-06-02,2024-06-02,2024-06-02,0.0,0.0
198,12.797359,45.826409,2024-06-16,27,6,2024,IT,0,ITALY,ITH,North-east,ITH3,Veneto,ITH35,Venezia,Cinto di Caomaggiore,,CDC-CO2,1,95,0.0,,95,95,Veneto,2024-07-01,2024-06-16,45.82530843115109,12.798747010494,0.4781653391925296,0.2298903107861061,-0.4022928608650338,-0.2298903107861061,0.4130950798392717,0.1977644076148949,-0.3151357628469534,-0.1977644076148949,0.11412869355630467,0.060890393357475876,0.13040010803065324,0.060890393357475876,2024-06-16,45.82530843115109,12.798747010494,14908.0,14638.0,45.82530843115109,12.798747010494,13958.142857142857,13598.8,14162.0,13860.428571428569,14509.888888888889,13982.375,14695.214285714286,14199.666666666664,2024-06-02,45.850209730822826,12.750058322093587,658.2509662807136,2024-06-09,2024-06-02,2024-06-02,2024-06-02,0.0,0.0
199,12.859687,45.690322,2024-06-16,27,6,2024,IT,0,ITALY,ITH,North-east,ITH3,Veneto,ITH35,Venezia,Concordia Sagittaria,,CDC-CO2,5,100-100-100-100-12,0.0,,412,412,Veneto,2024-07-01,2024-06-16,45.69056113853314,12.861629080382373,0.329064587973274,0.16981132075471705,-0.30365920262151835,-0.16981132075471705,0.26051381184074,0.05159582509262688,-0.2512786720656769,-0.05159582509262688,0.13588007135844327,0.11775152506784113,0.1056866643583144,0.11775152506784113,2024-06-16,45.69056113853314,12.861629080382373,14869.0,14729.0,45.69056113853314,12.861629080382373,13895.133333333333,13609.071428571431,14254.0,13840.333333333336,14446.2,14014.857142857143,14744.857142857143,14284.875,2024-06-02,45.65020881596645,12.850058779521772,832.7063481031955,2024-06-09,2024-06-02,2024-06-02,2024-06-02,0.0,0.0
307,12.658373,45.674905,2024-06-16,27,6,2024,IT,0,ITALY,ITH,North-east,ITH3,Veneto,ITH35,Venezia,Ceggia,,CDC-CO2,10,100-100-100-100-100-100-100-100-100-100,0.0,,1070,1070,Veneto,2024-07-01,2024-06-16,45.677086409271354,12.659508141455461,0.5596281540504648,0.28349726775956285,-0.4647044150661013,-0.28349726775956285,0.34261834081949344,0.08789968512506847,-0.29569898351969626,-0.08789968512506847,0.04523595942813823,0.049109239945285266,0.03650545209543007,0.049109239945285266,2024-06-16,45.677086409271354,12.659508141455461,14848.0,14667.0,45.677086409271354,12.659508141455461,13881.4,13554.5,14208.111111111111,13770.125,14549.111111111111,13986.666666666664,14764.529411764706,14132.111111111111,2024-06-02,45.65020881596645,12.650057864665403,722.4512137619215,2024-06-09,2024-06-02,2024-06-02,2024-06-02,0.0,0.0
346,12.084125,45.464148,2024-06-16,27,6,2024,IT,0,ITALY,ITH,North-east,ITH3,Veneto,ITH35,Venezia,Mirano,,CDC-CO2,5,100-100-100-100-45,0.0,,445,445,Veneto,2024-07-01,2024-06-16,45.465982317503254,12.08458635961892,0.37038461538461537,0.0650127036317441,-0.3664429530201342,-0.0650127036317441,0.3809611386501632,0.06807660115598736,-0.3668674085736375,-0.06807660115598736,0.02786983453541341,0.022253240619386137,0.01963507162824881,0.022253240619386137,2024-06-16,45.465982317503254,12.08458635961892,14959.0,14729.0,45.465982317503254,12.08458635961892,13843.090909090908,13584.0,14256.625,13861.666666666664,14546.857142857143,14010.75,14732.357142857143,14191.0,2024-06-02,45.45020790111008,12.050055120096292,609.5312564766102,2024-06-09,2024-06-02,2024-06-02,2024-06-02,0.0,0.0
347,12.975591,45.694464,2024-06-16,27,6,2024,IT,0,ITALY,ITH,North-east,ITH3,Veneto,ITH35,Venezia,San Michele al Tagliamento,,CDC-CO2,9,100-100-100-100-100-100-100-100-66,0.0,,866,866,Veneto,2024-07-01,2024-06-16,45.695052714953746,12.973918490897322,0.4574148296593186,0.07900593471810083,-0.3718462626738976,-0.07900593471810083,0.3425261594205806,0.04738480549922218,-0.31773116903415904,-0.04738480549922218,0.07493423731473323,0.021076279238562645,0.035720765681049475,0.021076279238562645,2024-06-16,45.695052714953746,12.973918490897322,14824.0,14695.0,45.695052714953746,12.973918490897322,13893.5,13621.1875,14238.6,13857.8,14447.666666666664,13952.285714285714,14657.266666666665,14172.888888888889,2024-06-02,45.65020881596645,12.950059236949958,1090.3813735246176,2024-06-09,2024-06-02,2024-06-02,2024-06-02,0.0,0.0
384,12.637082,45.544211,2024-06-16,27,6,2024,IT,0,ITALY,ITH,North-east,ITH3,Veneto,ITH35,Venezia,Jesolo,,CDC-CO2,3,100-100-18,0.0,,218,218,Veneto,2024-07-01,2024-06-16,45.54233911665342,12.637050259352472,0.2989550204452521,-0.03623799089836511,-0.3036935704514364,0.03623799089836511,0.3244684751859452,0.012111352626279008,-0.3133742246700087,-0.012111352626279008,0.0775472992603982,0.053235250358607315,0.05110015933934807,0.053235250358607315,2024-06-16,45.54233911665342,12.637050259352472,15071.0,14749.0,45.54233911665342,12.637050259352472,13901.333333333336,13608.0,14266.75,13792.0,14476.444444444443,13999.5,14735.857142857143,14230.4,2024-06-02,45.55020835853827,12.650057864665403,825.0770291458466,2024-06-09,2024-06-02,2024-06-02,2024-06-02,0.0,0.0
389,12.985235,45.771308,2024-06-16,27,6,2024,IT,0,ITALY,ITH,North-east,ITH3,Veneto,ITH35,Venezia,San Michele al Tagliamento,San Giorgio,CDC-CO2,1,30,0.0,,30,30,Veneto,2024-07-01,2024-06-16,45.771409514103915,12.987393220159115,0.5096744821306624,0.1908780750583588,-0.4534297611220688,-0.1908780750583588,0.4286924290696308,0.1707537413598738,-0.378440676668201,-0.1707537413598738,0.12990531115637155,0.08620560683451862,0.10454151815785938,0.08620560683451862,2024-06-16,45.77140951410391,12.987393220159115,14860.0,,45.77140951410391,12.987393220159115,13928.583333333336,13629.1875,14253.285714285714,13849.166666666664,14532.375,13924.142857142857,14745.923076923076,14179.333333333336,2024-06-02,45.75020927339464,12.950059236949958,788.7057847904139,2024-06-09,2024-06-02,2024-06-02,2024-06-02,0.0,0.0
