x,y,2001_01_01_LC_Prop1,2001_01_01_LC_Prop1_Assessment,2001_01_01_LC_Prop2,2001_01_01_LC_Prop2_Assessment,2001_01_01_LC_Prop3,2001_01_01_LC_Prop3_Assessment,2001_01_01_LC_Type1,2001_01_01_LC_Type2,2001_01_01_LC_Type3,2001_01_01_LC_Type4,2001_01_01_LC_Type5,2001_01_01_LW,2001_01_01_QC,2002_01_01_LC_Prop1,2002_01_01_LC_Prop1_Assessment,2002_01_01_LC_Prop2,2002_01_01_LC_Prop2_Assessment,2002_01_01_LC_Prop3,2002_01_01_LC_Prop3_Assessment,2002_01_01_LC_Type1,2002_01_01_LC_Type2,2002_01_01_LC_Type3,2002_01_01_LC_Type4,2002_01_01_LC_Type5,2002_01_01_LW,2002_01_01_QC,2003_01_01_LC_Prop1,2003_01_01_LC_Prop1_Assessment,2003_01_01_LC_Prop2,2003_01_01_LC_Prop2_Assessment,2003_01_01_LC_Prop3,2003_01_01_LC_Prop3_Assessment,2003_01_01_LC_Type1,2003_01_01_LC_Type2,2003_01_01_LC_Type3,2003_01_01_LC_Type4,2003_01_01_LC_Type5,2003_01_01_LW,2003_01_01_QC,2004_01_01_LC_Prop1,2004_01_01_LC_Prop1_Assessment,2004_01_01_LC_Prop2,2004_01_01_LC_Prop2_Assessment,2004_01_01_LC_Prop3,2004_01_01_LC_Prop3_Assessment,2004_01_01_LC_Type1,2004_01_01_LC_Type2,2004_01_01_LC_Type3,2004_01_01_LC_Type4,2004_01_01_LC_Type5,2004_01_01_LW,2004_01_01_QC,2005_01_01_LC_Prop1,2005_01_01_LC_Prop1_Assessment,2005_01_01_LC_Prop2,2005_01_01_LC_Prop2_Assessment,2005_01_01_LC_Prop3,2005_01_01_LC_Prop3_Assessment,2005_01_01_LC_Type1,2005_01_01_LC_Type2,2005_01_01_LC_Type3,2005_01_01_LC_Type4,2005_01_01_LC_Type5,2005_01_01_LW,2005_01_01_QC,2006_01_01_LC_Prop1,2006_01_01_LC_Prop1_Assessment,2006_01_01_LC_Prop2,2006_01_01_LC_Prop2_Assessment,2006_01_01_LC_Prop3,2006_01_01_LC_Prop3_Assessment,2006_01_01_LC_Type1,2006_01_01_LC_Type2,2006_01_01_LC_Type3,2006_01_01_LC_Type4,2006_01_01_LC_Type5,2006_01_01_LW,2006_01_01_QC,2007_01_01_LC_Prop1,2007_01_01_LC_Prop1_Assessment,2007_01_01_LC_Prop2,2007_01_01_LC_Prop2_Assessment,2007_01_01_LC_Prop3,2007_01_01_LC_Prop3_Assessment,2007_01_01_LC_Type1,2007_01_01_LC_Type2,2007_01_01_LC_Type3,2007_01_01_LC_Type4,2007_01_01_LC_Type5,2007_01_01_LW,2007_01_01_QC,2008_01_01_LC_Prop1,2008_01_01_LC_Prop1_Assessment,2008_01_01_LC_Prop2,2008_01_01_LC_Prop2_Assessment,2008_01_01_LC_Prop3,2008_01_01_LC_Prop3_Assessment,2008_01_01_LC_Type1,2008_01_01_LC_Type2,2008_01_01_LC_Type3,2008_01_01_LC_Type4,2008_01_01_LC_Type5,2008_01_01_LW,2008_01_01_QC,2009_01_01_LC_Prop1,2009_01_01_LC_Prop1_Assessment,2009_01_01_LC_Prop2,2009_01_01_LC_Prop2_Assessment,2009_01_01_LC_Prop3,2009_01_01_LC_Prop3_Assessment,2009_01_01_LC_Type1,2009_01_01_LC_Type2,2009_01_01_LC_Type3,2009_01_01_LC_Type4,2009_01_01_LC_Type5,2009_01_01_LW,2009_01_01_QC,2010_01_01_LC_Prop1,2010_01_01_LC_Prop1_Assessment,2010_01_01_LC_Prop2,2010_01_01_LC_Prop2_Assessment,2010_01_01_LC_Prop3,2010_01_01_LC_Prop3_Assessment,2010_01_01_LC_Type1,2010_01_01_LC_Type2,2010_01_01_LC_Type3,2010_01_01_LC_Type4,2010_01_01_LC_Type5,2010_01_01_LW,2010_01_01_QC,2011_01_01_LC_Prop1,2011_01_01_LC_Prop1_Assessment,2011_01_01_LC_Prop2,2011_01_01_LC_Prop2_Assessment,2011_01_01_LC_Prop3,2011_01_01_LC_Prop3_Assessment,2011_01_01_LC_Type1,2011_01_01_LC_Type2,2011_01_01_LC_Type3,2011_01_01_LC_Type4,2011_01_01_LC_Type5,2011_01_01_LW,2011_01_01_QC,2012_01_01_LC_Prop1,2012_01_01_LC_Prop1_Assessment,2012_01_01_LC_Prop2,2012_01_01_LC_Prop2_Assessment,2012_01_01_LC_Prop3,2012_01_01_LC_Prop3_Assessment,2012_01_01_LC_Type1,2012_01_01_LC_Type2,2012_01_01_LC_Type3,2012_01_01_LC_Type4,2012_01_01_LC_Type5,2012_01_01_LW,2012_01_01_QC,2013_01_01_LC_Prop1,2013_01_01_LC_Prop1_Assessment,2013_01_01_LC_Prop2,2013_01_01_LC_Prop2_Assessment,2013_01_01_LC_Prop3,2013_01_01_LC_Prop3_Assessment,2013_01_01_LC_Type1,2013_01_01_LC_Type2,2013_01_01_LC_Type3,2013_01_01_LC_Type4,2013_01_01_LC_Type5,2013_01_01_LW,2013_01_01_QC,2014_01_01_LC_Prop1,2014_01_01_LC_Prop1_Assessment,2014_01_01_LC_Prop2,2014_01_01_LC_Prop2_Assessment,2014_01_01_LC_Prop3,2014_01_01_LC_Prop3_Assessment,2014_01_01_LC_Type1,2014_01_01_LC_Type2,2014_01_01_LC_Type3,2014_01_01_LC_Type4,2014_01_01_LC_Type5,2014_01_01_LW,2014_01_01_QC,2015_01_01_LC_Prop1,2015_01_01_LC_Prop1_Assessment,2015_01_01_LC_Prop2,2015_01_01_LC_Prop2_Assessment,2015_01_01_LC_Prop3,2015_01_01_LC_Prop3_Assessment,2015_01_01_LC_Type1,2015_01_01_LC_Type2,2015_01_01_LC_Type3,2015_01_01_LC_Type4,2015_01_01_LC_Type5,2015_01_01_LW,2015_01_01_QC,2016_01_01_LC_Prop1,2016_01_01_LC_Prop1_Assessment,2016_01_01_LC_Prop2,2016_01_01_LC_Prop2_Assessment,2016_01_01_LC_Prop3,2016_01_01_LC_Prop3_Assessment,2016_01_01_LC_Type1,2016_01_01_LC_Type2,2016_01_01_LC_Type3,2016_01_01_LC_Type4,2016_01_01_LC_Type5,2016_01_01_LW,2016_01_01_QC,2017_01_01_LC_Prop1,2017_01_01_LC_Prop1_Assessment,2017_01_01_LC_Prop2,2017_01_01_LC_Prop2_Assessment,2017_01_01_LC_Prop3,2017_01_01_LC_Prop3_Assessment,2017_01_01_LC_Type1,2017_01_01_LC_Type2,2017_01_01_LC_Type3,2017_01_01_LC_Type4,2017_01_01_LC_Type5,2017_01_01_LW,2017_01_01_QC,2018_01_01_LC_Prop1,2018_01_01_LC_Prop1_Assessment,2018_01_01_LC_Prop2,2018_01_01_LC_Prop2_Assessment,2018_01_01_LC_Prop3,2018_01_01_LC_Prop3_Assessment,2018_01_01_LC_Type1,2018_01_01_LC_Type2,2018_01_01_LC_Type3,2018_01_01_LC_Type4,2018_01_01_LC_Type5,2018_01_01_LW,2018_01_01_QC,2019_01_01_LC_Prop1,2019_01_01_LC_Prop1_Assessment,2019_01_01_LC_Prop2,2019_01_01_LC_Prop2_Assessment,2019_01_01_LC_Prop3,2019_01_01_LC_Prop3_Assessment,2019_01_01_LC_Type1,2019_01_01_LC_Type2,2019_01_01_LC_Type3,2019_01_01_LC_Type4,2019_01_01_LC_Type5,2019_01_01_LW,2019_01_01_QC,2020_01_01_LC_Prop1,2020_01_01_LC_Prop1_Assessment,2020_01_01_LC_Prop2,2020_01_01_LC_Prop2_Assessment,2020_01_01_LC_Prop3,2020_01_01_LC_Prop3_Assessment,2020_01_01_LC_Type1,2020_01_01_LC_Type2,2020_01_01_LC_Type3,2020_01_01_LC_Type4,2020_01_01_LC_Type5,2020_01_01_LW,2020_01_01_QC,2021_01_01_LC_Prop1,2021_01_01_LC_Prop1_Assessment,2021_01_01_LC_Prop2,2021_01_01_LC_Prop2_Assessment,2021_01_01_LC_Prop3,2021_01_01_LC_Prop3_Assessment,2021_01_01_LC_Type1,2021_01_01_LC_Type2,2021_01_01_LC_Type3,2021_01_01_LC_Type4,2021_01_01_LC_Type5,2021_01_01_LW,2021_01_01_QC
4.787094,43.39843,22,76,9,,20,76,13,13,10,8,9,2,9,22,86,9,,20,86,13,13,10,8,9,2,9,22,83,9,,20,83,13,13,10,8,9,2,9,22,80,9,,20,80,13,13,10,8,9,2,9,22,73,9,,20,73,13,13,10,8,9,2,9,22,75,9,,20,75,13,13,10,8,9,2,9,31,84,9,,30,84,13,13,10,8,9,2,9,31,81,9,,30,81,13,13,10,8,9,2,9,31,81,9,,30,81,13,13,10,8,9,2,9,22,75,9,,20,75,13,13,10,8,9,2,9,31,84,9,,30,84,13,13,10,8,9,2,9,22,74,9,,20,74,13,13,10,8,9,2,9,22,79,9,,20,79,13,13,10,8,9,2,9,22,85,9,,20,85,13,13,10,8,9,2,9,22,85,9,,20,85,13,13,10,8,9,2,9,22,88,9,,20,88,13,13,10,8,9,2,9,22,83,9,,20,83,13,13,10,8,9,2,9,22,87,9,,20,87,13,13,10,8,9,2,9,22,91,9,,20,91,13,13,10,8,9,2,9,22,89,9,,20,89,13,13,10,8,9,2,9,22,86,9,,20,86,13,13,10,8,9,2,9
4.72752,43.41326,22,82,9,,20,82,13,13,10,8,9,2,9,22,92,9,,20,92,13,13,10,8,9,2,9,22,96,9,,20,96,13,13,10,8,9,2,9,22,97,9,,20,97,13,13,10,8,9,2,9,22,95,9,,20,95,13,13,10,8,9,2,9,22,98,9,,20,98,13,13,10,8,9,2,9,22,97,9,,20,97,13,13,10,8,9,2,9,22,97,9,,20,97,13,13,10,8,9,2,9,22,97,9,,20,97,13,13,10,8,9,2,9,22,97,9,,20,97,13,13,10,8,9,2,9,22,98,9,,20,98,13,13,10,8,9,2,9,22,96,9,,20,96,13,13,10,8,9,2,9,22,98,9,,20,98,13,13,10,8,9,2,9,22,97,9,,20,97,13,13,10,8,9,2,9,22,96,9,,20,96,13,13,10,8,9,2,9,22,97,9,,20,97,13,13,10,8,9,2,9,22,96,9,,20,96,13,13,10,8,9,2,9,22,97,9,,20,97,13,13,10,8,9,2,9,22,96,9,,20,96,13,13,10,8,9,2,9,22,93,9,,20,93,13,13,10,8,9,2,9,22,97,9,,20,97,13,13,10,8,9,2,9
4.741548,43.414754,22,76,9,,20,76,13,13,10,8,9,2,9,31,85,9,,30,85,13,13,10,8,9,2,9,31,90,9,,30,90,13,13,10,8,9,2,9,31,92,9,,30,92,13,13,10,8,9,2,9,31,92,9,,30,92,13,13,10,8,9,2,9,31,90,9,,30,90,13,13,10,8,9,2,9,31,85,9,,30,85,13,13,10,8,9,2,9,31,87,9,,30,87,13,13,10,8,9,2,9,31,90,9,,30,90,13,13,10,8,9,2,9,31,92,9,,30,92,13,13,10,8,9,2,9,31,95,9,,30,95,13,13,10,8,9,2,9,31,93,9,,30,93,13,13,10,8,9,2,9,31,93,9,,30,93,13,13,10,8,9,2,9,31,93,9,,30,93,13,13,10,8,9,2,9,31,95,9,,30,95,13,13,10,8,9,2,9,31,96,9,,30,96,13,13,10,8,9,2,9,31,96,9,,30,96,13,13,10,8,9,2,9,31,95,9,,30,95,13,13,10,8,9,2,9,31,92,9,,30,92,13,13,10,8,9,2,9,31,95,9,,30,95,13,13,10,8,9,2,9,31,92,9,,30,92,13,13,10,8,9,2,9
4.822847,43.377357,22,76,9,70,20,76,13,13,10,8,9,2,0,22,86,9,,20,86,13,13,10,8,9,2,9,22,91,9,,20,91,13,13,10,8,9,2,9,22,86,9,,20,86,13,13,10,8,9,2,9,22,90,9,,20,90,13,13,10,8,9,2,9,22,93,9,,20,93,13,13,10,8,9,2,9,22,93,9,,20,93,13,13,10,8,9,2,9,22,94,9,,20,94,13,13,10,8,9,2,9,22,96,9,,20,96,13,13,10,8,9,2,9,22,96,9,,20,96,13,13,10,8,9,2,9,22,95,9,,20,95,13,13,10,8,9,2,9,22,96,9,,20,96,13,13,10,8,9,2,9,22,97,9,,20,97,13,13,10,8,9,2,9,22,96,9,,20,96,13,13,10,8,9,2,9,22,94,9,,20,94,13,13,10,8,9,2,9,22,92,9,,20,92,13,13,10,8,9,2,9,22,92,9,,20,92,13,13,10,8,9,2,9,22,95,9,,20,95,13,13,10,8,9,2,9,22,95,9,,20,95,13,13,10,8,9,2,9,22,95,9,,20,95,13,13,10,8,9,2,9,22,93,9,,20,93,13,13,10,8,9,2,9
4.0097,43.599235,22,73,25,61,20,73,14,9,4,2,2,2,0,31,84,36,84,30,84,12,12,3,5,8,2,0,31,90,36,91,30,90,12,12,3,5,8,2,0,31,90,36,91,30,90,12,12,3,5,8,2,0,31,88,36,87,30,88,12,12,3,5,8,2,0,31,89,36,90,30,89,12,12,3,5,8,2,0,31,94,36,94,30,94,12,12,3,5,8,2,0,31,95,36,95,30,95,12,12,3,5,8,2,0,31,95,36,95,30,95,12,12,3,5,8,2,0,31,95,36,95,30,95,12,12,3,5,8,2,0,31,93,36,91,30,93,12,12,3,5,8,2,0,31,91,36,90,30,91,12,12,3,5,8,2,0,31,94,36,92,30,94,12,12,3,5,8,2,0,31,91,36,90,30,91,12,12,3,5,8,2,0,31,90,36,90,30,90,12,12,3,5,8,2,0,31,89,36,90,30,89,12,12,3,5,8,2,0,31,94,36,93,30,94,12,12,3,5,8,2,0,31,95,36,95,30,95,12,12,3,5,8,2,0,31,89,36,89,30,89,12,12,3,5,8,2,0,31,91,36,92,30,91,12,12,3,5,8,2,0,22,75,25,81,20,75,14,9,4,2,2,2,0
4.393586,43.649133,21,69,20,69,20,69,8,8,4,2,2,2,0,21,71,20,71,20,71,8,8,4,1,1,2,0,21,71,20,71,20,71,8,8,4,1,1,2,0,21,70,20,70,20,70,8,8,4,1,1,2,0,21,69,20,69,20,69,8,8,4,1,1,2,0,22,68,20,68,20,68,9,9,4,1,1,2,0,22,74,20,74,20,74,9,9,4,1,1,2,0,22,75,20,75,20,75,9,9,4,1,1,2,0,22,71,20,71,20,71,9,9,4,1,1,2,0,21,68,20,68,20,68,8,8,4,1,1,2,0,21,70,20,70,20,70,8,8,4,1,1,2,0,11,66,10,67,10,67,1,1,7,1,1,2,0,11,62,10,66,10,66,1,1,7,1,1,2,0,11,68,10,70,10,70,1,1,7,1,1,2,0,11,71,10,72,10,72,1,1,7,1,1,2,0,11,74,10,76,10,76,1,1,7,1,1,2,0,21,67,20,67,20,67,8,8,4,1,1,2,0,11,70,10,70,10,70,1,1,7,1,1,2,0,11,66,10,71,10,71,1,1,7,1,1,2,0,11,67,10,74,10,74,1,1,7,1,1,2,0,11,65,10,73,10,73,1,1,7,1,1,2,0
4.261512,43.518329,31,81,30,81,50,83,11,10,1,6,6,2,0,31,92,30,92,50,93,11,10,1,6,6,2,0,31,94,30,94,50,94,11,10,1,6,6,2,0,31,95,30,95,50,95,11,10,1,6,6,2,0,31,94,30,94,50,94,11,10,1,6,6,2,0,31,93,30,93,50,93,11,10,1,6,6,2,0,31,92,30,92,50,92,11,10,1,6,6,2,0,31,92,30,92,50,92,11,10,1,6,6,2,0,31,92,30,92,50,92,11,10,1,6,6,2,0,31,94,30,94,50,94,11,10,1,6,6,2,0,31,86,30,86,50,85,11,10,1,6,6,2,0,31,85,30,85,50,84,11,10,1,6,6,2,0,31,85,30,85,50,85,11,10,1,6,6,2,0,31,95,30,95,50,95,11,10,1,6,6,2,0,31,97,30,97,50,97,11,10,1,6,6,2,0,31,97,30,97,50,97,11,10,1,6,6,2,0,31,97,30,97,50,97,11,10,1,6,6,2,0,31,96,30,96,50,96,11,10,1,6,6,2,0,31,96,30,96,50,96,11,10,1,6,6,2,0,31,96,30,96,50,96,11,10,1,6,6,2,0,31,97,30,97,50,97,11,10,1,6,6,2,0
4.15569,43.516074,22,75,9,,20,75,13,13,10,8,9,2,9,22,84,9,,20,84,13,13,10,8,9,2,9,22,92,9,,20,92,13,13,10,8,9,2,9,22,94,9,,20,94,13,13,10,8,9,2,9,22,92,9,,20,92,13,13,10,8,9,2,9,22,95,9,,20,95,13,13,10,8,9,2,9,22,83,9,,20,83,13,13,10,8,9,2,9,22,82,9,,20,82,13,13,10,8,9,2,9,22,90,9,,20,90,13,13,10,8,9,2,9,22,87,9,,20,87,13,13,10,8,9,2,9,22,77,9,,20,77,13,13,10,8,9,2,9,22,77,9,,20,77,13,13,10,8,9,2,9,31,80,9,,30,80,13,13,10,8,9,2,9,31,79,9,,30,79,13,13,10,8,9,2,9,22,76,9,,20,76,13,13,10,8,9,2,9,22,79,9,,20,79,13,13,10,8,9,2,9,22,80,9,,20,80,13,13,10,8,9,2,9,22,84,9,,20,84,13,13,10,8,9,2,9,22,81,9,,20,81,13,13,10,8,9,2,9,22,79,9,,20,79,13,13,10,8,9,2,9,22,88,9,,20,88,13,13,10,8,9,2,9
4.382242,43.571266,22,68,25,60,20,68,14,9,4,1,1,2,0,31,79,36,72,30,79,12,12,3,5,8,2,0,31,83,36,82,30,83,12,12,1,6,7,2,0,31,89,36,88,30,89,12,12,3,5,8,2,0,31,94,36,92,30,94,12,12,3,5,8,2,0,31,94,36,92,30,94,12,12,3,5,8,2,0,31,94,36,90,30,94,12,12,3,5,8,2,0,31,95,36,89,30,95,12,12,3,5,8,2,0,31,93,36,85,30,93,12,12,3,5,8,2,0,31,92,36,86,30,92,12,12,3,5,8,2,0,31,95,36,88,30,95,12,12,3,5,8,2,0,31,91,36,82,30,91,12,12,3,5,8,2,0,31,94,30,94,30,94,10,10,1,6,6,2,0,31,89,30,89,30,89,10,10,1,6,6,2,0,31,91,30,91,30,91,10,10,1,6,6,2,0,31,86,30,86,30,86,10,10,1,6,6,2,0,31,92,30,92,30,92,10,10,1,6,6,2,0,31,95,36,85,30,95,12,12,3,5,8,2,0,31,89,30,89,30,89,10,10,1,6,6,2,0,31,89,30,89,30,89,10,10,1,6,6,2,0,31,92,36,81,30,92,12,12,3,5,8,2,0
3.558036,43.393035,31,79,30,79,50,58,11,10,1,6,6,2,0,31,88,30,88,30,88,10,10,1,6,6,2,0,31,89,30,89,30,89,10,10,1,6,6,2,0,31,90,30,90,30,90,10,10,1,6,6,2,0,31,91,30,91,30,91,10,10,1,6,6,2,0,31,89,30,89,30,89,10,10,1,6,6,2,0,31,90,30,90,30,90,10,10,1,6,6,2,0,31,90,30,90,30,90,10,10,1,6,6,2,0,31,91,30,91,30,91,10,10,1,6,6,2,0,31,92,30,92,30,92,10,10,1,6,6,2,0,31,93,30,93,30,93,10,10,1,6,6,2,0,31,91,30,91,30,91,10,10,1,6,6,2,0,31,92,30,92,30,92,10,10,1,6,6,2,0,31,91,30,91,30,91,10,10,1,6,6,2,0,31,94,30,94,30,94,10,10,1,6,6,2,0,31,93,30,93,30,93,10,10,1,6,6,2,0,31,96,30,96,30,96,10,10,1,6,6,2,0,31,96,30,96,30,96,10,10,1,6,6,2,0,31,91,30,91,30,91,10,10,1,6,6,2,0,31,93,30,93,30,93,10,10,1,6,6,2,0,31,89,30,89,30,89,10,10,1,6,6,2,0
