x,y,2001_01_01_LC_Prop1,2001_01_01_LC_Prop1_Assessment,2001_01_01_LC_Prop2,2001_01_01_LC_Prop2_Assessment,2001_01_01_LC_Prop3,2001_01_01_LC_Prop3_Assessment,2001_01_01_LC_Type1,2001_01_01_LC_Type2,2001_01_01_LC_Type3,2001_01_01_LC_Type4,2001_01_01_LC_Type5,2001_01_01_LW,2001_01_01_QC,2002_01_01_LC_Prop1,2002_01_01_LC_Prop1_Assessment,2002_01_01_LC_Prop2,2002_01_01_LC_Prop2_Assessment,2002_01_01_LC_Prop3,2002_01_01_LC_Prop3_Assessment,2002_01_01_LC_Type1,2002_01_01_LC_Type2,2002_01_01_LC_Type3,2002_01_01_LC_Type4,2002_01_01_LC_Type5,2002_01_01_LW,2002_01_01_QC,2003_01_01_LC_Prop1,2003_01_01_LC_Prop1_Assessment,2003_01_01_LC_Prop2,2003_01_01_LC_Prop2_Assessment,2003_01_01_LC_Prop3,2003_01_01_LC_Prop3_Assessment,2003_01_01_LC_Type1,2003_01_01_LC_Type2,2003_01_01_LC_Type3,2003_01_01_LC_Type4,2003_01_01_LC_Type5,2003_01_01_LW,2003_01_01_QC,2004_01_01_LC_Prop1,2004_01_01_LC_Prop1_Assessment,2004_01_01_LC_Prop2,2004_01_01_LC_Prop2_Assessment,2004_01_01_LC_Prop3,2004_01_01_LC_Prop3_Assessment,2004_01_01_LC_Type1,2004_01_01_LC_Type2,2004_01_01_LC_Type3,2004_01_01_LC_Type4,2004_01_01_LC_Type5,2004_01_01_LW,2004_01_01_QC,2005_01_01_LC_Prop1,2005_01_01_LC_Prop1_Assessment,2005_01_01_LC_Prop2,2005_01_01_LC_Prop2_Assessment,2005_01_01_LC_Prop3,2005_01_01_LC_Prop3_Assessment,2005_01_01_LC_Type1,2005_01_01_LC_Type2,2005_01_01_LC_Type3,2005_01_01_LC_Type4,2005_01_01_LC_Type5,2005_01_01_LW,2005_01_01_QC,2006_01_01_LC_Prop1,2006_01_01_LC_Prop1_Assessment,2006_01_01_LC_Prop2,2006_01_01_LC_Prop2_Assessment,2006_01_01_LC_Prop3,2006_01_01_LC_Prop3_Assessment,2006_01_01_LC_Type1,2006_01_01_LC_Type2,2006_01_01_LC_Type3,2006_01_01_LC_Type4,2006_01_01_LC_Type5,2006_01_01_LW,2006_01_01_QC,2007_01_01_LC_Prop1,2007_01_01_LC_Prop1_Assessment,2007_01_01_LC_Prop2,2007_01_01_LC_Prop2_Assessment,2007_01_01_LC_Prop3,2007_01_01_LC_Prop3_Assessment,2007_01_01_LC_Type1,2007_01_01_LC_Type2,2007_01_01_LC_Type3,2007_01_01_LC_Type4,2007_01_01_LC_Type5,2007_01_01_LW,2007_01_01_QC,2008_01_01_LC_Prop1,2008_01_01_LC_Prop1_Assessment,2008_01_01_LC_Prop2,2008_01_01_LC_Prop2_Assessment,2008_01_01_LC_Prop3,2008_01_01_LC_Prop3_Assessment,2008_01_01_LC_Type1,2008_01_01_LC_Type2,2008_01_01_LC_Type3,2008_01_01_LC_Type4,2008_01_01_LC_Type5,2008_01_01_LW,2008_01_01_QC,2009_01_01_LC_Prop1,2009_01_01_LC_Prop1_Assessment,2009_01_01_LC_Prop2,2009_01_01_LC_Prop2_Assessment,2009_01_01_LC_Prop3,2009_01_01_LC_Prop3_Assessment,2009_01_01_LC_Type1,2009_01_01_LC_Type2,2009_01_01_LC_Type3,2009_01_01_LC_Type4,2009_01_01_LC_Type5,2009_01_01_LW,2009_01_01_QC,2010_01_01_LC_Prop1,2010_01_01_LC_Prop1_Assessment,2010_01_01_LC_Prop2,2010_01_01_LC_Prop2_Assessment,2010_01_01_LC_Prop3,2010_01_01_LC_Prop3_Assessment,2010_01_01_LC_Type1,2010_01_01_LC_Type2,2010_01_01_LC_Type3,2010_01_01_LC_Type4,2010_01_01_LC_Type5,2010_01_01_LW,2010_01_01_QC,2011_01_01_LC_Prop1,2011_01_01_LC_Prop1_Assessment,2011_01_01_LC_Prop2,2011_01_01_LC_Prop2_Assessment,2011_01_01_LC_Prop3,2011_01_01_LC_Prop3_Assessment,2011_01_01_LC_Type1,2011_01_01_LC_Type2,2011_01_01_LC_Type3,2011_01_01_LC_Type4,2011_01_01_LC_Type5,2011_01_01_LW,2011_01_01_QC,2012_01_01_LC_Prop1,2012_01_01_LC_Prop1_Assessment,2012_01_01_LC_Prop2,2012_01_01_LC_Prop2_Assessment,2012_01_01_LC_Prop3,2012_01_01_LC_Prop3_Assessment,2012_01_01_LC_Type1,2012_01_01_LC_Type2,2012_01_01_LC_Type3,2012_01_01_LC_Type4,2012_01_01_LC_Type5,2012_01_01_LW,2012_01_01_QC,2013_01_01_LC_Prop1,2013_01_01_LC_Prop1_Assessment,2013_01_01_LC_Prop2,2013_01_01_LC_Prop2_Assessment,2013_01_01_LC_Prop3,2013_01_01_LC_Prop3_Assessment,2013_01_01_LC_Type1,2013_01_01_LC_Type2,2013_01_01_LC_Type3,2013_01_01_LC_Type4,2013_01_01_LC_Type5,2013_01_01_LW,2013_01_01_QC,2014_01_01_LC_Prop1,2014_01_01_LC_Prop1_Assessment,2014_01_01_LC_Prop2,2014_01_01_LC_Prop2_Assessment,2014_01_01_LC_Prop3,2014_01_01_LC_Prop3_Assessment,2014_01_01_LC_Type1,2014_01_01_LC_Type2,2014_01_01_LC_Type3,2014_01_01_LC_Type4,2014_01_01_LC_Type5,2014_01_01_LW,2014_01_01_QC,2015_01_01_LC_Prop1,2015_01_01_LC_Prop1_Assessment,2015_01_01_LC_Prop2,2015_01_01_LC_Prop2_Assessment,2015_01_01_LC_Prop3,2015_01_01_LC_Prop3_Assessment,2015_01_01_LC_Type1,2015_01_01_LC_Type2,2015_01_01_LC_Type3,2015_01_01_LC_Type4,2015_01_01_LC_Type5,2015_01_01_LW,2015_01_01_QC,2016_01_01_LC_Prop1,2016_01_01_LC_Prop1_Assessment,2016_01_01_LC_Prop2,2016_01_01_LC_Prop2_Assessment,2016_01_01_LC_Prop3,2016_01_01_LC_Prop3_Assessment,2016_01_01_LC_Type1,2016_01_01_LC_Type2,2016_01_01_LC_Type3,2016_01_01_LC_Type4,2016_01_01_LC_Type5,2016_01_01_LW,2016_01_01_QC,2017_01_01_LC_Prop1,2017_01_01_LC_Prop1_Assessment,2017_01_01_LC_Prop2,2017_01_01_LC_Prop2_Assessment,2017_01_01_LC_Prop3,2017_01_01_LC_Prop3_Assessment,2017_01_01_LC_Type1,2017_01_01_LC_Type2,2017_01_01_LC_Type3,2017_01_01_LC_Type4,2017_01_01_LC_Type5,2017_01_01_LW,2017_01_01_QC,2018_01_01_LC_Prop1,2018_01_01_LC_Prop1_Assessment,2018_01_01_LC_Prop2,2018_01_01_LC_Prop2_Assessment,2018_01_01_LC_Prop3,2018_01_01_LC_Prop3_Assessment,2018_01_01_LC_Type1,2018_01_01_LC_Type2,2018_01_01_LC_Type3,2018_01_01_LC_Type4,2018_01_01_LC_Type5,2018_01_01_LW,2018_01_01_QC,2019_01_01_LC_Prop1,2019_01_01_LC_Prop1_Assessment,2019_01_01_LC_Prop2,2019_01_01_LC_Prop2_Assessment,2019_01_01_LC_Prop3,2019_01_01_LC_Prop3_Assessment,2019_01_01_LC_Type1,2019_01_01_LC_Type2,2019_01_01_LC_Type3,2019_01_01_LC_Type4,2019_01_01_LC_Type5,2019_01_01_LW,2019_01_01_QC,2020_01_01_LC_Prop1,2020_01_01_LC_Prop1_Assessment,2020_01_01_LC_Prop2,2020_01_01_LC_Prop2_Assessment,2020_01_01_LC_Prop3,2020_01_01_LC_Prop3_Assessment,2020_01_01_LC_Type1,2020_01_01_LC_Type2,2020_01_01_LC_Type3,2020_01_01_LC_Type4,2020_01_01_LC_Type5,2020_01_01_LW,2020_01_01_QC,2021_01_01_LC_Prop1,2021_01_01_LC_Prop1_Assessment,2021_01_01_LC_Prop2,2021_01_01_LC_Prop2_Assessment,2021_01_01_LC_Prop3,2021_01_01_LC_Prop3_Assessment,2021_01_01_LC_Type1,2021_01_01_LC_Type2,2021_01_01_LC_Type3,2021_01_01_LC_Type4,2021_01_01_LC_Type5,2021_01_01_LW,2021_01_01_QC
8.296315,49.021501,21,65,20,65,20,65,8,8,4,4,4,2,0,31,80,30,80,50,57,11,10,1,6,6,2,0,31,87,30,87,30,87,10,10,1,6,6,2,0,31,84,30,84,30,84,10,10,1,6,6,2,0,31,85,30,85,30,85,10,10,1,6,6,2,0,31,84,30,84,50,65,11,10,1,6,6,2,0,31,85,30,85,50,73,11,10,1,6,6,2,0,31,85,30,85,50,79,11,10,1,6,6,2,0,31,82,30,82,50,79,11,10,1,6,6,2,0,15,78,10,74,10,74,5,5,6,4,4,2,0,15,75,10,72,10,72,5,5,6,4,4,2,0,15,72,10,71,10,71,5,5,6,4,4,2,0,31,87,30,87,50,82,11,10,1,6,6,2,0,31,86,30,86,50,82,11,10,1,6,6,2,0,31,91,30,91,50,88,11,10,1,6,6,2,0,31,92,30,92,50,91,11,10,1,6,6,2,0,31,93,30,93,50,91,11,10,1,6,6,2,0,31,94,30,94,50,93,11,10,1,6,6,2,0,31,85,30,85,50,83,11,10,1,6,6,2,0,31,82,30,82,50,78,11,10,1,6,6,2,0,15,79,10,72,10,72,5,5,6,4,4,2,0
8.00816,49.985849,31,76,30,76,50,68,11,10,1,6,6,2,0,31,84,30,84,50,78,11,10,1,6,6,2,0,31,87,30,87,50,66,11,10,1,6,6,2,0,31,87,30,87,50,65,11,10,1,6,6,2,0,31,86,30,86,50,61,11,10,1,6,6,2,0,31,83,30,83,30,83,10,10,1,6,6,2,0,31,85,30,85,30,85,10,10,1,6,6,2,0,31,86,30,86,30,86,10,10,1,6,6,2,0,31,84,30,84,30,84,10,10,1,6,6,2,0,31,83,30,83,30,83,10,10,1,6,6,2,0,31,85,30,85,30,85,10,10,1,6,6,2,0,31,90,30,90,30,90,10,10,1,6,6,2,0,31,89,30,89,30,89,10,10,1,6,6,2,0,31,90,30,90,50,65,11,10,1,6,6,2,0,31,90,30,90,50,65,11,10,1,6,6,2,0,31,90,30,90,50,65,11,10,1,6,6,2,0,31,90,30,90,50,64,11,10,1,6,6,2,0,31,90,30,90,30,90,10,10,1,6,6,2,0,31,89,30,89,30,89,10,10,1,6,6,2,0,31,89,30,89,30,89,10,10,1,6,6,2,0,31,89,30,89,30,89,10,10,1,6,6,2,0
8.55682,49.8162,22,71,20,71,20,71,9,9,4,1,1,2,0,31,85,36,87,30,85,12,12,1,6,7,2,0,31,94,36,95,30,94,12,12,1,6,7,2,0,31,95,36,96,30,95,12,12,1,6,7,2,0,31,95,36,96,30,95,12,12,1,6,7,2,0,31,94,36,95,30,94,12,12,1,6,7,2,0,31,95,36,95,30,95,12,12,1,6,7,2,0,31,98,36,98,30,98,12,12,1,6,7,2,0,31,99,36,99,30,99,12,12,1,6,7,2,0,31,97,36,97,30,97,12,12,1,6,7,2,0,31,96,36,96,30,96,12,12,1,6,7,2,0,31,98,36,98,30,98,12,12,1,6,7,2,0,31,97,36,97,30,97,12,12,1,6,7,2,0,31,97,36,97,30,97,12,12,1,6,7,2,0,31,98,36,98,30,98,12,12,1,6,7,2,0,31,99,36,99,30,99,12,12,1,6,7,2,0,31,98,36,97,30,98,12,12,1,6,7,2,0,31,98,36,98,30,98,12,12,1,6,7,2,0,31,98,36,98,30,98,12,12,1,6,7,2,0,31,98,36,97,30,98,12,12,1,6,7,2,0,31,98,36,98,30,98,12,12,1,6,7,2,0
8.486561,49.37627,14,80,10,86,10,86,4,4,6,4,4,2,0,14,91,10,96,10,96,4,4,6,4,4,2,0,14,95,10,94,10,94,4,4,6,4,4,2,0,14,97,10,96,10,96,4,4,6,4,4,2,0,14,97,10,97,10,97,4,4,6,4,4,2,0,14,96,10,97,10,97,4,4,6,4,4,2,0,14,97,10,99,10,99,4,4,6,4,4,2,0,14,98,10,99,10,99,4,4,6,4,4,2,0,14,98,10,99,10,99,4,4,6,4,4,2,0,14,99,10,99,10,99,4,4,6,4,4,2,0,14,99,10,99,10,99,4,4,6,4,4,2,0,14,98,10,98,10,98,4,4,6,4,4,2,0,14,98,10,99,10,99,4,4,6,4,4,2,0,14,98,10,99,10,99,4,4,6,4,4,2,0,14,98,10,99,10,99,4,4,6,4,4,2,0,14,99,10,99,10,99,4,4,6,4,4,2,0,14,99,10,99,10,99,4,4,6,4,4,2,0,14,98,10,98,10,98,4,4,6,4,4,2,0,14,98,10,99,10,99,4,4,6,4,4,2,0,14,98,10,99,10,99,4,4,6,4,4,2,0,14,98,10,99,10,99,4,4,6,4,4,2,0
8.381922,49.570168,31,84,9,,30,84,13,13,10,8,9,2,9,31,85,9,,30,85,13,13,10,8,9,2,9,31,89,9,,30,89,13,13,10,8,9,2,9,31,91,9,,30,91,13,13,10,8,9,2,9,31,93,9,,30,93,13,13,10,8,9,2,9,31,94,9,,30,94,13,13,10,8,9,2,9,31,93,9,,30,93,13,13,10,8,9,2,9,31,97,9,,30,97,13,13,10,8,9,2,9,31,96,9,,30,96,13,13,10,8,9,2,9,31,95,9,,30,95,13,13,10,8,9,2,9,31,93,9,,30,93,13,13,10,8,9,2,9,31,94,9,,30,94,13,13,10,8,9,2,9,31,94,9,,30,94,13,13,10,8,9,2,9,31,93,9,,30,93,13,13,10,8,9,2,9,31,90,9,,30,90,13,13,10,8,9,2,9,31,91,9,,30,91,13,13,10,8,9,2,9,31,90,9,,30,90,13,13,10,8,9,2,9,31,87,9,63,30,87,13,13,10,8,9,2,0,31,93,9,,30,93,13,13,10,8,9,2,9,31,87,9,60,30,87,13,13,10,8,9,2,0,31,88,9,60,30,88,13,13,10,8,9,2,0
8.48154,49.5826,31,77,9,,30,77,13,13,10,8,9,2,9,31,79,9,,30,79,13,13,10,8,9,2,9,31,87,9,,30,87,13,13,10,8,9,2,9,31,88,9,,30,88,13,13,10,8,9,2,9,31,96,9,,30,96,13,13,10,8,9,2,9,31,95,9,,30,95,13,13,10,8,9,2,9,31,94,9,,30,94,13,13,10,8,9,2,9,31,93,9,,30,93,13,13,10,8,9,2,9,31,97,9,,30,97,13,13,10,8,9,2,9,31,98,9,,30,98,13,13,10,8,9,2,9,31,95,9,,30,95,13,13,10,8,9,2,9,31,94,9,,30,94,13,13,10,8,9,2,9,31,93,9,,30,93,13,13,10,8,9,2,9,31,93,9,,30,93,13,13,10,8,9,2,9,31,93,9,,30,93,13,13,10,8,9,2,9,31,94,9,,30,94,13,13,10,8,9,2,9,31,90,9,,30,90,13,13,10,8,9,2,9,31,90,9,,30,90,13,13,10,8,9,2,9,31,89,9,,30,89,13,13,10,8,9,2,9,31,89,9,,30,89,13,13,10,8,9,2,9,31,91,9,,30,91,13,13,10,8,9,2,9
8.63281,49.3045,22,81,9,89,20,81,13,13,10,8,9,2,0,22,87,9,97,20,87,13,13,10,8,9,2,0,22,96,9,99,20,96,13,13,10,8,9,2,0,22,98,9,99,20,98,13,13,10,8,9,2,0,22,97,9,99,20,97,13,13,10,8,9,2,0,22,96,9,99,20,96,13,13,10,8,9,2,0,22,95,9,99,20,95,13,13,10,8,9,2,0,22,95,9,99,20,95,13,13,10,8,9,2,0,22,97,9,99,20,97,13,13,10,8,9,2,0,22,94,9,99,20,94,13,13,10,8,9,2,0,22,97,9,99,20,97,13,13,10,8,9,2,0,22,96,9,99,20,96,13,13,10,8,9,2,0,22,96,9,99,20,96,13,13,10,8,9,2,0,22,97,9,99,20,97,13,13,10,8,9,2,0,22,97,9,99,20,97,13,13,10,8,9,2,0,22,97,9,99,20,97,13,13,10,8,9,2,0,22,90,9,99,20,90,13,13,10,8,9,2,0,22,97,9,99,20,97,13,13,10,8,9,2,0,22,96,9,99,20,96,13,13,10,8,9,2,0,22,99,9,99,20,99,13,13,10,8,9,2,0,22,95,9,99,20,95,13,13,10,8,9,2,0
8.363227,49.85911,31,78,30,78,50,67,11,10,1,6,6,2,0,31,83,30,83,50,73,11,10,1,6,6,2,0,31,85,30,85,50,67,11,10,1,6,6,2,0,31,85,30,85,50,64,11,10,1,6,6,2,0,31,88,30,88,50,63,11,10,1,6,6,2,0,31,88,30,88,30,88,10,10,1,6,6,2,0,31,89,30,89,50,71,11,10,1,6,6,2,0,31,89,30,89,50,82,11,10,1,6,6,2,0,31,92,30,92,50,86,11,10,1,6,6,2,0,31,91,30,91,50,88,11,10,1,6,6,2,0,31,92,30,92,50,89,11,10,1,6,6,2,0,31,93,30,93,50,91,11,10,1,6,6,2,0,31,92,30,92,50,87,11,10,1,6,6,2,0,31,91,30,91,50,86,11,10,1,6,6,2,0,31,92,30,92,50,91,11,10,1,6,6,2,0,31,94,30,94,50,93,11,10,1,6,6,2,0,31,92,30,92,50,91,11,10,1,6,6,2,0,31,90,30,90,50,89,11,10,1,6,6,2,0,31,89,30,89,50,88,11,10,1,6,6,2,0,31,90,30,90,50,88,11,10,1,6,6,2,0,31,92,30,92,50,90,11,10,1,6,6,2,0
8.56084,49.471,22,73,9,87,20,73,13,13,10,8,9,2,0,22,82,9,95,20,82,13,13,10,8,9,2,0,22,82,9,93,20,82,13,13,10,8,9,2,0,22,78,9,96,20,78,13,13,10,8,9,2,0,22,88,9,97,20,88,13,13,10,8,9,2,0,22,90,9,98,20,90,13,13,10,8,9,2,0,22,89,9,98,20,89,13,13,10,8,9,2,0,22,90,9,98,20,90,13,13,10,8,9,2,0,22,91,9,98,20,91,13,13,10,8,9,2,0,22,89,9,98,20,89,13,13,10,8,9,2,0,22,88,9,99,20,88,13,13,10,8,9,2,0,22,88,9,99,20,88,13,13,10,8,9,2,0,22,90,9,99,20,90,13,13,10,8,9,2,0,22,86,9,98,20,86,13,13,10,8,9,2,0,22,89,9,98,20,89,13,13,10,8,9,2,0,22,92,9,99,20,92,13,13,10,8,9,2,0,22,93,9,98,20,93,13,13,10,8,9,2,0,22,87,9,95,20,87,13,13,10,8,9,2,0,22,86,9,97,20,86,13,13,10,8,9,2,0,22,92,9,98,20,92,13,13,10,8,9,2,0,22,93,9,96,20,93,13,13,10,8,9,2,0
8.49228,49.7497,22,79,9,89,20,79,13,13,10,8,9,2,0,22,90,9,97,20,90,13,13,10,8,9,2,0,22,89,9,97,20,89,13,13,10,8,9,2,0,22,89,9,99,20,89,13,13,10,8,9,2,0,22,90,9,98,20,90,13,13,10,8,9,2,0,22,91,9,99,20,91,13,13,10,8,9,2,0,22,93,9,99,20,93,13,13,10,8,9,2,0,22,93,9,98,20,93,13,13,10,8,9,2,0,22,89,9,98,20,89,13,13,10,8,9,2,0,31,82,9,91,30,82,13,13,10,8,9,2,0,22,74,9,92,20,74,13,13,10,8,9,2,0,22,80,9,96,20,80,13,13,10,8,9,2,0,22,83,9,96,20,83,13,13,10,8,9,2,0,22,87,9,96,20,87,13,13,10,8,9,2,0,22,90,9,98,20,90,13,13,10,8,9,2,0,22,91,9,97,20,91,13,13,10,8,9,2,0,22,95,9,99,20,95,13,13,10,8,9,2,0,22,91,9,96,20,91,13,13,10,8,9,2,0,22,91,9,95,20,91,13,13,10,8,9,2,0,22,94,9,98,20,94,13,13,10,8,9,2,0,22,96,9,99,20,96,13,13,10,8,9,2,0
7.695708,48.219534,14,74,10,85,10,85,4,4,6,4,4,2,0,14,79,10,91,10,91,4,4,6,4,4,2,0,14,86,10,88,10,88,4,4,6,4,4,2,0,14,94,10,93,10,93,4,4,6,4,4,2,0,14,92,10,90,10,90,4,4,6,4,4,2,0,14,90,10,88,10,88,4,4,6,4,4,2,0,14,92,10,90,10,90,4,4,6,4,4,2,0,14,91,10,89,10,89,4,4,6,4,4,2,0,14,90,10,87,10,87,4,4,6,4,4,2,0,14,94,10,92,10,92,4,4,6,4,4,2,0,14,92,10,90,10,90,4,4,6,4,4,2,0,14,95,10,93,10,93,4,4,6,4,4,2,0,14,93,10,91,10,91,4,4,6,4,4,2,0,14,93,10,91,10,91,4,4,6,4,4,2,0,14,90,10,86,10,86,4,4,6,4,4,2,0,14,84,10,78,10,78,4,4,6,4,4,2,0,14,83,10,76,10,76,4,4,6,4,4,2,0,14,78,10,69,10,69,4,4,6,4,4,2,0,14,84,10,77,10,77,4,4,6,4,4,2,0,14,81,10,72,10,72,4,4,6,4,4,2,0,14,84,10,78,10,78,4,4,6,4,4,2,0
