no,station_id,y,x,street,common name,dt_placement,culex.spp,region,dt_placement_original,year,month,indices_image_date,indices_lat,indices_lon,ndvi,ndmi,ndwi,ndbi,ndvi_mean,ndmi_mean,ndwi_mean,ndbi_mean,ndvi_std,ndmi_std,ndwi_std,ndbi_std,lst_image_date,lst_lat,lst_lon,lst_day,lst_night,monthly_lst_lat,monthly_lst_lon,lst_jan_day_mean,lst_jan_night_mean,lst_feb_day_mean,lst_feb_night_mean,lst_mar_day_mean,lst_mar_night_mean,lst_apr_day_mean,lst_apr_night_mean,indices_image_date,indices_lat,indices_lon,acc_rainfall_jan,dt_placement_minus_7,dt_placement_minus_14,dt_placement_minus_7_avail,dt_placement_minus_14_avail,acc_rainfall_1week,acc_rainfall_2week
1,Starcevo,44.81098,20.69478,Zarka Zrenjanina 57,Acina Kuca,2023-06-04,294,Vojvodina,2023-06-11,2023,6,2023-06-03,44.810212160095936,20.69493835790529,0.4366754617414248,0.1672025723472669,-0.36167552360112537,-0.1672025723472669,0.3581822232425452,0.11930653157991265,-0.3080031180643078,-0.11930653157991265,0.069338167677805,0.06858897377412751,0.07094428553276713,0.06858897377412751,2023-06-04,44.810212160095936,20.69493835790529,15101.0,14051.0,44.810212160095936,20.694938357905286,14163.833333333336,13707.166666666664,14011.333333333336,13522.909090909092,14472.384615384617,13803.3,14716.7,13988.466666666667,2023-06-04,44.85020515654097,20.650094458920204,170.8152533477769,2023-05-28,2023-05-21,2023-05-28,2023-05-21,12.811821698211133,15.122860332485288
2,Starcevo,44.804737,20.691096,Bastenska 58-64,Ergela,2023-06-04,134,Vojvodina,2023-06-11,2023,6,2023-06-03,44.80572058367535,20.69044678148468,0.2952246530228181,0.10031974420463624,-0.2648747989892028,-0.10031974420463624,0.4072231507091858,0.18242443863046576,-0.34030942954872423,-0.18242443863046576,0.07985376226986374,0.08153392783994491,0.06568855486407844,0.08153392783994491,2023-06-04,44.80572058367535,20.69044678148468,15072.0,14038.0,44.80572058367535,20.69044678148468,14160.666666666664,13691.166666666664,14031.384615384617,13515.727272727272,14418.384615384617,13804.0,14715.5,13971.933333333332,2023-06-04,44.85020515654097,20.650094458920204,170.8152533477769,2023-05-28,2023-05-21,2023-05-28,2023-05-21,12.811821698211133,15.122860332485288
3,Pancevo,44.867029,20.653822,Pasterova 2,Opsta Bolnica,2023-06-04,2452,Vojvodina,2023-06-11,2023,6,2023-06-03,44.86860265356371,20.654514170119906,0.2143600416233092,0.040570664288898835,-0.2,-0.040570664288898835,0.2906229251693417,0.06259120832153202,-0.2682410172523323,-0.06259120832153202,0.07201127218415157,0.06192487611290815,0.06601366262163945,0.06192487611290815,2023-06-04,44.86860265356372,20.654514170119906,15188.0,14308.0,44.86860265356372,20.654514170119906,14161.833333333336,13724.666666666664,14007.066666666668,13606.4,14432.615384615383,13863.75,14724.636363636364,14081.615384615383,2023-06-04,44.85020515654097,20.650094458920204,170.8152533477769,2023-05-28,2023-05-21,2023-05-28,2023-05-21,12.811821698211133,15.122860332485288
4,Jabuka,44.947624,20.585016,Tamiska,Mesto,2023-06-04,148,Vojvodina,2023-06-11,2023,6,2023-06-03,44.949451029134465,20.58714052381093,0.2492189377553473,0.08066528066528066,-0.2116550116550117,-0.08066528066528066,0.3252876118578735,0.13078468366389526,-0.2582052819655428,-0.13078468366389526,0.07224491012417153,0.011198259006186014,0.07667920394705463,0.011198259006186014,2023-06-04,44.949451029134465,20.58714052381093,15010.0,,44.94945102913447,20.58714052381093,14144.8,13736.4,13980.076923076924,13537.555555555557,14398.0,13863.9,14664.090909090908,14034.777777777776,2023-06-04,44.95020561396915,20.550094001492017,233.22305040709762,2023-05-28,2023-05-21,2023-05-28,2023-05-21,3.359386476688087,58.21632405323908
5,Jabuka,44.946417,20.606634,Ribarska 147,Ergela,2023-06-04,307,Vojvodina,2023-06-11,2023,6,2023-06-03,44.94495945271388,20.605106829493323,0.7017640573318634,0.4183321847002068,-0.5532075471698114,-0.4183321847002068,0.5662096507230958,0.2964288922157783,-0.4461613388383528,-0.2964288922157783,0.09803629014897088,0.16889949771464688,0.06792797740362644,0.16889949771464688,2023-06-04,44.94495945271388,20.605106829493323,14995.0,14003.0,44.94495945271388,20.605106829493323,14124.5,13744.2,13966.076923076924,13549.0,14403.384615384617,13864.4,14673.444444444443,14045.727272727272,2023-06-04,44.95020561396915,20.650094458920204,195.03912436620521,2023-05-28,2023-05-21,2023-05-28,2023-05-21,5.127987444400787,63.43732359126443
6,Glogonj,44.991909,20.514506,Utrnska,Ulaz,2023-06-04,532,Vojvodina,2023-06-11,2023,6,2023-06-03,44.98987521691986,20.515275301081363,0.5288205734555129,0.19033371691599527,-0.43586896168795103,-0.19033371691599527,0.3749622926093514,0.325,-0.2570325427468285,-0.325,0.0,0.0,0.0,0.0,2023-06-04,44.98987521691986,20.515275301081363,14895.0,14054.0,44.98987521691986,20.515275301081363,14084.285714285714,13742.0,13966.333333333336,13572.0,14396.25,13855.5,14644.777777777776,14070.7,2023-06-04,44.95020561396915,20.550094001492017,233.22305040709762,2023-05-28,2023-05-21,2023-05-28,2023-05-21,3.359386476688087,58.21632405323908
7,Sefkerin,45.00674,20.47046,Partizanska,Ulaz,2023-06-04,884,Vojvodina,2023-06-11,2023,6,2023-06-03,45.00784152260226,20.470359536875385,0.410958904109589,0.07012987012987014,-0.3495554515676181,-0.07012987012987014,0.4684418145956608,0.233892686969132,-0.3867287543655413,-0.233892686969132,0.0,0.0,0.0,0.0,2023-06-04,45.00784152260226,20.470359536875385,14948.0,14303.0,45.00784152260226,20.470359536875385,14072.25,13728.666666666664,13983.714285714286,13537.6,14451.0,13842.0,14676.3,14019.416666666664,2023-06-04,45.05020607139734,20.450093544063833,194.0633405265471,2023-05-28,2023-05-21,2023-05-28,2023-05-21,8.580647245747969,24.85330418148078
8,Sefkerin,45.000675,20.494024,Zarka Zrenjanina ,Cicvaric Mesara,2023-06-04,580,Vojvodina,2023-06-11,2023,6,2023-06-03,44.998858369761045,20.492817418978373,0.4779397473275024,0.268601935268602,-0.4144345238095238,-0.268601935268602,0.5664557600114583,0.3245724631428876,-0.4667776663829839,-0.3245724631428876,0.143442871661633,0.11546435578916292,0.10415743810092057,0.11546435578916292,2023-06-04,44.99885836976107,20.492817418978373,14921.0,14277.0,44.99885836976107,20.492817418978373,14088.625,13712.0,13957.076923076924,13553.222222222224,14494.6,13843.0,14702.777777777776,14099.4,2023-06-04,45.05020607139734,20.450093544063833,194.0633405265471,2023-05-28,2023-05-21,2023-05-28,2023-05-21,8.580647245747969,24.85330418148078
9,Opovo,45.053365,20.41783,Tamiska,Tamiska,2023-06-04,580,Vojvodina,2023-06-11,2023,6,2023-06-03,45.052757286808216,20.416460619828207,0.42144638403990015,0.15384615384615385,-0.3471196454948301,-0.15384615384615385,0.5154205607476635,0.3738614700275365,-0.4048083170890189,-0.3738614700275365,0.0,0.0,0.0,0.0,2023-06-04,45.052757286808244,20.416460619828207,15027.0,14485.0,45.052757286808244,20.416460619828207,14112.8,13721.666666666664,13944.714285714286,13546.833333333336,14403.076923076924,13828.222222222224,14658.75,13992.692307692307,2023-06-04,45.05020607139734,20.450093544063833,194.0633405265471,2023-05-28,2023-05-21,2023-05-28,2023-05-21,8.580647245747969,24.85330418148078
10,Opovo,45.045172,20.430594,Slatinska,Izlaz,2023-06-04,884,Vojvodina,2023-06-11,2023,6,2023-06-03,45.043774133967034,20.429935349089998,0.4421168687982359,0.2374645222327341,-0.3446414803392444,-0.2374645222327341,0.4171348314606742,0.23349633251833746,-0.3549686660698299,-0.23349633251833746,0.0,0.0,0.0,0.0,2023-06-04,45.043774133967034,20.429935349089998,14982.0,14491.0,45.043774133967034,20.429935349089998,14116.6,13756.0,13931.928571428569,13540.666666666664,14409.53846153846,13803.666666666664,14681.909090909092,14006.916666666664,2023-06-04,45.05020607139734,20.450093544063833,194.0633405265471,2023-05-28,2023-05-21,2023-05-28,2023-05-21,8.580647245747969,24.85330418148078
