no,station_id,y,x,street,common name,dt_placement,culex.spp,week,region,dt_placement_original,year,month,indices_image_date,indices_lat,indices_lon,ndvi,ndmi,ndwi,ndbi,ndvi_mean,ndmi_mean,ndwi_mean,ndbi_mean,ndvi_std,ndmi_std,ndwi_std,ndbi_std,lst_image_date,lst_lat,lst_lon,lst_day,lst_night,monthly_lst_lat,monthly_lst_lon,lst_jan_day_mean,lst_jan_night_mean,lst_feb_day_mean,lst_feb_night_mean,lst_mar_day_mean,lst_mar_night_mean,lst_apr_day_mean,lst_apr_night_mean,indices_image_date,indices_lat,indices_lon,acc_rainfall_jan,dt_placement_minus_7,dt_placement_minus_14,dt_placement_minus_7_avail,dt_placement_minus_14_avail,acc_rainfall_1week,acc_rainfall_2week
1,Starcevo,44.81098,20.69478,Zarka Zrenjanina 57,Acina Kuca,2024-06-18,232,27,Vojvodina,2024-07-03,2024,6,2024-06-17,44.810212160095936,20.69493835790529,0.4564732142857144,0.07142857142857142,-0.4157851912123677,-0.07142857142857142,0.4350436481296056,0.05039709775886353,-0.4032239325124843,-0.05039709775886353,0.02459757925704169,0.023498451017623486,0.014942096263464013,0.023498451017623486,2024-06-18,44.810212160095936,20.69493835790529,15198.0,14677.0,44.810212160095936,20.694938357905286,13782.8,13547.25,14192.071428571431,13753.454545454546,14564.071428571431,13852.083333333336,14929.529411764706,14157.46153846154,2024-06-02,44.85020515654097,20.650094458920204,319.54447957473405,2024-06-11,2024-06-04,2024-06-02,2024-06-02,0.0,0.0
2,Starcevo,44.804737,20.691096,Bastenska 58-64,Ergela,2024-06-18,156,27,Vojvodina,2024-07-03,2024,6,2024-06-17,44.80572058367535,20.69044678148468,0.41380273819502655,0.02532928064842955,-0.39010989010989017,-0.02532928064842955,0.4947094385809505,0.1313642638680935,-0.4460702060810687,-0.1313642638680935,0.10006549590819938,0.11755982813369345,0.06820626338534902,0.11755982813369345,2024-06-18,44.80572058367535,20.69044678148468,15184.0,14686.0,44.80572058367535,20.69044678148468,13767.090909090908,13519.7,14171.533333333333,13709.7,14517.75,13840.0,15010.4375,14175.666666666664,2024-06-02,44.85020515654097,20.650094458920204,319.54447957473405,2024-06-11,2024-06-04,2024-06-02,2024-06-02,0.0,0.0
3,Pancevo,44.867029,20.653822,Pasterova 2,Opsta Bolnica,2024-06-18,247,27,Vojvodina,2024-07-03,2024,6,2024-06-17,44.86860265356371,20.654514170119906,0.3757542512342293,0.06001690617075234,-0.3502018842530283,-0.06001690617075234,0.3736440995601109,0.059933663758619436,-0.34923934850673594,-0.059933663758619436,0.07580575343359729,0.07192325717522648,0.048822272132669715,0.07192325717522648,2024-06-18,44.86860265356372,20.654514170119906,15336.0,14813.0,44.86860265356372,20.654514170119906,13756.285714285714,13550.272727272728,14150.846153846154,13833.909090909092,14483.533333333333,13942.0,14882.684210526317,14291.583333333336,2024-06-02,44.85020515654097,20.650094458920204,319.54447957473405,2024-06-11,2024-06-04,2024-06-02,2024-06-02,0.0,0.0
4,Jabuka,44.947624,20.585016,Tamiska,Mesto,2024-06-18,187,27,Vojvodina,2024-07-03,2024,6,2024-06-17,44.949451029134465,20.58714052381093,0.4216867469879517,0.005860415556739424,-0.3957614588467226,-0.005860415556739424,0.43346363961475376,0.018823521625647776,-0.4026473877712525,-0.018823521625647776,0.011776892626802066,0.012963106068908352,0.006885928924529883,0.012963106068908352,2024-06-18,44.949451029134465,20.58714052381093,15122.0,14808.0,44.94945102913447,20.58714052381093,13783.0,13673.166666666664,14213.916666666664,13799.2,14529.285714285714,13899.636363636364,14892.625,14245.545454545454,2024-06-02,44.95020561396915,20.550094001492017,304.77984436236875,2024-06-11,2024-06-04,2024-06-02,2024-06-02,0.0,0.0
5,Jabuka,44.946417,20.606634,Ribarska 147,Ergela,2024-06-18,1527,27,Vojvodina,2024-07-03,2024,6,2024-06-17,44.94495945271388,20.605106829493323,0.7149805447470818,0.3923000987166831,-0.5933122458201536,-0.3923000987166831,0.5952605439742861,0.2578152231053214,-0.4981366295201972,-0.2578152231053214,0.1155623322166288,0.16154484078991255,0.0782794442296247,0.16154484078991255,2024-06-18,44.94495945271388,20.605106829493323,15190.0,14751.0,44.94495945271388,20.605106829493323,13761.166666666664,13625.142857142857,14190.5,13778.2,14468.0,13902.916666666664,14912.0625,14212.416666666664,2024-06-02,44.95020561396915,20.650094458920204,254.79466935172388,2024-06-11,2024-06-04,2024-06-02,2024-06-02,0.0,0.0
6,Glogonj,44.991909,20.514506,Utrnska,Ulaz,2024-06-18,470,27,Vojvodina,2024-07-03,2024,6,2024-06-17,44.98987521691986,20.515275301081363,0.5377305757406372,0.1534591194968554,-0.4656366542354822,-0.1534591194968554,0.5637389388726717,0.18942129407071834,-0.4771336592089155,-0.18942129407071834,0.1204183492248776,0.14293891013058896,0.08574267084219976,0.14293891013058896,2024-06-18,44.98987521691986,20.515275301081363,15255.0,14786.0,44.98987521691986,20.515275301081363,13791.545454545454,13540.5,14191.6,13814.222222222224,14510.933333333332,13926.090909090908,14845.5,14231.692307692307,2024-06-02,44.95020561396915,20.550094001492017,304.77984436236875,2024-06-11,2024-06-04,2024-06-02,2024-06-02,0.0,0.0
7,Sefkerin,45.00674,20.47046,Partizanska,Ulaz,2024-06-18,153,27,Vojvodina,2024-07-03,2024,6,2024-06-17,45.00784152260226,20.470359536875385,0.4858722358722359,0.11526048870447207,-0.4104956268221573,-0.11526048870447207,0.6078107478328495,0.2488708169779583,-0.5085231537564363,-0.2488708169779583,0.12010280851440773,0.13868603917237646,0.08924334661502123,0.13868603917237646,2024-06-18,45.00784152260226,20.470359536875385,15143.0,14766.0,45.00784152260226,20.470359536875385,13758.636363636364,13555.909090909092,14196.666666666664,13772.666666666664,14483.466666666667,13894.230769230771,14864.5,14200.5,2024-06-02,45.05020607139734,20.450093544063833,247.42028589084714,2024-06-11,2024-06-04,2024-06-02,2024-06-02,0.0,0.0
8,Sefkerin,45.000675,20.494024,Zarka Zrenjanina ,Cicvaric Mesara,2024-06-18,120,27,Vojvodina,2024-07-03,2024,6,2024-06-17,44.998858369761045,20.492817418978373,0.7076081551466932,0.29682779456193353,-0.5890791300323925,-0.29682779456193353,0.594577630821914,0.20796065797440896,-0.5064159102384921,-0.20796065797440896,0.11578948104887556,0.11971397982753272,0.08451799264582482,0.11971397982753272,2024-06-18,44.99885836976107,20.492817418978373,15191.0,14779.0,44.99885836976107,20.492817418978373,13794.272727272728,13572.75,14199.583333333336,13795.375,14499.5,13940.454545454546,14833.1875,14238.727272727272,2024-06-02,45.05020607139734,20.450093544063833,247.42028589084714,2024-06-11,2024-06-04,2024-06-02,2024-06-02,0.0,0.0
9,Opovo,45.053365,20.41783,Tamiska,Tamiska,2024-06-18,332,27,Vojvodina,2024-07-03,2024,6,2024-06-17,45.052757286808216,20.416460619828207,0.4726338070758997,0.1383824216923796,-0.4034582132564842,-0.1383824216923796,0.5839018310922243,0.2305241591292511,-0.4909280364197464,-0.2305241591292511,0.09379467860954516,0.09914264766325682,0.06947494745850606,0.09914264766325682,2024-06-18,45.052757286808244,20.416460619828207,15193.0,14751.0,45.052757286808244,20.416460619828207,13753.5,13512.375,14163.545454545454,13761.111111111111,14521.0,13921.583333333336,14837.277777777776,14202.4,2024-06-02,45.05020607139734,20.450093544063833,247.42028589084714,2024-06-11,2024-06-04,2024-06-02,2024-06-02,0.0,0.0
10,Opovo,45.045172,20.430594,Slatinska,Izlaz,2024-06-18,722,27,Vojvodina,2024-07-03,2024,6,2024-06-17,45.043774133967034,20.429935349089998,0.577934936350778,0.20397150874163614,-0.4878634302480662,-0.20397150874163614,0.58761846232723,0.22321092925055508,-0.503326229923005,-0.22321092925055508,0.10309974228090996,0.1304122859145377,0.07470054729272392,0.1304122859145377,2024-06-18,45.043774133967034,20.429935349089998,15192.0,14744.0,45.043774133967034,20.429935349089998,13756.083333333336,13524.666666666664,14137.916666666664,13727.636363636364,14507.0625,13912.25,14867.125,14215.0,2024-06-02,45.05020607139734,20.450093544063833,247.42028589084714,2024-06-11,2024-06-04,2024-06-02,2024-06-02,0.0,0.0
