x,y
9.06314,41.888805
9.172567,41.969418
9.146378,41.952316
9.123001,41.941761
9.103888,41.944145
8.740685,41.927715
8.825725,42.209892
8.78888,42.163761
8.932131,42.185955
8.909489,42.17559
8.948407,42.168465
8.790799,41.91959
9.260166,42.362144
9.261624,42.361763
8.899113,41.675488
9.270995,42.37281
9.09846,41.498535
9.159466,41.388584
9.475703,42.549198
9.374616,42.508331
9.206088,42.461807
9.278186,42.479355
9.171993,42.238888
9.191661,42.398884
9.191604,42.380814
9.149001,42.302113
9.166298,42.169533
9.149258,42.148292
9.134431,42.129044
9.453525,42.70647
9.118832,42.113583
9.111939,42.111725
7.7849,48.524601
7.7869,48.526901
7.7868,48.527698
7.717,48.536999
7.7829,48.811298
7.7808,48.797798
7.6806,48.5513
7.6826,48.5555
7.4891,48.462398
7.5013,48.473099
7.6951,48.7211
7.7482,48.568001
7.7525,48.569698
7.7479,48.565399
7.7641,48.555801
7.7581,48.5658
7.6902,48.723702
7.7454,48.6171
7.7453,48.612999
7.7423,48.6133
7.7598,48.609798
7.7565,48.610699
7.7575,48.616699
7.421913,48.112774
7.42894,48.111427
7.426259,48.109184
7.429824,48.109142
7.431716,48.108681
7.428641,48.10751
7.430105,48.105942
7.437132,48.10714
7.437996,48.106457
7.43735,48.1031
7.43942,48.106232
7.435714,48.108177
7.434709,48.108246
7.434517,48.109261
7.42242,48.11446
7.419882,48.113854
7.41882,48.112102
7.417759,48.108761
7.425453,48.110287
7.426317,48.111969
7.421077,48.110672
8.1568,48.976898
8.1552,48.9767
7.7307,48.599098
7.7383,48.595902
8.0229,48.8391
7.743,48.604599
7.7489,48.604099
7.7488,48.610401
7.7421,48.609001
7.7488,48.608002
7.7303,48.6105
7.756,48.607101
7.7359,48.633499
7.7391,48.631599
7.7493,48.627998
7.7508,48.6007
7.7558,48.618801
7.7047,48.592701
7.7109,48.592998
7.7392,48.575401
7.7308,48.6049
7.338434,48.074223
7.338794,48.073746
7.338927,48.073479
7.328834,48.083256
7.32771,48.083649
7.329154,48.08215
7.32797,48.08292
7.328979,48.080982
7.329498,48.08316
7.327993,48.081596
7.531183,47.60046
7.531502,47.600624
8.909489,42.175591
9.453525,42.706471
7.419882,48.113853
7.7109,48.592999
7.329154,48.082149
7.6902,48.723701
7.7383,48.595901
