x,y
4.787094,43.39843
4.72752,43.41326
4.741548,43.414754
4.822847,43.377357
4.0097,43.599235
4.393586,43.649133
4.261512,43.518329
4.15569,43.516074
4.382242,43.571266
3.558036,43.393035
3.430671,43.293043
3.015475,43.169298
2.934282,42.842603
4.329237,43.481993
3.780325,43.471579
5.199213,43.424665
4.956179,43.490163
3.902103,43.551843
3.831047,43.523993
4.104153,43.596909
5.011963,43.368183
5.030698,43.551277
3.968133,43.585443
3.06076,43.103359
3.042534,43.007544
3.202723,43.233756
2.962796,43.092314
3.356162,43.280497
3.228197,43.216209
4.206275,43.632843
3.035179,42.750148
3.032942,42.837605
3.000527,42.897924
4.208122,43.568094
4.504919,43.748263
2.996648,42.661655
4.505035,43.748312
3.000584,42.897568
3.059781,43.008017
3.018915,42.769393
4.427232,43.666237
4.616948,43.757367
3.060796,43.103402
