x,y
7.9373,48.6964
7.906248,48.667697
7.804023,48.504416
7.774556,48.475482
7.771718,48.459707
7.765352,48.439419
7.757027,48.408606
7.7384,48.381404
7.748795,48.359666
7.867669,48.400243
7.740874,48.316083
7.722423,48.272803
7.692928,48.247767
7.695708,48.219534
7.658595,48.20418
7.582356,48.103378
7.710277,48.059292
7.739779,48.057447
8.072794,48.78978
8.026841,48.770099
7.985248,48.759098
7.973691,48.751194
8.486561,49.37627
8.472244,49.286018
8.423394,49.291796
8.368656,49.258329
8.361245,49.180282
8.364548,49.175141
8.35908,49.115716
8.164592,49.038977
8.296315,49.021501
8.518836,49.369708
8.437625,49.592503
8.458288,49.738154
8.461155,49.813561
8.41138,49.825157
8.520021,49.863317
8.363227,49.85911
8.392527,49.755169
8.441556,49.731548
8.365435,49.702811
8.381922,49.570168
8.109338,48.807463
8.145248,48.875306
8.212062,48.955587
8.270504,48.975548
8.374465,49.167544
8.454496,49.247685
8.511432,49.25607
8.382213,49.700655
8.391339,49.924997
8.326382,49.977965
8.00816,49.985849
8.192783,50.032849
8.344035,49.927527
7.934067,48.685016
8.6497,49.8599
8.37625,49.4832
8.55682,49.8162
8.60958,49.8034
8.60878,49.7741
8.48154,49.5826
8.4383,49.5424
8.49513,49.5369
8.35495,49.5422
8.52429,49.3161
8.53466,49.2923
8.55649,49.3139
8.6205,49.2605
8.54642,49.2411
8.3228,49.269
8.47875,49.5052
8.63281,49.3045
8.28145,49.3109
8.32702,49.3134
8.20059,49.3254
8.6638,49.469
8.36472,49.39
8.62129,49.3995
8.56084,49.471
8.30567,49.4375
8.49228,49.7497
8.46317,49.6917
8.44544,49.643
8.54651,49.6732
8.6677,49.5501
