x,y
-3.052917,5.284167
-3.052083,5.284639
-3.052306,5.285833
-3.052583,5.285167
-3.053361,5.284056
-3.054944,5.284083
-3.054417,5.28475
-3.053861,5.285583
-3.055639,5.285611
-3.057083,5.285528
-3.057806,5.284889
-3.058667,5.286083
-3.05775,5.2865
-3.056917,5.288139
-3.056417,5.287139
-3.054667,5.287944
-3.055278,5.287806
-3.055833,5.287611
-3.057361,5.286722
-3.055472,5.286278
-3.054111,5.295861
-3.054778,5.296389
-3.055333,5.297361
-3.055694,5.298528
-3.056694,5.299222
-3.056667,5.298278
-3.056194,5.297056
-3.055667,5.295389
-3.056194,5.294083
-3.057222,5.295139
-3.05775,5.2965
-3.058,5.298556
-3.058389,5.299611
-3.058667,5.300944
-3.05925,5.300056
-3.058583,5.29875
-3.058889,5.297556
-3.061556,5.296583
-3.059861,5.296472
-3.059472,5.295333
-3.051194,5.288083
-3.050667,5.287528
-3.049833,5.288111
-3.048889,5.288278
-3.048028,5.287361
-3.048083,5.288611
-3.046639,5.288611
-3.045028,5.289167
-3.046139,5.289722
-3.050333,5.288611
-3.056694,5.285139
-3.056833,5.285
-3.057028,5.284778
-3.055333,5.284306
-3.055472,5.284111
-3.055694,5.283667
-3.055667,5.283556
-3.055694,5.282806
-3.053278,5.282222
-3.053333,5.282083
-3.053056,5.281694
-3.053167,5.281028
-3.053361,5.280528
-3.052083,5.283778
-3.051917,5.283611
-3.05175,5.283333
-3.051417,5.28275
-3.051278,5.282139
-3.0515,5.285639
-3.051278,5.285444
-3.051,5.285306
-3.050278,5.284361
-3.050278,5.283639
-3.054,5.287667
-3.053944,5.287639
-3.053611,5.287611
-3.053083,5.287778
-3.052889,5.287889
-3.056556,5.288583
-3.056556,5.289139
-3.056556,5.289861
-3.056139,5.2905
-3.055583,5.291472
-3.054278,5.291278
-3.053472,5.290972
-3.052417,5.290222
-3.0515,5.2895
-3.050472,5.288528
-3.057361,5.287944
-3.057444,5.288139
-3.057361,5.287583
-3.05775,5.289056
-3.057806,5.289111
-3.058944,5.28525
-3.059222,5.285028
-3.059667,5.284694
-3.060083,5.28425
-3.06075,5.284
-3.058417,5.283778
-3.058722,5.282889
-3.058972,5.282611
-3.059389,5.28225
-3.060139,5.281917
-3.0555,5.282583
-3.055694,5.28175
-3.055806,5.281611
-3.056111,5.281056
-3.055833,5.280028
-3.053417,5.280444
-3.053583,5.279417
-3.053528,5.278639
-3.053556,5.278
-3.0535,5.277194
-3.051194,5.281722
-3.051139,5.281111
-3.051194,5.281028
-3.050222,5.278389
-3.051222,5.278806
-3.049389,5.282611
-3.049333,5.281972
-3.049056,5.281444
-3.049194,5.280056
-3.049278,5.278694
-3.048694,5.282111
-3.047944,5.282056
-3.047306,5.281889
-3.046806,5.28175
-3.044694,5.28125
-3.059194,5.295056
-3.062,5.299778
-3.046694,5.299944
-3.048083,5.298944
-3.048778,5.298861
-3.050056,5.2975
-3.051306,5.296111
-3.051889,5.295028
-3.052111,5.29425
-3.051917,5.294167
-3.058639,5.289444
-3.059639,5.289611
-3.060083,5.28975
-3.0605,5.289944
-3.060917,5.290278
-3.060306,5.286083
-3.0605,5.286083
-3.060861,5.285861
-3.061139,5.285861
-3.061333,5.285667
-3.998417,5.325222
-3.998333,5.325139
-3.999528,5.325056
-3.997944,5.324389
-3.997778,5.324028
-3.998194,5.324056
-3.998472,5.324361
-3.998639,5.32475
-3.998778,5.325
-3.998361,5.323389
-3.998722,5.323111
-3.998806,5.323083
-3.999056,5.322944
-3.999278,5.322778
-3.999806,5.322528
-4.000556,5.322278
-4.000667,5.322139
-4.001528,5.321917
-4.002139,5.321944
-4.002139,5.322278
-4.001833,5.322333
-4.001472,5.322417
-4.001194,5.322583
-4.000917,5.322639
-4.000639,5.322833
-4.000306,5.323
-4.000222,5.323056
-3.9995,5.323333
-3.999333,5.323444
-3.999306,5.324278
-3.999444,5.324028
-3.999722,5.324
-3.999889,5.323972
-4.000389,5.323694
-4.000806,5.323528
-4.001389,5.323111
-4.001778,5.323
-4.002306,5.322806
-4.002028,5.323472
-4.001556,5.323611
-4.00075,5.324222
-4.000167,5.324333
-3.999611,5.324389
-4.000611,5.324694
-4.001333,5.324083
-4.001056,5.324167
-4.000556,5.324472
-4.000278,5.324667
-3.999917,5.324917
-3.999389,5.325111
-3.997722,5.325444
-3.997833,5.325722
-3.997889,5.326056
-3.998056,5.326694
-3.998417,5.326861
-3.998444,5.326528
-3.998472,5.326222
-3.998278,5.326056
-3.99825,5.325667
-3.998028,5.325444
-3.998361,5.325361
-3.998444,5.325528
-3.998722,5.326111
-3.998972,5.32675
-3.999028,5.326889
-3.998972,5.327139
-3.999,5.327444
-3.999278,5.326972
-3.999333,5.327028
-3.999444,5.327028
-3.999333,5.326667
-3.999306,5.326417
-3.999167,5.326139
-3.998889,5.325639
-3.998833,5.325333
-3.999389,5.325167
-3.999389,5.325417
-3.999667,5.325722
-3.999667,5.326306
-4.000056,5.325611
-4.000056,5.326083
-3.999944,5.326861
-3.999833,5.327444
-3.999917,5.3275
-4.000417,5.32725
-4.000306,5.326722
-4.000444,5.32675
-4.00075,5.325333
-4.001,5.325417
-4.001,5.325694
-4.001139,5.326222
-4.000972,5.326917
-4.000944,5.327528
-4.001139,5.3275
-4.001361,5.327139
-4.001333,5.326917
-4.001389,5.326361
-4.001556,5.325722
-4.001583,5.325444
-4.001861,5.325444
-4.005944,5.3095
-4.007194,5.309111
-4.008333,5.308667
-4.010611,5.307917
-4.011833,5.307389
-4.011694,5.307917
-4.010417,5.308306
-4.008667,5.308944
-4.007333,5.309444
-4.005944,5.310028
-4.007917,5.309694
-4.009972,5.309028
-4.011306,5.3085
-4.012583,5.308333
-4.011556,5.308806
-4.010167,5.309333
-4.009,5.309667
-4.007694,5.310194
-4.007472,5.310833
-4.008278,5.310583
-4.009972,5.309972
-4.010778,5.309667
-4.012222,5.309194
-4.013111,5.309778
-4.012,5.310278
-4.011167,5.3105
-4.01025,5.31075
-4.009528,5.311083
-4.008722,5.311306
-4.007694,5.311611
-4.008389,5.310833
-4.008944,5.310833
-4.009972,5.310444
-4.010889,5.310056
-4.011806,5.309806
-4.012111,5.310167
-4.013556,5.309722
-4.014194,5.3095
-4.014556,5.309417
-4.014944,5.30925
-4.015167,5.309722
-4.015389,5.310083
-4.011417,5.311
-4.010889,5.311167
-4.010611,5.311278
-4.009889,5.311528
-4.009583,5.311667
-4.009333,5.311806
-4.008861,5.311944
-4.008528,5.311583
-4.006778,5.310917
-4.006222,5.310667
-4.005833,5.311056
-4.005389,5.310889
-4.005111,5.310167
-4.004833,5.309917
-4.00475,5.310306
-4.003861,5.310139
-4.003083,5.310139
-4.003389,5.310806
-4.003611,5.310972
-4.003806,5.311278
-4.003333,5.311389
-4.002917,5.311056
-4.003111,5.311389
-4.003861,5.311722
-4.003917,5.311972
-4.004694,5.312028
-4.004389,5.311694
-4.004528,5.311278
-4.004556,5.311028
-4.005194,5.311472
-4.005444,5.311306
-4.006083,5.311778
-4.006611,5.31125
-4.007361,5.312194
-4.007056,5.312556
-4.006611,5.31325
-4.006833,5.313417
-4.007444,5.313667
-4.007889,5.313417
-4.007306,5.311583
-4.007694,5.312167
-4.008444,5.312139
-4.008528,5.313
-4.009306,5.313194
-4.008861,5.312056
-4.009111,5.311694
-4.0105,5.311444
-4.011472,5.311083
-4.012083,5.310861
-4.013222,5.311
-4.015056,5.3105
-4.014694,5.310222
-4.013972,5.310222
-4.012694,5.310611
-4.012306,5.31075
-4.012056,5.310833
-3.057806,5.284028
-3.058139,5.283778
-4.014444,5.309806
-4.01425,5.310222
-4.002558,5.302408
-4.002063,5.303105
-4.001441,5.303794
-4.002821,5.303131
-4.001539,5.302934
-4.001938,5.304046
-4.002511,5.301449
-4.00265,5.303249
-4.003244,5.30247
-4.002288,5.303123
-3.887915,5.350244
-3.88399,5.351018
-3.885848,5.350373
-3.887104,5.351529
-3.887329,5.351022
-3.886851,5.350634
-3.888223,5.351464
-3.887654,5.351031
-3.884261,5.350864
-3.88427,5.350882
-3.968925,5.347426
-3.969491,5.346276
-3.969211,5.346168
-3.970636,5.345487
-3.970242,5.347478
-3.969831,5.34434
-3.970412,5.346401
-4.002458,5.301685
-3.96987,5.345859
-3.969173,5.344811
