Unnamed: 0,x,y,region,dt_placement,year,month,ndvi_new,ndmi_new,ndwi_new,ndbi_new,ndvi_mean_new,ndmi_mean_new,ndwi_mean_new,ndbi_mean_new,ndvi_std_new,ndmi_std_new,ndwi_std_new,ndbi_std_new,lst_day,lst_night,lst_jan_mean,lst_feb_mean,lst_mar_mean,lst_apr_mean,acc_rainfall_1week,acc_rainfall_2week,acc_rainfall_jan,acc_rainfall_jan_new,dt_placement_minus_7,dt_placement_minus_14,dt_placement_minus_7_avail,dt_placement_minus_14_avail,acc_rainfall_1week_new,acc_rainfall_2week_new
0,99.172061,13.553044,Thailand,2022-10-08,2022,10,,,,,,,,,,,,,14772.0,,14894.92,14856.3,14965.454545454499,15008.3,133.9,237.0,1666.2,3338.3296781867157,2022-10-01,2022-09-24,2022-10-01,2022-09-24,252.35909895227314,401.17238322001026
1,99.172061,13.571011,Thailand,2022-10-08,2022,10,,,,,0.49779566800843394,0.23972711407266398,-0.43008784773059994,-0.23972711407266398,0.0,0.0,0.0,0.0,14956.0,,14891.5,14844.7692307692,15018.0,14989.25,133.9,237.0,1666.2,3338.3296781867157,2022-10-01,2022-09-24,2022-10-01,2022-09-24,252.35909895227314,401.17238322001026
2,99.172061,13.588978,Thailand,2022-10-08,2022,10,,,,,,,,,,,,,14976.0,,14914.0,14915.7692307692,15029.9,14989.8181818182,133.9,237.0,1666.2,3338.3296781867157,2022-10-01,2022-09-24,2022-10-01,2022-09-24,252.35909895227314,401.17238322001026
3,99.172061,13.606944,Thailand,2022-10-08,2022,10,,,,,,,,,,,,,14939.0,,14857.826086956498,14836.833333333301,14957.5,14966.454545454499,145.3,248.4,1726.8,3452.93858556739,2022-10-01,2022-09-24,2022-10-01,2022-09-24,279.0333247607267,445.4025956177601
4,99.172061,13.624911,Thailand,2022-10-08,2022,10,,,,,,,,,,,,,15012.0,,14904.96,14903.0909090909,15058.545454545501,15011.5,145.3,248.4,1726.8,3452.93858556739,2022-10-01,2022-09-24,2022-10-01,2022-09-24,279.0333247607267,445.4025956177601
5,99.172061,13.642878,Thailand,2022-10-08,2022,10,,,,,,,,,,,,,15028.0,,14915.625,14886.615384615401,14983.5,15003.9230769231,145.3,248.4,1726.8,3452.93858556739,2022-10-01,2022-09-24,2022-10-01,2022-09-24,279.0333247607267,445.4025956177601
6,99.172061,13.660844,Thailand,2022-10-08,2022,10,,,,,,,,,,,,,15051.0,,14936.1304347826,14939.1,15052.7272727273,15041.7272727273,145.3,248.4,1726.8,3452.93858556739,2022-10-01,2022-09-24,2022-10-01,2022-09-24,279.0333247607267,445.4025956177601
7,99.172061,13.678811,Thailand,2022-10-08,2022,10,,,,,,,,,,,,,15039.0,,14957.6086956522,14964.4,15059.5555555556,15059.083333333301,145.3,248.4,1726.8,3452.93858556739,2022-10-01,2022-09-24,2022-10-01,2022-09-24,279.0333247607267,445.4025956177601
8,99.172061,13.696778,Thailand,2022-10-08,2022,10,,,,,,,,,,,,,15015.0,,14938.045454545501,14904.4,15031.7272727273,15026.6428571429,145.3,248.4,1726.8,3452.93858556739,2022-10-01,2022-09-24,2022-10-01,2022-09-24,279.0333247607267,445.4025956177601
9,99.172061,13.714744,Thailand,2022-10-08,2022,10,,,,,,,,,,,,,15016.0,,14927.347826087,14910.384615384599,14990.3571428571,15032.384615384599,155.5,247.0,1675.8,3354.145939339679,2022-10-01,2022-09-24,2022-10-01,2022-09-24,302.16482151678093,453.9042728633159
10,99.172061,13.732711,Thailand,2022-10-08,2022,10,,,,,,,,,,,,,15018.0,,14922.666666666699,14913.25,15006.461538461499,15011.384615384599,155.5,247.0,1675.8,3354.145939339679,2022-10-01,2022-09-24,2022-10-01,2022-09-24,302.16482151678093,453.9042728633159
11,99.190512,13.24761,Thailand,2022-10-08,2022,10,0.38940329218107,0.213932584269663,-0.32110540474443605,-0.213932584269663,0.38940329218107,0.213932584269663,-0.32110540474443605,-0.213932584269663,0.0,0.0,0.0,0.0,14994.0,,14917.0,14882.428571428602,15015.25,15014.0,116.2,209.6,1831.6,1841.4543755512311,2022-10-01,2022-09-24,2022-10-01,2022-09-24,102.88501917239084,189.47704606708186
12,99.190512,13.265577,Thailand,2022-10-08,2022,10,0.639358288770054,0.29219355926487894,-0.526997409842598,-0.29219355926487894,0.43982225621817894,0.222077913505341,-0.35865641623518196,-0.222077913505341,0.0800759394191194,0.0320174123480361,0.0611232729294773,0.0320174123480361,15011.0,,14926.75,14923.083333333301,15013.333333333301,15020.071428571398,116.2,209.6,1831.6,1841.4543755512311,2022-10-01,2022-09-24,2022-10-01,2022-09-24,102.88501917239084,189.47704606708186
13,99.190512,13.283544,Thailand,2022-10-08,2022,10,0.6688839615668879,0.30069124423963106,-0.5398954307797229,-0.30069124423963106,0.6950901836091,0.304671645824279,-0.5577170128580831,-0.304671645824279,0.0592682789910246,0.018131855857789,0.0437848231305175,0.018131855857789,14951.0,,14896.583333333301,14900.166666666699,15022.9,14995.333333333301,116.2,209.6,1831.6,1841.4543755512311,2022-10-01,2022-09-24,2022-10-01,2022-09-24,102.88501917239084,189.47704606708186
14,99.190512,13.30151,Thailand,2022-10-08,2022,10,0.741275571600481,0.356774496015002,-0.568138715795177,-0.356774496015002,0.7232763985968872,0.330371794306404,-0.572854227674879,-0.330371794306404,0.0397311838717435,0.0276969120000359,0.0300641008959687,0.0276969120000359,14995.0,,14892.041666666699,14874.2307692308,14993.3571428571,14999.083333333301,112.8,222.9,1702.1,3413.9171332612664,2022-10-01,2022-09-24,2022-10-01,2022-09-24,208.4275349479507,374.35614308960334
15,99.190512,13.319477,Thailand,2022-10-08,2022,10,0.592548553309552,0.29948253557567894,-0.497856477166822,-0.29948253557567894,0.650959316815705,0.327681346542997,-0.5318211306522679,-0.327681346542997,0.0909259984165874,0.0458103059672351,0.0613071708321294,0.0458103059672351,15027.0,,14936.5,14901.333333333301,15039.9230769231,15039.5,112.8,222.9,1702.1,3413.9171332612664,2022-10-01,2022-09-24,2022-10-01,2022-09-24,208.4275349479507,374.35614308960334
16,99.190512,13.337444,Thailand,2022-10-08,2022,10,0.4778665515007561,0.295230885692657,-0.388516940555894,-0.295230885692657,0.5764775464702261,0.331635453193178,-0.45996022518324003,-0.331635453193178,0.0999219008994418,0.0462086385453645,0.0693395472990514,0.0462086385453645,15067.0,,14953.875,14955.6923076923,15085.0,15062.363636363601,112.8,222.9,1702.1,3413.9171332612664,2022-10-01,2022-09-24,2022-10-01,2022-09-24,208.4275349479507,374.35614308960334
17,99.190512,13.445244,Thailand,2022-10-08,2022,10,0.566024008730447,0.30593053238283,-0.47557840616966607,-0.30593053238283,0.594396201433126,0.312375488880373,-0.49208086249839095,-0.312375488880373,0.0585228235826746,0.0191907103766665,0.0447681152000772,0.0191907103766665,14824.0,,14909.0,14908.4,15011.0769230769,15003.9,120.9,229.5,1682.1,3381.0733591734906,2022-10-01,2022-09-24,2022-10-01,2022-09-24,220.0749929851331,387.36433866983026
18,99.190512,13.481177,Thailand,2022-10-08,2022,10,,,,,0.46375873835699893,0.271705743518965,-0.39218855193988705,-0.271705743518965,0.0602165306462136,0.0290201714397997,0.0497374857377772,0.0290201714397997,14965.0,,14901.2272727273,14862.2727272727,14992.3,14989.083333333301,120.9,229.5,1682.1,3381.0733591734906,2022-10-01,2022-09-24,2022-10-01,2022-09-24,220.0749929851331,387.36433866983026
19,99.190512,13.499144,Thailand,2022-10-08,2022,10,,,,,0.642027835007541,0.30704471716950604,-0.5329512855027171,-0.30704471716950604,0.0875494278426026,0.0304696124753817,0.06116685869347099,0.0304696124753817,15002.0,,14893.1428571429,14881.5555555556,14957.5,14979.545454545501,120.9,229.5,1682.1,3381.0733591734906,2022-10-01,2022-09-24,2022-10-01,2022-09-24,220.0749929851331,387.36433866983026
20,99.190512,13.517111,Thailand,2022-10-08,2022,10,,,,,0.574344695384594,0.299104687725362,-0.4781384772677371,-0.299104687725362,0.12786542591800001,0.0437688045922832,0.10145747454828599,0.0437688045922832,14979.0,,14873.958333333301,14875.153846153798,14975.9090909091,14974.2727272727,133.9,237.0,1666.2,3338.3296781867157,2022-10-01,2022-09-24,2022-10-01,2022-09-24,252.35909895227314,401.17238322001026
21,99.190512,13.535077,Thailand,2022-10-08,2022,10,,,,,0.5423437067019671,0.280318895370682,-0.46299918951427793,-0.280318895370682,0.0505076119809192,0.0187952671597212,0.039299889627062004,0.0187952671597212,14954.0,,14871.833333333301,14844.363636363601,14958.8,14967.545454545501,133.9,237.0,1666.2,3338.3296781867157,2022-10-01,2022-09-24,2022-10-01,2022-09-24,252.35909895227314,401.17238322001026
22,99.190512,13.553044,Thailand,2022-10-08,2022,10,0.526534379326257,0.26622009569378,-0.44391095591444796,-0.26622009569378,0.637288357612795,0.30763395842829805,-0.5279157866620651,-0.30763395842829805,0.12063501711730999,0.0511579745769812,0.0869080483483257,0.0511579745769812,14981.0,,14874.3043478261,14843.0769230769,14947.6923076923,14987.25,133.9,237.0,1666.2,3338.3296781867157,2022-10-01,2022-09-24,2022-10-01,2022-09-24,252.35909895227314,401.17238322001026
23,99.190512,13.571011,Thailand,2022-10-08,2022,10,,,,,0.7646013073035601,0.34706997892115504,-0.618382205804813,-0.34706997892115504,0.0081979076095441,0.0190748400300359,0.0090679003415137,0.0190748400300359,14993.0,,14904.5217391304,14858.5,14999.9090909091,15000.0,133.9,237.0,1666.2,3338.3296781867157,2022-10-01,2022-09-24,2022-10-01,2022-09-24,252.35909895227314,401.17238322001026
24,99.190512,13.588978,Thailand,2022-10-08,2022,10,,,,,,,,,,,,,15022.0,,14905.5217391304,14910.0,14984.75,15055.0,133.9,237.0,1666.2,3338.3296781867157,2022-10-01,2022-09-24,2022-10-01,2022-09-24,252.35909895227314,401.17238322001026
25,99.190512,13.606944,Thailand,2022-10-08,2022,10,,,,,,,,,,,,,14962.0,,14878.9130434783,14936.6,14970.9090909091,15006.0909090909,145.3,248.4,1726.8,3452.93858556739,2022-10-01,2022-09-24,2022-10-01,2022-09-24,279.0333247607267,445.4025956177601
26,99.190512,13.624911,Thailand,2022-10-08,2022,10,,,,,,,,,,,,,15037.0,,14933.6,14945.0,15069.0,15038.461538461499,145.3,248.4,1726.8,3452.93858556739,2022-10-01,2022-09-24,2022-10-01,2022-09-24,279.0333247607267,445.4025956177601
27,99.190512,13.642878,Thailand,2022-10-08,2022,10,,,,,,,,,,,,,15051.0,,14954.458333333301,14948.9090909091,15018.7692307692,15069.5,145.3,248.4,1726.8,3452.93858556739,2022-10-01,2022-09-24,2022-10-01,2022-09-24,279.0333247607267,445.4025956177601
28,99.190512,13.660844,Thailand,2022-10-08,2022,10,,,,,,,,,,,,,15083.0,,14997.347826087,15005.0,15087.25,15108.1818181818,145.3,248.4,1726.8,3452.93858556739,2022-10-01,2022-09-24,2022-10-01,2022-09-24,279.0333247607267,445.4025956177601
29,99.190512,13.678811,Thailand,2022-10-08,2022,10,,,,,,,,,,,,,15096.0,,15007.25,15051.5,15109.636363636399,15106.545454545501,145.3,248.4,1726.8,3452.93858556739,2022-10-01,2022-09-24,2022-10-01,2022-09-24,279.0333247607267,445.4025956177601
30,99.190512,13.696778,Thailand,2022-10-08,2022,10,,,,,,,,,,,,,15084.0,,15002.0,15017.5555555556,15089.916666666699,15091.363636363601,145.3,248.4,1726.8,3452.93858556739,2022-10-01,2022-09-24,2022-10-01,2022-09-24,279.0333247607267,445.4025956177601
31,99.190512,13.714744,Thailand,2022-10-08,2022,10,,,,,,,,,,,,,15064.0,,14981.5217391304,14998.222222222199,15061.0,15082.8181818182,155.5,247.0,1675.8,3354.145939339679,2022-10-01,2022-09-24,2022-10-01,2022-09-24,302.16482151678093,453.9042728633159
