"x","y","DISTANCE_TO_COAST","DISTANCE_TO_RIVER","SLOPE_mean_1km","ASPECT_mean_200m","ELEVATION_mean_1km","HILLSHADE_mean_1km","FS_AREA_1km","FLOW_ACCU_200m"
-3.051,5.285306,10398.8020418415,448.713538117918,9,207.291168892012,76.9285408691736,185.943838099527,0,1.12166198172874
-3.054,5.287667,9980.52606919163,652.168442699865,2,134.541558099365,65.8050736492017,185.450763738225,0,1.49237345200105
-3.058,5.298556,9028.7441664154,513.389146350465,5,114.354456314942,67.4073067071969,178.64340792029,0,4.34119713156739
-3.062,5.299778,8572.0284635087,922.211555947055,9,158.810772833724,78.6161190850661,175.653833033677,0,2.8981850117096
-3.999,5.327444,457.518222719729,946.343240419384,0,195.387094885382,22.4519978880129,179.432228968222,0.716762813331275,1.87211991685452
-4.001,5.325417,352.084176439882,643.949403344882,0,151.835060600738,16.9756920482422,180.44134153055,1.14252889511719,1.5227765091633
-4.001,5.325694,380.044376989879,657.869030576688,0,152.901604309386,17.699903293754,180.413868959097,1.09585299015252,1.42727911470227
-4.009,5.309667,450.643499541155,822.111262980266,3,122.832513613209,6.31970413401784,179.589471314059,0.732899898266123,1.01200304467475
-4.012,5.310278,266.702801184046,555.689163651105,1,157.965283063052,7.00251508601279,179.754640637665,0.668007374852319,1.32023886189333
-3.0515,5.285639,10332.3597375049,485.695587839848,6,203.653187315159,74.9972393729369,186.401913299197,0,1.01279611138766
-3.0515,5.2895,10124.9806973751,704.232385230759,3,224.881671009105,74.9992918453004,185.484786495298,0,1
-3.0535,5.277194,10648.8026398639,448.234104685382,7,208.657561918145,72.977321447068,183.474960481696,0,5.114350957316
-3.0555,5.282583,10131.4642431739,147.428715116488,5,187.687384723483,62.1139408104949,184.260570278249,0,28.7218725297889
-3.0605,5.289944,9231.17785129118,34.9064733315161,1,139.092008196721,62.3018368300468,178.355883429125,0,136
-3.0605,5.286083,9455.96554816239,9.39146921181332,9,236.965216372899,57.5934447860808,178.797994616132,0,137.892077062716
-3.9995,5.323333,72.4475558967044,506.897542147971,0,147.475890739819,12.283142343462,180.201514859834,1.32949838327206,2.69921246011067
-4.0105,5.311444,212.759953534237,565.179412654853,2,169.548033847686,6.65802337651225,179.294282414027,0.836061643713618,1
-3.05175,5.283333,10438.8743843365,230.763431607162,2,208.421554853062,75.0119116377151,185.790918108054,0,18.2101627444093
-3.05775,5.2865,9689.11601747832,295.583937502139,1,180.821926229508,57.5075809347962,181.108328501545,0,46.3504683840749
-3.05775,5.2965,9155.82476149922,332.92684126604,2,116.046254281448,64.937148808016,179.947901714093,0,26.7844491934776
-3.05775,5.289056,9543.84175681691,249.979751962533,4,248.9305388871,60.0266974851697,180.556076202614,0,46.8463249714604
-3.05925,5.300056,8830.12099726253,728.778265424725,2,130.440056211026,72.7884667778986,176.903940853424,0,3.75425242263665
-3.06075,5.284,9559.96736581261,84.8317022607168,6,221.570554482113,56.2502347449555,179.826965383845,0,112.13870835529
-3.88399,5.351018,917.98380711561,1356.81454918609,7,184.197605316315,34.1941839926962,182.162408941954,0,6.61942679820838
-3.88427,5.350882,883.508363792463,1322.84194003001,3,186.54168374217,33.4134063558893,182.144837950715,0,6.61448392951232
-3.96987,5.345859,1681.99254297213,586.16886389168,10,94.3765515222483,28.2092313511554,177.449671788441,0,1.79918032786885
-3.99825,5.325667,244.033552637213,764.787788405958,2,202.844627228288,17.5610043860834,179.585079435843,1.02688616350265,2.24523607411527
-4.00075,5.324222,221.079683449715,605.025252408775,0,157.581745265068,14.1345058141826,180.404304375188,1.30063023321892,2.0257018237171
-4.00075,5.325333,332.032879216547,665.445243590835,0,159.387688795223,16.8265774589536,180.407806688102,1.14317827457443,1.63086875073177
-4.00265,5.303249,740.607463807951,1714.01788042253,2,146.906472292966,6.82426503617825,179.81373411045,0.102761602746821,1.03345920786862
-4.00475,5.310306,326.348194033109,933.439221094696,1,156.554508196721,5.38475221619528,179.813318337285,0.795411115275544,2.43310889929743
-4.01025,5.31075,294.601157101583,639.535981554953,1,157.173462517929,6.54841131974788,179.458304109302,0.782295332496793,1
-4.01425,5.310222,140.43551992644,483.673511485992,1,180.126643051612,7.2310382134699,180.008797102608,0.675618889396159,1.9995023273515
-3.044694,5.28125,11229.0144400642,126.538671108491,5,164.721018735363,91.2466334088783,183.549837707847,0,29.1196721311475
-3.045028,5.289167,10780.229146151,880.301098136176,6,158.519160396967,94.4750278931471,183.735175538245,0,1
-3.046139,5.289722,10642.8017797397,936.88695546603,7,190.346264199555,91.4298693885548,184.812191302253,0,1
-3.046639,5.288611,10648.2661505104,814.104588811256,6,175.020524081394,90.2871634363688,184.745227734589,0,1.10709998536086
-3.046694,5.299944,10095.8152578362,263.131317156882,3,237.390175356421,76.3657554650146,182.111159021031,0,39.2431570010832
-3.046806,5.28175,10998.8482704587,55.718612599853,4,178.157933255269,86.869754607029,183.802410021076,0,29.6576405152225
-3.047306,5.281889,10943.4457954457,71.0039488684188,5,165.099953156107,85.7878052652378,183.929142324446,0,29.2694694929149
-3.047944,5.282056,10873.3919204861,89.2477415802962,7,151.498814368102,84.3068972738307,184.171605460895,0,28.390936502825
-3.048028,5.287361,10576.1142216056,676.035021596834,6,185.983164983165,86.3910576346066,184.766571455271,0,1.54346362172449
-3.048083,5.288611,10506.4065073067,814.10258931877,7,195.092114894738,86.017064677345,184.945194205418,0,1.12118993939039
-3.048083,5.298944,9999.8953306831,232.736676415204,2,261.877587468892,74.8723471086849,182.705654735434,0,17.2096911140389
-3.048694,5.282111,10798.8837923194,95.6571101828273,7,135.494554716318,82.460431994866,184.14091904459,0,28.3460682709761
-3.048778,5.298861,9933.57123843557,184.902826565477,9,271.344045423947,73.7557237298364,182.794886921435,0,28.5879942634706
-3.048889,5.288278,10444.1686177265,777.61232509265,8,212.754946727549,83.6925701920501,184.869167738115,0,1.1975178550521
-3.049056,5.281444,10802.6484532896,21.6919106641736,4,108.695538902875,81.4004469688867,184.12934739165,0,30.6501083074761
-3.049194,5.280056,10870.6054500266,131.661897183465,7,98.1350702576113,80.8889777077235,184.140096825039,0,25.5047131147541
-3.049278,5.278694,10944.3633427772,282.550141477001,3,144.441588100955,80.5412621960419,183.799551451366,0,11.4588627979153
-3.049333,5.281972,10746.1669075744,79.8772511176097,4,139.862551609031,80.8564866261573,184.03187722433,0,29.7959064156247
-3.049389,5.282611,10704.3396558823,150.883395170202,6,170.791145726583,80.9638369329396,183.999500112025,0,24.8061956489913
-3.049833,5.288111,10360.5498281803,758.873596507662,13,236.564988290398,80.9054495875994,185.0934842279,0,1.14294496487119
-3.050056,5.2975,9868.97595947872,191.159830698878,3,290.902406886859,72.0939053662139,182.745198283316,0,64.3926270789412
-3.050222,5.278389,10874.9678281141,316.081755754734,4,224.610927297748,78.6311370760002,183.417124142093,0,8.92835182853629
-3.050278,5.284361,10520.6406440079,344.177208581583,3,216.670951307352,79.355218419275,184.627958793065,0,6.96225807396129
-3.050278,5.283639,10561.2784067654,264.295229825822,3,209.683401639344,79.2731541788026,184.108895541477,0,14.4550058548009
-3.050333,5.288611,10285.6586184507,814.100198531266,7,236.901604309386,79.1715212141342,185.283449203731,0,1.03167632765384
-3.050472,5.288528,10276.3466946354,805.224304258781,6,237.192082454907,78.7464988848446,185.332314062892,0,1.03030569219958
-3.050667,5.287528,10310.2375842695,694.276936021742,9,244.797183346021,78.2415734638136,185.698979741186,0,1.10675177138842
-3.051139,5.281111,10626.253762761,15.2923660420419,11,226.984749582882,76.3987685511055,184.220163427612,0,32.7470069958727
-3.051194,5.288083,10229.4498270073,755.91387468676,6,234.010800210736,76.3505825742249,185.845063064828,0,1.01041971550664
-3.051194,5.281722,10585.2568410228,52.2621029391344,6,224.640134660422,76.3343796371563,184.47986728304,0,32.6753805620609
-3.051194,5.281028,10625.9927610078,24.1681788780931,3,232.202407098305,76.2597383004163,184.194173795364,0,32.7869630150224
-3.051222,5.278806,10757.3030461414,270.224383790743,1,268.090528473137,76.5475205588031,183.255407663277,0,13.7969843361148
-3.051278,5.282139,10552.7664503742,98.6133119114541,11,222.805427877155,76.2107131517972,184.6456015438,0,30.3788388910033
-3.051278,5.285444,10364.6236393578,463.999397472927,11,202.986269285944,75.8799029045325,186.213689965526,0,1.05176098603507
-3.051306,5.296111,9813.08881722122,202.303535502128,6,293.727791766704,70.8293182140581,182.803121052525,0,65.3563272237512
-3.051417,5.28275,10504.2215148904,166.167726983034,5,214.964839861819,76.0316056365937,185.002367720638,0,24.6916095790152
-3.051889,5.295028,9809.23428269158,241.384720548774,3,269.373287671233,70.6807054479132,182.652148655191,0,26.9389415759279
-3.051917,5.283611,10407.3543091017,261.335447896757,2,203.64558629776,74.3487868337887,186.112095859889,0,15.0104816278729
-3.051917,5.294167,9849.44317385451,306.656340994416,5,264.964774091535,71.5090614117946,182.836974523118,0,3.87288805598665
-3.052083,5.284639,10332.7675545569,374.748038079563,1,179.675038786921,73.0928635121077,186.400380096285,0,4.28046602851205
-3.052083,5.283778,10381.8292885147,279.580001019351,9,195.596212387308,73.6316254039023,186.313485549589,0,13.1175506380986
